,Speaker,Utterance,Unified
5,M,She nods.,M|She nods.
6,A,"bit. Tell me how yours works. Well, at the I introduced you a little bit to it, a few minutes ago, when I said that we are, uh, we're on the east coast now.","A|bit. Tell me how yours works. Well, at the I introduced you a little bit to it, a few minutes ago, when I said that we are, uh, we're on the east coast now."
7,M,"What? I'm from the US, and I've never heard of this.","M|What? I'm from the US, and I've never heard of this."
8,A,"My husband quit a perfectly wonderful job and decided that, well, we both decided we wanted to move to North Carolina.","A|My husband quit a perfectly wonderful job and decided that, well, we both decided we wanted to move to North Carolina."
9,M,I'm sorry for your,M|I'm sorry for your
10,A,"And so naturally we put ourselves, we looked at our budget,","A|And so naturally we put ourselves, we looked at our budget,"
11,M,And we all thought we were going to move there.,M|And we all thought we were going to move there.
12,A,"and so, what we did was draw up a budget that we thought, uh, was realistic.","A|and so, what we did was draw up a budget that we thought, uh, was realistic."
13,M,But... we did draw up our budget...,M|But... we did draw up our budget...
14,A,"And, uh, so, we had to make some adjustments because we really are kind of looking for something that we want to do and he wants to do that's satisfactory, and we've been here seven months and he's still hasn't hit up on anything permanently.","A|And, uh, so, we had to make some adjustments because we really are kind of looking for something that we want to do and he wants to do that's satisfactory, and we've been here seven months and he's still hasn't hit up on anything permanently."
15,M,u ouya lt 3,M|u ouya lt 3
16,A,"So, you see,","A|So, you see,"
17,M,"I mean, I'm not going to say it.","M|I mean, I'm not going to say it."
18,A,"Well, we actually planned for about one year.","A|Well, we actually planned for about one year."
19,M,What's going on here?,M|What's going on here?
20,A,"Uh, that God because, *listen  it never occurred to  it never occurred to us that it would take seven months.","A|Uh, that God because, *listen  it never occurred to  it never occurred to us that it would take seven months."
21,M,How long do you think the season will last?,M|How long do you think the season will last?
22,A,"And, uh, what we did was just, uh, decide how we had been spending our money before,","A|And, uh, what we did was just, uh, decide how we had been spending our money before,"
23,M,It was just a hypothetical.,M|It was just a hypothetical.
24,A,"and then we put that on the computer and then we took about three months and, uh, and adjusted,  where we could come down and where we didn't want to come down,","A|and then we put that on the computer and then we took about three months and, uh, and adjusted,  where we could come down and where we didn't want to come down,"
25,M,And what we had to do.,M|And what we had to do.
