,Speaker,Utterance,Unified
5,M,You,M|You
6,A,Huh.,A|Huh.
7,M,I,M|I
8,A,Huh.,A|Huh.
9,M,,M|
10,A,"Oh, well that's interesting.","A|Oh, well that's interesting."
11,M,It's all good.,M|It's all good.
12,A,"Oh, my God.","A|Oh, my God."
13,M,You pay a lot.,M|You pay a lot.
14,A,"Well you must have a, just one hero ace professional job to support something like that.","A|Well you must have a, just one hero ace professional job to support something like that."
15,M,I'm not a hero.,M|I'm not a hero.
16,A,"Oh, well, yeah","A|Oh, well, yeah"
17,M,"It's a joke, I'm sure he's joking.","M|It's a joke, I'm sure he's joking."
18,A,Uh-huh.,A|Uh-huh.
19,M,You are.,M|You are.
20,A,"Well, not, not all of us. You know what the kind of things you're supposed to look for.  I'm an engineer.","A|Well, not, not all of us. You know what the kind of things you're supposed to look for.  I'm an engineer."
21,M,"I don't, I don't even know what to do.","M|I don't, I don't even know what to do."
22,A,"And,","A|And,"
23,M,I have a kid,M|I have a kid
24,A,Uh-huh.,A|Uh-huh.
25,M,"And, uh, yeah, and it's a good thing.","M|And, uh, yeah, and it's a good thing."
26,A,Yeah.,A|Yeah.
27,M,"We,","M|We,"
28,A,Five hundred dollars a week.  For two kids.,A|Five hundred dollars a week.  For two kids.
29,M,Oh?,M|Oh?
30,A,That's incredible.,A|That's incredible.
31,M,"No, I was the teacher for the high school.","M|No, I was the teacher for the high school."
32,A,"Oh, oh.","A|Oh, oh."
33,M,"Well, it's been a while.","M|Well, it's been a while."
34,A,Well.,A|Well.
35,M,I'm not even a girl.,M|I'm not even a girl.
36,A,Yeah.,A|Yeah.
37,M,A lot of women in the UK.,M|A lot of women in the UK.
38,A,"You know,   they could,  somebody will have a job at three hundred a week to get off welfare and you know, that's a good starting wage","A|You know,   they could,  somebody will have a job at three hundred a week to get off welfare and you know, that's a good starting wage"
39,M,But they do.,M|But they do.
40,A,but boy three hundred dollars a week doesn't go very far on child care.,A|but boy three hundred dollars a week doesn't go very far on child care.
41,M,"It's not the money that's the problem, it's the people who work and get paid.","M|It's not the money that's the problem, it's the people who work and get paid."
42,A,Huh.,A|Huh.
43,M,It's been like that since the first day,M|It's been like that since the first day
44,A,"I mean we used to pay, pay fifty cents an hour to baby-sit. But mine are twenty-two, twenty-three and twenty-seven so you know, that,","A|I mean we used to pay, pay fifty cents an hour to baby-sit. But mine are twenty-two, twenty-three and twenty-seven so you know, that,"
45,M,I,M|I
46,A,"I guess baby-sitters now are up at, what, five dollars an hour?","A|I guess baby-sitters now are up at, what, five dollars an hour?"
47,M,Baby siters are down at about six dollars an episode.,M|Baby siters are down at about six dollars an episode.
48,A,Oh my.,A|Oh my.
49,M,That's a good point. I just wanted to point out that a lot of people aren't even aware of the fact that they can get up to five dollars.,M|That's a good point. I just wanted to point out that a lot of people aren't even aware of the fact that they can get up to five dollars.
50,A,Uh-huh.,A|Uh-huh.
51,M,This is so sad. I can't imagine,M|This is so sad. I can't imagine
52,A,"Oh, yeah.","A|Oh, yeah."
