,Speaker,Utterance,Unified
5,M,"Umm, I do","M|Umm, I do"
6,A,"I like that. And then, uh, my husband, he just, uh, subscribed to a wood, he just started a woodwork so he just sent away to get some woodworking books.","A|I like that. And then, uh, my husband, he just, uh, subscribed to a wood, he just started a woodwork so he just sent away to get some woodworking books."
7,M,"Yup, that's what I said.","M|Yup, that's what I said."
8,A,"So what kind do you, uh, get?","A|So what kind do you, uh, get?"
9,M,"What do you, uh, get?","M|What do you, uh, get?"
10,A,Uh-huh.,A|Uh-huh.
11,M,You got any?,M|You got any?
12,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
13,M,"I have a lot of books, uh.uh.uh","M|I have a lot of books, uh.uh.uh"
14,A,"Is it,   Yeah, I used to take that. Right.","A|Is it,   Yeah, I used to take that. Right."
15,M,I read it as I don't have a wife.,M|I read it as I don't have a wife.
16,A,Yeah.,A|Yeah.
17,M,Do you like to eat?,M|Do you like to eat?
18,A,"Yeah. I don't, I, if I, you know, if I happen to find it, I'll go ahead and read it someplace, you know, if I'm in a doctor's office or something like that but other than that I never, I never liked that really.","A|Yeah. I don't, I, if I, you know, if I happen to find it, I'll go ahead and read it someplace, you know, if I'm in a doctor's office or something like that but other than that I never, I never liked that really."
19,M,You think you know,M|You think you know
20,A,"I read my newspaper.  I can hardly wait in the mornings for the newspaper  to get here, you know.","A|I read my newspaper.  I can hardly wait in the mornings for the newspaper  to get here, you know."
21,M,I have to read the newspaper.I'm too lazy.,M|I have to read the newspaper.I'm too lazy.
22,A,"In fact, it puts it out on Tuesdays and Thursdays I can hardly wait to get that to get the local news","A|In fact, it puts it out on Tuesdays and Thursdays I can hardly wait to get that to get the local news"
23,M,They do,M|They do
24,A,"Huh. Uh-huh, uh-huh.","A|Huh. Uh-huh, uh-huh."
25,M,I remember that. I bought it. It was a really good book.,M|I remember that. I bought it. It was a really good book.
26,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
27,M,What do you think you're doing?,M|What do you think you're doing?
28,A,Uh-huh.,A|Uh-huh.
29,M,"uhhuh, uh","M|uhhuh, uh"
30,A,"Yeah, right, right. Yeah, well I, I only, you know, subscribe to the things I'm interested in. I used to be into coin collecting so I used to get the coin magazine, the paper actually is what it was, you know. I used to get that. So now that I'm into dolls, that's about all I really, really want, you know.","A|Yeah, right, right. Yeah, well I, I only, you know, subscribe to the things I'm interested in. I used to be into coin collecting so I used to get the coin magazine, the paper actually is what it was, you know. I used to get that. So now that I'm into dolls, that's about all I really, really want, you know."
31,M,i,M|i
32,A,"No, huh-uh. Uh, I think they're interesting.","A|No, huh-uh. Uh, I think they're interesting."
33,M,,M|
34,A,Yeah,A|Yeah
35,M,"Hah, you're. Ah. Ah! Ah. ah. Ahhh. Ahhhh. Ahh. Ahhhhh. Ah, ah. ahh. ah Ah.","M|Hah, you're. Ah. Ah! Ah. ah. Ahhh. Ahhhh. Ahh. Ahhhhh. Ah, ah. ahh. ah Ah."
36,A,Uh-huh.,A|Uh-huh.
37,M,"I don't know, I just think they are interesting.","M|I don't know, I just think they are interesting."
38,A,Uh-huh.,A|Uh-huh.
39,M,I think you are missing the point of this sub.,M|I think you are missing the point of this sub.
40,A,Uh-huh.,A|Uh-huh.
41,M,I always wonder if there are more people who agree with me than disagreeing.,M|I always wonder if there are more people who agree with me than disagreeing.
42,A,"Uh-huh. Uh-huh, uh-huh. Well those travel magazines, are that, more or less, show you different countries that you could go to or,","A|Uh-huh. Uh-huh, uh-huh. Well those travel magazines, are that, more or less, show you different countries that you could go to or,"
43,M,,M|
44,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
45,M,I have.,M|I have.
46,A,"Uh-huh, uh-huh. Okay. Well I don't know any other magazines I could talk to you about.","A|Uh-huh, uh-huh. Okay. Well I don't know any other magazines I could talk to you about."
47,M,"Huh, uh.","M|Huh, uh."
48,A,"Uh, I don't take anymore than that","A|Uh, I don't take anymore than that"
49,M,"Uh, yeah.","M|Uh, yeah."
50,A,"You know, so.","A|You know, so."
51,M,"Yeah, I know.","M|Yeah, I know."
52,A,"Well I guess that will be it then  and,","A|Well I guess that will be it then  and,"
53,M,"Well, I guess it is.","M|Well, I guess it is."
