,Speaker,Utterance,Unified
5,M,Sorry.,M|Sorry.
6,A,So it was pretty much a physical decision?,A|So it was pretty much a physical decision?
7,M,"Oh yeah, she was there.","M|Oh yeah, she was there."
8,A,Um.,A|Um.
9,M,"She's uh, in a good shape.","M|She's uh, in a good shape."
10,A,Yeah.,A|Yeah.
11,M,She was in the hospital?,M|She was in the hospital?
12,A,"My husband's family are reaching that point but it's, it's so difficult. Was she in favor of it or, or was she kind of opposed to it?","A|My husband's family are reaching that point but it's, it's so difficult. Was she in favor of it or, or was she kind of opposed to it?"
13,M,She's still in the process of being brought back.,M|She's still in the process of being brought back.
14,A,Uh-huh.,A|Uh-huh.
15,M,She's just... ugh.,M|She's just... ugh.
16,A,Yeah.,A|Yeah.
17,M,She was.,M|She was.
18,A,"So often I think though, elderly people don't realize that their diet is that bad. I work with a lot of elderly people, I'm a trust officer","A|So often I think though, elderly people don't realize that their diet is that bad. I work with a lot of elderly people, I'm a trust officer"
19,M,Yep.,M|Yep.
20,A,and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.,A|and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.
21,M,"You know, sometimes I think elderly people are better than they are.","M|You know, sometimes I think elderly people are better than they are."
22,A,"Yes.  Well you know that's part of the aging process,  That your taste buds goes back to the sweet taste.","A|Yes.  Well you know that's part of the aging process,  That your taste buds goes back to the sweet taste."
23,M,But... they're not.,M|But... they're not.
24,A,It really is.,A|It really is.
25,M,I don't think that's a fair comparison.,M|I don't think that's a fair comparison.
26,A,Yeah. Uh-huh.,A|Yeah. Uh-huh.
27,M,"Uhh, you like them?","M|Uhh, you like them?"
28,A,Yeah.,A|Yeah.
29,M,It is.Oh yeah.uhhuh,M|It is.Oh yeah.uhhuh
30,A,"And the portions, people don't want to try to figure out little bitty individual meals. I do that right now,","A|And the portions, people don't want to try to figure out little bitty individual meals. I do that right now,"
31,M,"Yeah, and the food is so small.","M|Yeah, and the food is so small."
32,A,and I'm not near nursing home age.,A|and I'm not near nursing home age.
33,M,I'm not from Europe.,M|I'm not from Europe.
34,A,Yeah.  Uh-huh. So as a family you all just visited nursing homes or probably in College Station there wasn't a whole lot of choice.,A|Yeah.  Uh-huh. So as a family you all just visited nursing homes or probably in College Station there wasn't a whole lot of choice.
35,M,"You know, I'm sure I'd rather be in a nursing home than a hospital.","M|You know, I'm sure I'd rather be in a nursing home than a hospital."
36,A,Uh-huh.,A|Uh-huh.
