,Speaker,Utterance,Unified
5,M,"you have a business, this is there is business.","M|you have a business, this is there is business."
6,A,And we only have one. We tore all the rest of them up.,A|And we only have one. We tore all the rest of them up.
7,M,... You don't have a house.,M|... You don't have a house.
8,A,"Because I don't like credit cards for one thing, you know, I mean, they're okay, I guess, if you're on a trip or something, you don't have to take a whole bunch of, you know, cash with you,","A|Because I don't like credit cards for one thing, you know, I mean, they're okay, I guess, if you're on a trip or something, you don't have to take a whole bunch of, you know, cash with you,"
9,M,I,M|I
10,A,"but I don't like using them because I've seen too many people that used them and ended up bankrupt or on,  chapter thirteen and stuff like that.","A|but I don't like using them because I've seen too many people that used them and ended up bankrupt or on,  chapter thirteen and stuff like that."
11,M,They're all free,M|They're all free
12,A,"Because they have this weird opinion that if you use that card, you don't have to pay for it.","A|Because they have this weird opinion that if you use that card, you don't have to pay for it."
13,M,Why don't,M|Why don't
14,A,"Yeah, yeah, and it gives you a, um, a false sense of security or something it seems like because you say, oh, well, I don't have to pay for it now but you're going to have to pay for it,  and it seems like ...","A|Yeah, yeah, and it gives you a, um, a false sense of security or something it seems like because you say, oh, well, I don't have to pay for it now but you're going to have to pay for it,  and it seems like ..."
15,M,I,M|I
16,A,Uh-huh.,A|Uh-huh.
17,M,I have it's for?,M|I have it's for?
18,A,Right. Are you married?,A|Right. Are you married?
19,M,"I'll have to pass on that, but I'll be getting it back.","M|I'll have to pass on that, but I'll be getting it back."
20,A,"Oh, okay. Well, I know that a lot of young people, you know, I, it took me a long time to get it through my child's head, I mean, that was her goal, you know, uh, got to have a credit card,","A|Oh, okay. Well, I know that a lot of young people, you know, I, it took me a long time to get it through my child's head, I mean, that was her goal, you know, uh, got to have a credit card,"
21,M,I don't really have any of those.,M|I don't really have any of those.
22,A,"but now that she has one, she's only used it one time but she wanted to establish some credit,","A|but now that she has one, she's only used it one time but she wanted to establish some credit,"
23,M,What about it?,M|What about it?
