,Speaker,Utterance,Unified
5,M,I'm from Texas.,M|I'm from Texas.
6,A,"And, of course, they don't have that here in Texas so, there's ...","A|And, of course, they don't have that here in Texas so, there's ..."
7,M,They're,M|They're
8,A,"No, not in, not in well not in Dallas, that is.","A|No, not in, not in well not in Dallas, that is."
9,M,Are they in Texas?,M|Are they in Texas?
10,A,Yeah. We're going there tomorrow.,A|Yeah. We're going there tomorrow.
11,M,"Well, I'm in Dallas.","M|Well, I'm in Dallas."
12,A,Uh-huh  We're  packing and getting ready to go to .,A|Uh-huh  We're  packing and getting ready to go to .
13,M,"Oh, okay. I'm gonna go and do that then.","M|Oh, okay. I'm gonna go and do that then."
14,A,Uh-huh.,A|Uh-huh.
15,M,It's alright.,M|It's alright.
16,A,"Yeah. Oh, okay.  Yeah, you do then.","A|Yeah. Oh, okay.  Yeah, you do then."
17,M,"Oh, I'm not talking about the city of L A.","M|Oh, I'm not talking about the city of L A."
18,A,Is it really?,A|Is it really?
19,M,"It's actually the worst, in the, world.","M|It's actually the worst, in the, world."
20,A,I would not imagine that.,A|I would not imagine that.
21,M,A city that's been in the middle of a civil war?,M|A city that's been in the middle of a civil war?
22,A,Huh.,A|Huh.
23,M,Smog is in LA.,M|Smog is in LA.
24,A,Huh.  You learn  something every day.,A|Huh.  You learn  something every day.
25,M,TIL that there is a city in China called Beijing.,M|TIL that there is a city in China called Beijing.
26,A,"Uh-huh. Yeah, I've seen that.","A|Uh-huh. Yeah, I've seen that."
27,M,"Haha. You know, you know, better running cars.","M|Haha. You know, you know, better running cars."
28,A,Huh.,A|Huh.
29,M,They use the corn to fuel the vehicles.,M|They use the corn to fuel the vehicles.
30,A,Huh-uh.,A|Huh-uh.
31,M,"Uhh, I've heard of those.","M|Uhh, I've heard of those."
32,A,Huh. No,A|Huh. No
33,M,He nods.,M|He nods.
34,A,"Oh, yeah Yeah.","A|Oh, yeah Yeah."
35,M,"Oh, yeah.","M|Oh, yeah."
36,A,Uh-huh.,A|Uh-huh.
37,M,Yeah. I guess?,M|Yeah. I guess?
38,A,"Yeah, that's true.","A|Yeah, that's true."
39,M,It's a lot easier to say the world is flat when you're not even half way there.,M|It's a lot easier to say the world is flat when you're not even half way there.
40,A,"Right.  Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","A|Right.  Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?"
41,M,"Yeah, uhuh.","M|Yeah, uhuh."
42,A,Yeah. Huh.,A|Yeah. Huh.
43,M,"Yes, you can","M|Yes, you can"
44,A,Uh-huh.,A|Uh-huh.
45,M,Uh huh,M|Uh huh
46,A,Uh-huh.,A|Uh-huh.
47,M,Oh. I thought they were looking at a battery powered car.,M|Oh. I thought they were looking at a battery powered car.
48,A,Uh-huh.,A|Uh-huh.
49,M,Uuhhh... what's that?,M|Uuhhh... what's that?
50,A,Huh  That is good.,A|Huh  That is good.
51,M,"That is the best thing about the car. When you're driving, you're always at a full stop.","M|That is the best thing about the car. When you're driving, you're always at a full stop."
52,A,Yeah.,A|Yeah.
53,M,I see.,M|I see.
54,A,Yeah.,A|Yeah.
55,M,Are you sure?,M|Are you sure?
56,A,Huh.,A|Huh.
57,M,Electric cars.,M|Electric cars.
58,A,Oh.,A|Oh.
59,M,"Well, it's a little easier to find the car then it is to find a place.","M|Well, it's a little easier to find the car then it is to find a place."
60,A,"That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.","A|That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that."
61,M,I don't think I've ever seen a car in a non black car.,M|I don't think I've ever seen a car in a non black car.
62,A,Huh.,A|Huh.
63,M,There are also solar powered vehicles.,M|There are also solar powered vehicles.
64,A,"But what,  I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like","A|But what,  I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like"
65,M,I think they did.,M|I think they did.
66,A,I don't know. Huh. * See note above,A|I don't know. Huh. * See note above
67,M,A. Yes.,M|A. Yes.
68,A,"Yeah, and they're, they're very expensive too. .","A|Yeah, and they're, they're very expensive too. ."
69,M,You know what? I'm going to... I'm,M|You know what? I'm going to... I'm
70,A,"Well, yeah.  Yeah.","A|Well, yeah.  Yeah."
71,M,But... I,M|But... I
72,A,"Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.","A|Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile."
73,M,"I don't understand, why do they want to convert?","M|I don't understand, why do they want to convert?"
74,A,"Yeah.   Yeah.  Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","A|Yeah.   Yeah.  Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown"
75,M,I,M|I
76,A,"and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?","A|and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?"
77,M,I'y,M|I'y
78,A,Cause I haven't been there probably ...,A|Cause I haven't been there probably ...
79,M,I'm still in L a lot,M|I'm still in L a lot
80,A,Yeah.,A|Yeah.
81,M,Are you from there?,M|Are you from there?
82,A,"Well, we were there when they had a","A|Well, we were there when they had a"
