,Speaker,Utterance,Unified
5,M,.about,M|.about
6,A,"I mean, not, not to this large scale as Iraq, but that,","A|I mean, not, not to this large scale as Iraq, but that,"
7,M,",","M|,"
8,A,"whenever we give arms to people, as we did, and as we sold arms to, pardon me, to Iraq, when we wanted them to fight Iran, and then, uh, and then it turn around and,","A|whenever we give arms to people, as we did, and as we sold arms to, pardon me, to Iraq, when we wanted them to fight Iran, and then, uh, and then it turn around and,"
9,M,"No, and, and it,","M|No, and, and it,"
10,A,Uh-huh.,A|Uh-huh.
11,M,I think so.uh.,M|I think so.uh.
12,A,"Uh-huh. And I know when I spent, the time that I've studied in Mexico, uh, Spanish was one of my majors in college, that, uh, there was a kind of a lot of resentment there towards America,","A|Uh-huh. And I know when I spent, the time that I've studied in Mexico, uh, Spanish was one of my majors in college, that, uh, there was a kind of a lot of resentment there towards America,"
13,M,I,M|I
14,A,"about, uh, like you say, using them, our interest there is, you know, what profit we could make off of any kind of relationship with them,","A|about, uh, like you say, using them, our interest there is, you know, what profit we could make off of any kind of relationship with them,"
15,M,Uuhuhuh.,M|Uuhuhuh.
16,A,"and that we weren't normally very interested in them, and they have, in other, in most Latin American countries, they, there are a lot of the kind of problems that we've fought for in other countries, you know, that they have corruption, and, and they don't have, uh, I mean, there's just very few really modern cities.","A|and that we weren't normally very interested in them, and they have, in other, in most Latin American countries, they, there are a lot of the kind of problems that we've fought for in other countries, you know, that they have corruption, and, and they don't have, uh, I mean, there's just very few really modern cities."
17,M,"I mean,","M|I mean,"
18,A,Uh-huh.,A|Uh-huh.
19,M,"Yeah, and there's...","M|Yeah, and there's..."
20,A,"Well, that's right, because that's just so much of the way that they make their money and so many communities have, uh, have to have that for farming","A|Well, that's right, because that's just so much of the way that they make their money and so many communities have, uh, have to have that for farming"
21,M,,M|
22,A,"And they don't look at it so much as, you know,","A|And they don't look at it so much as, you know,"
23,M,"we, they have, you,","M|we, they have, you,"
24,A,Uh-huh. That's right.,A|Uh-huh. That's right.
25,M,That's right.,M|That's right.
26,A,"And I think it's really very sad that north of the border, you know, the United States and Canada is so different, from the from South America, and Central America.","A|And I think it's really very sad that north of the border, you know, the United States and Canada is so different, from the from South America, and Central America."
27,M,I think it was a joke.,M|I think it was a joke.
28,A,"There's really a disparity between the, uh, what a I would call civilization of the countries, you know.","A|There's really a disparity between the, uh, what a I would call civilization of the countries, you know."
29,M,We should all be thankful for this.,M|We should all be thankful for this.
30,A,Uh-huh.,A|Uh-huh.
31,M,I would say it's the opposite.,M|I would say it's the opposite.
32,A,"Yes, it's really kind of sad, and, that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and, uh, Israel and the Middle East Arab countries, and, and when we have, when we have a lot of problems, right in our own back door.","A|Yes, it's really kind of sad, and, that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and, uh, Israel and the Middle East Arab countries, and, and when we have, when we have a lot of problems, right in our own back door."
33,M,Not really.,M|Not really.
34,A,Um.,A|Um.
35,M,I'm so. so. uhh.,M|I'm so. so. uhh.
36,A,So I guess we've kind of neglected Latin America.,A|So I guess we've kind of neglected Latin America.
37,M,"No, they are not.","M|No, they are not."
38,A,recently,A|recently
39,M,So what have you been up to lately?,M|So what have you been up to lately?
40,A,"Yeah, fairly recently. Well, that's really sad. I hadn't thought about that in a long time.","A|Yeah, fairly recently. Well, that's really sad. I hadn't thought about that in a long time."
41,M,"Well, they've been on the front page for a while now.","M|Well, they've been on the front page for a while now."
42,A,"Well, I guess then, I will go, but I,","A|Well, I guess then, I will go, but I,"
43,M,I have not seen you.,M|I have not seen you.
44,A,"made me stop and think a minute about, not worrying so much about the Middle East crisis.","A|made me stop and think a minute about, not worrying so much about the Middle East crisis."
45,M,"So, what happened?","M|So, what happened?"
46,A,"I know that it's not settled but, there are other areas that we could focus our attention on.","A|I know that it's not settled but, there are other areas that we could focus our attention on."
47,M,"No, I mean, I am not sure about the middle east, but I do know that there is no reason to go to Syria.","M|No, I mean, I am not sure about the middle east, but I do know that there is no reason to go to Syria."
48,A,"Well, thank you, you have a good day.","A|Well, thank you, you have a good day."
49,M,"It's settled, we'll focus our efforts on the Middle Eastern conflict.","M|It's settled, we'll focus our efforts on the Middle Eastern conflict."
50,A,Bye-bye.,A|Bye-bye.
51,M,"Alright, bye.","M|Alright, bye."
