,Speaker,Utterance,Unified
5,M,,M|
6,A,"So if they would come up, curbside recycling,","A|So if they would come up, curbside recycling,"
7,M,"Well, I can","M|Well, I can"
8,A,"Well, now have they moved them behind Wal-Mart?","A|Well, now have they moved them behind Wal-Mart?"
9,M,It's too late.,M|It's too late.
10,A,"Oh, God.","A|Oh, God."
11,M,They're in the recycling bin.,M|They're in the recycling bin.
12,A,"Oh. That's really nice to know, because we were doing the same thing. Because to take it to a Metco , you have to take it when they're open, you know, which is always a real pain.","A|Oh. That's really nice to know, because we were doing the same thing. Because to take it to a Metco , you have to take it when they're open, you know, which is always a real pain."
13,M,"I'm just saying, you know.","M|I'm just saying, you know."
14,A,"And so when that thing came up in Wal-Mart parking lot, we thought, oh, this is great. And we started taking them up there. And then, all the sudden, it disappeared, you know I didn't know. And we're going, oh, no, there goes our recycling place.","A|And so when that thing came up in Wal-Mart parking lot, we thought, oh, this is great. And we started taking them up there. And then, all the sudden, it disappeared, you know I didn't know. And we're going, oh, no, there goes our recycling place."
15,M,You,M|You
16,A,"That's really nice to find out that it's behind there Well, we pretty much do, um, plastic milk cartons and, um, um, um, newspapers. I couldn't even think of what you call them.","A|That's really nice to find out that it's behind there Well, we pretty much do, um, plastic milk cartons and, um, um, um, newspapers. I couldn't even think of what you call them."
17,M,They do.,M|They do.
18,A,"Plastic milk cartons, newspapers and cans, and glass, I guess, is the four, is really the four things that we do.","A|Plastic milk cartons, newspapers and cans, and glass, I guess, is the four, is really the four things that we do."
19,M,I am?,M|I am?
20,A,Yeah. Yeah.,A|Yeah. Yeah.
21,M,"So, uh, do we have any other food?","M|So, uh, do we have any other food?"
22,A,"And really, that's about, that's really about it. Is there anything, any place else that really takes anything other than that, that you know of?","A|And really, that's about, that's really about it. Is there anything, any place else that really takes anything other than that, that you know of?"
23,M,That is the only thing that we really do.,M|That is the only thing that we really do.
24,A,"Oh, really.","A|Oh, really."
25,M,I think you mean Dallas.,M|I think you mean Dallas.
26,A,I know.,A|I know.
27,M,Do you?,M|Do you?
28,A,"I know. I know. We're kind of the same way. You know, at first, you know, you, at first it was a real, it was a real hassle, and I'm wondering are we really going to do this, but you kind of get, I guess, into a little routine, you know, where it becomes, is automatic, now, to throw, different things in different places,","A|I know. I know. We're kind of the same way. You know, at first, you know, you, at first it was a real, it was a real hassle, and I'm wondering are we really going to do this, but you kind of get, I guess, into a little routine, you know, where it becomes, is automatic, now, to throw, different things in different places,"
29,M,,M|
30,A,"you know. So I just go, you know, we have a pretty good size pantry in our kitchen and I've just got three trash cans sitting in there, you know, we just kind of dump things in each one, if, you know, if we get them,","A|you know. So I just go, you know, we have a pretty good size pantry in our kitchen and I've just got three trash cans sitting in there, you know, we just kind of dump things in each one, if, you know, if we get them,"
31,M,"You know, got some.","M|You know, got some."
32,A,so.,A|so.
33,M,"I mean you're, I'm going to, I've been, I know.","M|I mean you're, I'm going to, I've been, I know."
34,A,"Oh, they do, too. And they're impossible to crush. I mean, you can't get the down to any size, you know. If you get four milk cartons and that fills up trash bag, you know pretty easily, so. You know,","A|Oh, they do, too. And they're impossible to crush. I mean, you can't get the down to any size, you know. If you get four milk cartons and that fills up trash bag, you know pretty easily, so. You know,"
35,M,I,M|I
36,A,"Oh, really.","A|Oh, really."
37,M,"yeah, it's a little less than a year old.","M|yeah, it's a little less than a year old."
38,A,Yeah. Yeah.,A|Yeah. Yeah.
39,M,So you were in a car.,M|So you were in a car.
40,A,"Oh, that will be good.","A|Oh, that will be good."
41,M,Just don't go,M|Just don't go
42,A,Sure. Let somebody get something out of it.,A|Sure. Let somebody get something out of it.
43,M,You.,M|You.
44,A,Yeah,A|Yeah
45,M,The government won't give it away.,M|The government won't give it away.
46,A,"Ha-ha Well, I was kind of hoping with, you know, do you work for T I?","A|Ha-ha Well, I was kind of hoping with, you know, do you work for T I?"
47,M,It's a good thing.,M|It's a good thing.
