,Speaker,Utterance,Unified
5,M,"I am, it's fine.","M|I am, it's fine."
6,A,Uh-huh.,A|Uh-huh.
7,M,I mean... it is?,M|I mean... it is?
8,A,No.,A|No.
9,M,But I do have children.,M|But I do have children.
10,A,"Yeah, we, we've been married for two and a half years. We've been trying for about two years but no luck yet.","A|Yeah, we, we've been married for two and a half years. We've been trying for about two years but no luck yet."
11,M,I'm sorry.,M|I'm sorry.
12,A,"Hopefully,","A|Hopefully,"
13,M,We should try again.,M|We should try again.
14,A,Uh-huh.,A|Uh-huh.
15,M,I'm not sure.,M|I'm not sure.
16,A,"whispers to someone in the She had another call. She has just three kids, eleven, nine, and eight.","A|whispers to someone in the She had another call. She has just three kids, eleven, nine, and eight."
17,M,She's probably thinking about it.,M|She's probably thinking about it.
18,A,Uh-huh.,A|Uh-huh.
19,M,Hi! How are you?,M|Hi! How are you?
20,A,All right.,A|All right.
21,M,He's dead.,M|He's dead.
22,A,Okay. That keeps you do you have a lot of activities with your kids?,A|Okay. That keeps you do you have a lot of activities with your kids?
23,M,"He laughs. Yeah, I think so.","M|He laughs. Yeah, I think so."
24,A,Uh-huh.,A|Uh-huh.
25,M,I don't know. I don'' know.,M|I don't know. I don'' know.
26,A,"Uh-huh. So they're pretty good kids, huh?","A|Uh-huh. So they're pretty good kids, huh?"
27,M,...,M|...
28,A,"Yeah.  Well, we had growing up I guess I can talk about us. We had nine kids in our family. We had eight boys and one girl. But, my Dad, uh,","A|Yeah.  Well, we had growing up I guess I can talk about us. We had nine kids in our family. We had eight boys and one girl. But, my Dad, uh,"
29,M,...,M|...
30,A,"Yeah. And the time that my, we spent with our Dad was, he owned his own business so we worked with him most of the time. So that's how we spent most of the time with him.","A|Yeah. And the time that my, we spent with our Dad was, he owned his own business so we worked with him most of the time. So that's how we spent most of the time with him."
31,M,How?,M|How?
32,A,Yeah.,A|Yeah.
33,M,Mormons. Not a lot of them.,M|Mormons. Not a lot of them.
34,A,"That was a dead giveaway, huh?","A|That was a dead giveaway, huh?"
35,M,I'm in Utah and it's not.,M|I'm in Utah and it's not.
36,A,Uh-huh.,A|Uh-huh.
37,M,I don't.,M|I don't.
38,A,Oh.,A|Oh.
39,M,That's a nice shirt.,M|That's a nice shirt.
40,A,"Which that,","A|Which that,"
41,M,There is a girl who is spoiled in the books.,M|There is a girl who is spoiled in the books.
42,A,"I was going to say, my sister wasn't spoiled very much.","A|I was going to say, my sister wasn't spoiled very much."
43,M,I didn't feel anything,M|I didn't feel anything
44,A,"Yeah, that's .  But,","A|Yeah, that's .  But,"
45,M,It's a lot easier to have a good relationship with your siblings than to have them be spoiled.,M|It's a lot easier to have a good relationship with your siblings than to have them be spoiled.
46,A,Uh-huh.,A|Uh-huh.
47,M,That's what I said.,M|That's what I said.
48,A,Oh.,A|Oh.
49,M,"Yeah, it's a common problem.","M|Yeah, it's a common problem."
50,A,Yeah.  Uh-huh.,A|Yeah.  Uh-huh.
51,M,No. But do you talk to your parents about it?,M|No. But do you talk to your parents about it?
52,A,Uh-huh.,A|Uh-huh.
53,M,You're not aww,M|You're not aww
54,A,Uh-huh.,A|Uh-huh.
55,M,,M|
56,A,"Yeah. It's like you said, you know, to each his own. And we're planning on having my wife stay home. And but,","A|Yeah. It's like you said, you know, to each his own. And we're planning on having my wife stay home. And but,"
57,M,Good luck with the rest of course?,M|Good luck with the rest of course?
58,A,Uh-huh.,A|Uh-huh.
59,M,"Well, if you're happy with your wife, you can have her. If not, then you're not a real woman.","M|Well, if you're happy with your wife, you can have her. If not, then you're not a real woman."
60,A,Yeah.,A|Yeah.
61,M,Uhh... I know.,M|Uhh... I know.
62,A,Uh-huh.,A|Uh-huh.
63,M,That is true.,M|That is true.
64,A,Right.,A|Right.
65,M,You like the look of it.uh,M|You like the look of it.uh
66,A,Oh.  Uh-huh.,A|Oh.  Uh-huh.
67,M,"Yeah, it's called motherhood.","M|Yeah, it's called motherhood."
68,A,Uh-huh.,A|Uh-huh.
69,M,That's what I was thinking.,M|That's what I was thinking.
70,A,Uh-huh.,A|Uh-huh.
71,M,"Oh, uh.","M|Oh, uh."
72,A,"Well, that's good. Sounds like you're, have a handle on it.","A|Well, that's good. Sounds like you're, have a handle on it."
73,M,"We're just, not really, not a good relationship.","M|We're just, not really, not a good relationship."
74,A,"Um, no, not right now.","A|Um, no, not right now."
75,M,"So, you're not in the mood for a date?","M|So, you're not in the mood for a date?"
76,A,"Right.  Well, we just moved down here. We used to live up in Seattle for a couple of years.","A|Right.  Well, we just moved down here. We used to live up in Seattle for a couple of years."
77,M,"No, I'm in Seattle.","M|No, I'm in Seattle."
78,A,"It's that's no problem here. Yeah, we really liked it up there but then","A|It's that's no problem here. Yeah, we really liked it up there but then"
