,Speaker,Utterance,Unified
5,M,I'm in Georgia.,M|I'm in Georgia.
6,A,Okay. Yeah.,A|Okay. Yeah.
7,M,I'm not the one who owns the house.,M|I'm not the one who owns the house.
8,A,"No, that's okay","A|No, that's okay"
9,M,"So, what's your home address?","M|So, what's your home address?"
10,A,Okay.,A|Okay.
11,M,It's not like that.,M|It's not like that.
12,A,"Oh, that's neat.","A|Oh, that's neat."
13,M,They're not.,M|They're not.
14,A,"Wow, that's large","A|Wow, that's large"
15,M,I'm in the UK. We have an airbnb,M|I'm in the UK. We have an airbnb
16,A,Uh-huh.,A|Uh-huh.
17,M,It's... a bit small.,M|It's... a bit small.
18,A,"Oh, well, that's not too bad,","A|Oh, well, that's not too bad,"
19,M,How old?,M|How old?
20,A,that's still fairly new.,A|that's still fairly new.
21,M,They're actually not that old.,M|They're actually not that old.
22,A,"Well,","A|Well,"
23,M,"Well, we do have a few of the top ten hospitals in the country.","M|Well, we do have a few of the top ten hospitals in the country."
24,A,"Oh, you're kidding Well, do you mind if I ask what it's worth down there, I mean, what it's,","A|Oh, you're kidding Well, do you mind if I ask what it's worth down there, I mean, what it's,"
25,M,"I don't, I'm just saying it's the cheapest in the world, but,","M|I don't, I'm just saying it's the cheapest in the world, but,"
26,A,Okay.,A|Okay.
27,M,I'm not the one who's selling it.,M|I'm not the one who's selling it.
28,A,"It, it sounds like, I mean, from the way you described it a home like that here would be at least two hundred and fifty thousand","A|It, it sounds like, I mean, from the way you described it a home like that here would be at least two hundred and fifty thousand"
29,M,What's a house?,M|What's a house?
30,A,"I mean, Dallas is a very marked up area, although right now it's a lot lower um, because of all the layoffs and everything","A|I mean, Dallas is a very marked up area, although right now it's a lot lower um, because of all the layoffs and everything"
31,M,"What? No, it's not.","M|What? No, it's not."
32,A,the economy around here is real poor,A|the economy around here is real poor
33,M,"I don't know if I'd say the economy around Dallas is really that bad, but it's not like there's a huge shortage of jobs.","M|I don't know if I'd say the economy around Dallas is really that bad, but it's not like there's a huge shortage of jobs."
34,A,"Well, no, not really","A|Well, no, not really"
35,M,is it bad that i was thinking of a different place?,M|is it bad that i was thinking of a different place?
