,Speaker,Utterance,Unified
5,M,... we,M|... we
6,A,"Oh that's, wow. Yeah.","A|Oh that's, wow. Yeah."
7,M,Kau,M|Kau
8,A,"Oh I've I've been lots of places. My last vacation was actually in Morocco I guess  we, that one would count ,","A|Oh I've I've been lots of places. My last vacation was actually in Morocco I guess  we, that one would count ,"
9,M,I'm sorry.,M|I'm sorry.
10,A,"Uh, that was about a year and a half ago, and,","A|Uh, that was about a year and a half ago, and,"
11,M,I have been in Morocco and there was a lot of people there.,M|I have been in Morocco and there was a lot of people there.
12,A,"Uh, well my husband is French and we were living in France at the time","A|Uh, well my husband is French and we were living in France at the time"
13,M,"I'm sorry, what?","M|I'm sorry, what?"
14,A,"and we decided that I, I've never been to Africa and I needed to get that continent since I hadn't been there yet. And it, it's, actually it's a fairly common vacation place for French people to go and they speak French and, so, uh, you know, in that sense is just a little bit easier","A|and we decided that I, I've never been to Africa and I needed to get that continent since I hadn't been there yet. And it, it's, actually it's a fairly common vacation place for French people to go and they speak French and, so, uh, you know, in that sense is just a little bit easier"
15,M,Uhm...,M|Uhm...
16,A,"and it just seemed like it would be a fun place to go. And, So we, we didn't really have enough time.","A|and it just seemed like it would be a fun place to go. And, So we, we didn't really have enough time."
17,M,Uhhh,M|Uhhh
18,A,"We had about, a little bit less than two weeks.","A|We had about, a little bit less than two weeks."
19,M,So,M|So
20,A,"And as always, it it seems a bit, uh, rushed. We do a lot of traveling around. We rented a car and drove pretty much everywhere.","A|And as always, it it seems a bit, uh, rushed. We do a lot of traveling around. We rented a car and drove pretty much everywhere."
21,M,Oh okay.,M|Oh okay.
22,A,"No, in fact some of the days we froze. It was,","A|No, in fact some of the days we froze. It was,"
23,M,Is it cold?,M|Is it cold?
24,A,"well we were there in the winter. In uh, January or February, I don't remember which,","A|well we were there in the winter. In uh, January or February, I don't remember which,"
25,M,We weren't in the snow?,M|We weren't in the snow?
26,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
27,M,uh uh,M|uh uh
28,A,"At at, excuse me, at what age did you, Oh, that's too bad because,","A|At at, excuse me, at what age did you, Oh, that's too bad because,"
29,M,I'm,M|I'm
30,A,Uh-huh,A|Uh-huh
31,M,We're all in a club... uhuh,M|We're all in a club... uhuh
32,A,"Yeah. It was a very interesting vacation. The only thing I didn't like was in some of the more touristy areas uh, um, the, it would just be besieged by people wanting to be your guide","A|Yeah. It was a very interesting vacation. The only thing I didn't like was in some of the more touristy areas uh, um, the, it would just be besieged by people wanting to be your guide"
33,M,"No, not you.","M|No, not you."
34,A,"and you, there were some places, where people,","A|and you, there were some places, where people,"
35,M,"Uhhh, there was some places.","M|Uhhh, there was some places."
36,A,"there would be kids there that were excellent at ripping you off,","A|there would be kids there that were excellent at ripping you off,"
37,M,Oh yeah.,M|Oh yeah.
38,A,"and we had nothing taken because we knew and we had things in inside pockets and in, you know, in jacket underneath a coat type of thing.","A|and we had nothing taken because we knew and we had things in inside pockets and in, you know, in jacket underneath a coat type of thing."
39,M,"I was there, you can see me.","M|I was there, you can see me."
40,A,"But,","A|But,"
41,M,it was all a lie,M|it was all a lie
42,A,Uh-huh.,A|Uh-huh.
43,M,What is the joke?,M|What is the joke?
44,A,Yeah.,A|Yeah.
45,M,It's a shame they don't have a better way to spend money.,M|It's a shame they don't have a better way to spend money.
46,A,"The, the worst place was in Marrakech","A|The, the worst place was in Marrakech"
47,M,"I'm sorry, I'm not sure what you mean.","M|I'm sorry, I'm not sure what you mean."
48,A,"and the other cities it wasn't nearly as bad and a couple of them it was, what we did in some of the other cities and they tell you to do that is to hire a local guide","A|and the other cities it wasn't nearly as bad and a couple of them it was, what we did in some of the other cities and they tell you to do that is to hire a local guide"
49,M,"Well, I'm a guy.","M|Well, I'm a guy."
50,A,it doesn't matter who it is and they keep everyone else away from you.,A|it doesn't matter who it is and they keep everyone else away from you.
51,M,Why would you do that?,M|Why would you do that?
52,A,And it's worth it and it's like ten dollars a day or something and its worth it just to keep everyone else away from badgering you,A|And it's worth it and it's like ten dollars a day or something and its worth it just to keep everyone else away from badgering you
