,Speaker,Utterance,Unified
5,M,Are you sure?,M|Are you sure?
6,A,"Yeah, you're not sure where to go and vote and all that.","A|Yeah, you're not sure where to go and vote and all that."
7,M,"You know, I voted for a lot of the local candidates.","M|You know, I voted for a lot of the local candidates."
8,A,"Right, or you don't know what they you know, where they stand or anything like that.","A|Right, or you don't know what they you know, where they stand or anything like that."
9,M,"So, you know, they","M|So, you know, they"
10,A,"Yeah, I think you're right.","A|Yeah, I think you're right."
11,M,"I'm not sure, but I'm pretty sure it's a lot.","M|I'm not sure, but I'm pretty sure it's a lot."
12,A,"Yeah, or sometimes they don't like either of the choices for the candidates,","A|Yeah, or sometimes they don't like either of the choices for the candidates,"
13,M,That's the main reason I dislike it.,M|That's the main reason I dislike it.
14,A,"so they think, well, you know, why vote.","A|so they think, well, you know, why vote."
15,M,I'm not sure if they like each other or not.,M|I'm not sure if they like each other or not.
16,A,"Yeah, really, especially in Texas","A|Yeah, really, especially in Texas"
17,M,"I don't know, maybe it's just a Texas thing?","M|I don't know, maybe it's just a Texas thing?"
18,A,"It really was, yeah.","A|It really was, yeah."
19,M,"Well, that's how it's supposed to be.","M|Well, that's how it's supposed to be."
20,A,Yeah Did they get the serious problem that half the people don't vote.,A|Yeah Did they get the serious problem that half the people don't vote.
21,M,Is that a serious problem?,M|Is that a serious problem?
22,A,Yeah.,A|Yeah.
23,M,"Oh. Well, it's, it.","M|Oh. Well, it's, it."
24,A,"Yeah. It also seems like maybe another candidate that nobody wants could slip in if, you know, not enough people are voting.","A|Yeah. It also seems like maybe another candidate that nobody wants could slip in if, you know, not enough people are voting."
25,M,I think it's pretty obvious that this is a bad idea.,M|I think it's pretty obvious that this is a bad idea.
26,A,"Yeah, it's kind of like in Louisiana where that, uh, guy that's like a Ku Klux Klan member something got elected.","A|Yeah, it's kind of like in Louisiana where that, uh, guy that's like a Ku Klux Klan member something got elected."
27,M,What?,M|What?
28,A,Kind of scary when you think about that.,A|Kind of scary when you think about that.
29,M,It's not,M|It's not
30,A,"Oh, gosh.","A|Oh, gosh."
31,M,Aha! I can't!,M|Aha! I can't!
32,A,Yeah.,A|Yeah.
33,M,"Hey, that's the guy who shot the police officer that shot the guy in the","M|Hey, that's the guy who shot the police officer that shot the guy in the"
34,A,"Yeah, people will sit home and assume, oh, that guy would never get elected.","A|Yeah, people will sit home and assume, oh, that guy would never get elected."
35,M,You're assuming that.,M|You're assuming that.
36,A,"Next thing you know, you've got him.","A|Next thing you know, you've got him."
37,M,"Well, you've certainly got me there.","M|Well, you've certainly got me there."
38,A,Yeah.,A|Yeah.
39,M,"If you go to a polling station, you know who is the president of the party.","M|If you go to a polling station, you know who is the president of the party."
40,A,"Right, yeah.","A|Right, yeah."
41,M,"I'm pretty sure you can vote, if you vote for me, I will.","M|I'm pretty sure you can vote, if you vote for me, I will."
42,A,Yeah. Right.,A|Yeah. Right.
43,M,"He got elected, but I think it's a bit of a stretch to call him the president.","M|He got elected, but I think it's a bit of a stretch to call him the president."
44,A,"Yeah, he sure did.","A|Yeah, he sure did."
45,M,I think he got elected in the wrong state.,M|I think he got elected in the wrong state.
46,A,"Yeah. I think one thing that maybe would help people vote is if the polls were either open more days, or you could mail it in, or something like, if you have, if you have real strict work hours, and you can only go like at seven in the morning or after work and you have to stand in line for so long","A|Yeah. I think one thing that maybe would help people vote is if the polls were either open more days, or you could mail it in, or something like, if you have, if you have real strict work hours, and you can only go like at seven in the morning or after work and you have to stand in line for so long"
47,M,I like this idea.,M|I like this idea.
48,A,I think that discourages a lot of people.,A|I think that discourages a lot of people.
49,M,How do you feel about the voting system?,M|How do you feel about the voting system?
50,A,Uh-huh.,A|Uh-huh.
51,M,... uh... What?,M|... uh... What?
52,A,Right.,A|Right.
53,M,i.know.it.beyond.your.mind,M|i.know.it.beyond.your.mind
54,A,Uh-huh.,A|Uh-huh.
55,M,I don't think there's a reason for you to vote.,M|I don't think there's a reason for you to vote.
56,A,"Yeah, I'm in Dallas, and they're long here too.","A|Yeah, I'm in Dallas, and they're long here too."
57,M,"You know what? I'm not a fan of the Cowboys, but they've got a lot of good things going on.","M|You know what? I'm not a fan of the Cowboys, but they've got a lot of good things going on."
58,A,"Yeah, I voted absentee one year. I really was going to be gone. So, I did it, but, uh, it was nice. I would be tempted to do it again.","A|Yeah, I voted absentee one year. I really was going to be gone. So, I did it, but, uh, it was nice. I would be tempted to do it again."
59,M,I voted for the first time in my life. I'm not sure I'd be able to do that again.,M|I voted for the first time in my life. I'm not sure I'd be able to do that again.
60,A,Right.,A|Right.
61,M,I vote yes,M|I vote yes
62,A,Yeah. I think they should change the whole system so that it's easier,A|Yeah. I think they should change the whole system so that it's easier
63,M,Why? It's a good idea.,M|Why? It's a good idea.
64,A,I think more people would do it if it wasn't such a hassle.,A|I think more people would do it if it wasn't such a hassle.
65,M,"And, it's been a long time since we had a system like that.","M|And, it's been a long time since we had a system like that."
66,A,"Uh-huh,","A|Uh-huh,"
67,M,"I'm not that's just,","M|I'm not that's just,"
68,A,"Yeah, that would be. I usually vote. A lot of times I'll vote a straight party ticket just because I don't take the time to find out what every, you know, other than the major candidates, what they stand for on what issues,","A|Yeah, that would be. I usually vote. A lot of times I'll vote a straight party ticket just because I don't take the time to find out what every, you know, other than the major candidates, what they stand for on what issues,"
69,M,", work.","M|, work."
70,A,"so I'll just trust well, the party kind of goes along these lines so I'll go ahead and vote.","A|so I'll just trust well, the party kind of goes along these lines so I'll go ahead and vote."
71,M,I vote,M|I vote
72,A,Uh-huh.,A|Uh-huh.
73,M,", I'm sorry.","M|, I'm sorry."
74,A,Yeah.,A|Yeah.
75,M,"Oh, you mean that,","M|Oh, you mean that,"
76,A,"No, I guess it'd be best if you knew each person and what they stood for and why and everything.","A|No, I guess it'd be best if you knew each person and what they stood for and why and everything."
77,M,So... I guess I should,M|So... I guess I should
78,A,"Right, and try to determine if what you read was objective or not.","A|Right, and try to determine if what you read was objective or not."
79,M,You know.,M|You know.
80,A,Yeah.,A|Yeah.
81,M,"This isnt a story, its a compilation of what youve heard","M|This isnt a story, its a compilation of what youve heard"
82,A,Yeah.,A|Yeah.
83,M,Because the media is biased.Not the case with the elections.But we do have elections.They are very important.So.Do.They.Like.it.Much.Much more.,M|Because the media is biased.Not the case with the elections.But we do have elections.They are very important.So.Do.They.Like.it.Much.Much more.
84,A,Yeah.,A|Yeah.
85,M,It's a joke,M|It's a joke
86,A,"Yeah, I think it could affect the outcome, you know, could make it unfair.","A|Yeah, I think it could affect the outcome, you know, could make it unfair."
87,M,It's just a joke.It's not even funny.,M|It's just a joke.It's not even funny.
88,A,"Oh, yeah.","A|Oh, yeah."
89,M,The election has been in the works for a while.,M|The election has been in the works for a while.
90,A,"Yeah, the press has a lot of power.","A|Yeah, the press has a lot of power."
91,M,That's true.,M|That's true.
92,A,"Yeah, oh, but, boy you try get into that, you'd really open a can of worms.","A|Yeah, oh, but, boy you try get into that, you'd really open a can of worms."
93,M,"You have a point.They have no control over the press, they can't control the press.","M|You have a point.They have no control over the press, they can't control the press."
94,A,"Yeah, seems that they should regulate themselves a little bit, and I don't think they ever care to.","A|Yeah, seems that they should regulate themselves a little bit, and I don't think they ever care to."
95,M,"I'm not saying they don't, I'm just saying","M|I'm not saying they don't, I'm just saying"
96,A,"Well, I can't think of anything else really about the polls or voting, to talk about.","A|Well, I can't think of anything else really about the polls or voting, to talk about."
97,M,Do you think they care?,M|Do you think they care?
98,A,"Well, it was good talking to you.","A|Well, it was good talking to you."
99,M,I don't like it.,M|I don't like it.
100,A,Bye.,A|Bye.
101,M,Goodbye to you,M|Goodbye to you
