,Speaker,Utterance,Unified
5,M,"That, um, uh, uh?","M|That, um, uh, uh?"
6,A,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.","A|or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool."
7,M,"I think,","M|I think,"
8,A,Uh-huh.,A|Uh-huh.
9,M,"No, it's not.","M|No, it's not."
10,A,Yeah.,A|Yeah.
11,M,Do you mean carpool?,M|Do you mean carpool?
12,A,Exactly.,A|Exactly.
13,M,Because people don't know.,M|Because people don't know.
14,A,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","A|Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,"
15,M,I think it's the other way around.,M|I think it's the other way around.
16,A,"you're definitely right,","A|you're definitely right,"
17,M,"Well if they're not going to be there for a while, they're probably not going home.","M|Well if they're not going to be there for a while, they're probably not going home."
18,A,"Uh-huh. Sure. Sure, that happens quite a bit,","A|Uh-huh. Sure. Sure, that happens quite a bit,"
19,M,Uhh,M|Uhh
20,A,"Yes, yeah","A|Yes, yeah"
21,M,You think that's bad?,M|You think that's bad?
22,A,"that's very true. Uh, other than that, uh, I don't know,","A|that's very true. Uh, other than that, uh, I don't know,"
23,M,It's just a very small thing.,M|It's just a very small thing.
24,A,Okay.,A|Okay.
25,M,"No, I'm the only one that is, sorry","M|No, I'm the only one that is, sorry"
26,A,"Oh, okay, we'll try to be real quick here.","A|Oh, okay, we'll try to be real quick here."
27,M,"I'm sorry, I was talking to the guy in the other line","M|I'm sorry, I was talking to the guy in the other line"
28,A,"The other thing then is, because I don't know how long they want us to talk,","A|The other thing then is, because I don't know how long they want us to talk,"
29,M,"Oh, I didn't say that.","M|Oh, I didn't say that."
30,A,"Five minutes, oh, okay.","A|Five minutes, oh, okay."
31,M,There's not much time left.,M|There's not much time left.
32,A,"Minneapolis area,","A|Minneapolis area,"
