,Speaker,Utterance,Unified
5,M,you,M|you
6,A,"And the reason that they're inordinately high is because that has, to cover the costs for the indigent people who apparently don't have the money or the wherewithal to do that.","A|And the reason that they're inordinately high is because that has, to cover the costs for the indigent people who apparently don't have the money or the wherewithal to do that."
7,M,"They,...","M|They,..."
8,A,"It would seem to spread it out a little better if the employers who, uh, employ these people, and pay them, uh, you know, subminimum wages or whatever, were asked to share their fair burden of this too, just as my employer is.","A|It would seem to spread it out a little better if the employers who, uh, employ these people, and pay them, uh, you know, subminimum wages or whatever, were asked to share their fair burden of this too, just as my employer is."
9,M,That.,M|That.
10,A,"And myself, I guess.","A|And myself, I guess."
11,M,"If you could, sure.","M|If you could, sure."
12,A,"Well   well, who, who else is going to do this, then?","A|Well   well, who, who else is going to do this, then?"
13,M,"I guess you could, you know, just say you're the","M|I guess you could, you know, just say you're the"
14,A,"I mean, it's worked successfully in Europe.","A|I mean, it's worked successfully in Europe."
15,M,"The problem is, the government does not have the ability to do it.","M|The problem is, the government does not have the ability to do it."
16,A,"I've heard all these stories about, I travel extensively and spend, uh, maybe half a year in Europe every year,","A|I've heard all these stories about, I travel extensively and spend, uh, maybe half a year in Europe every year,"
17,M,"I'm not sure, but I think it's a common misconception.","M|I'm not sure, but I think it's a common misconception."
18,A,"and I find that the health care programs there, uh, are administered with, uh, at least people I talk to, with, uh, a great deal of integrity, and, uh, people don't seem to be reluctant to use them to any degree.","A|and I find that the health care programs there, uh, are administered with, uh, at least people I talk to, with, uh, a great deal of integrity, and, uh, people don't seem to be reluctant to use them to any degree."
19,M,"Yeah, it's a good thing, I find it odd that some people are against healthcare in general.","M|Yeah, it's a good thing, I find it odd that some people are against healthcare in general."
20,A,"As a matter of fact, if I'm injured or have an emergency when I'm, say in Germany or France, uh, that, I'm automatically taken care of,","A|As a matter of fact, if I'm injured or have an emergency when I'm, say in Germany or France, uh, that, I'm automatically taken care of,"
21,M,Do you have a problem?,M|Do you have a problem?
22,A,I mean I don't even have to pay.,A|I mean I don't even have to pay.
23,M,... but then you have to take care of them,M|... but then you have to take care of them
24,A,"Well I,  uh, uh, I know it.","A|Well I,  uh, uh, I know it."
25,M,,M|
26,A,"I have a solution, you see. my solution, even though I'm rapidly approaching the, uh, the age when I'll qualify for Medicare and Medicaid, I, I, my mother and father both, uh, uh, well, my father's not living but my mother is,","A|I have a solution, you see. my solution, even though I'm rapidly approaching the, uh, the age when I'll qualify for Medicare and Medicaid, I, I, my mother and father both, uh, uh, well, my father's not living but my mother is,"
27,M,h?,M|h?
28,A,"and they are, um, of an advanced years, and when I see the money that's poured down the, down the drain on Medicare and Medicaid, I mean, the,  absolute uncontrollable situation that we find ourselves in,","A|and they are, um, of an advanced years, and when I see the money that's poured down the, down the drain on Medicare and Medicaid, I mean, the,  absolute uncontrollable situation that we find ourselves in,"
29,M,"Uuh, uh","M|Uuh, uh"
30,A,"and the extraordinary amounts, I know that, because those people vote, I mean, they're the ones who get out and vote, that's what's robbing a poor mother of the prenatal care. The young people aren't getting the proper care that they need, and nutrition, I think,","A|and the extraordinary amounts, I know that, because those people vote, I mean, they're the ones who get out and vote, that's what's robbing a poor mother of the prenatal care. The young people aren't getting the proper care that they need, and nutrition, I think,"
31,M,That's,M|That's
32,A,"and we're spending on these useless, many times useless and inordinately complex unnecessary tests in hospitals for older people.","A|and we're spending on these useless, many times useless and inordinately complex unnecessary tests in hospitals for older people."
33,M,"yeah, though","M|yeah, though"
34,A,"That's right, I mean, it does,  seem like we're,","A|That's right, I mean, it does,  seem like we're,"
35,M,,M|
36,A,"now I noticed just the other day in the paper that, that Medicare will be based, payments will be based not, uh, just on cost, but on cost effectiveness. So I","A|now I noticed just the other day in the paper that, that Medicare will be based, payments will be based not, uh, just on cost, but on cost effectiveness. So I"
37,M,No.,M|No.
38,A,"Well, I don't know, uh, we'll see how that goes.","A|Well, I don't know, uh, we'll see how that goes."
39,M,I think it's time to go to the doctor.,M|I think it's time to go to the doctor.
40,A,"I think that was just a regulation that was up for comment, but we'll see what happens.","A|I think that was just a regulation that was up for comment, but we'll see what happens."
41,M,"Yes, but that's not a problem.","M|Yes, but that's not a problem."
42,A,"Well, listen, uh, I think I've, I've exhausted my, uh, self on, at least I've blown off steam of the way I feel about it.","A|Well, listen, uh, I think I've, I've exhausted my, uh, self on, at least I've blown off steam of the way I feel about it."
43,M,I'm... I'm sorry.,M|I'm... I'm sorry.
44,A,Okay?,A|Okay?
45,M,I'm fine with that,M|I'm fine with that
46,A,See you next time. Bye.,A|See you next time. Bye.
