,Speaker,Utterance,Unified
5,M,"That,","M|That,"
6,A,"We have got about, uh, twenty, I'd say about twenty-four hundred.","A|We have got about, uh, twenty, I'd say about twenty-four hundred."
7,M,How much do you guys have?,M|How much do you guys have?
8,A,"Uh, we've got five bedrooms, because we built onto our garage.","A|Uh, we've got five bedrooms, because we built onto our garage."
9,M,"We've got four bedrooms, because we're the one that got hit by a car.","M|We've got four bedrooms, because we're the one that got hit by a car."
10,A,"A, a bedroom for my mother, and, uh,","A|A, a bedroom for my mother, and, uh,"
11,M,"We have, uh, five bedrooms, so we can have a room.","M|We have, uh, five bedrooms, so we can have a room."
12,A,Oh.,A|Oh.
13,M,I built a sun room out of a sun.,M|I built a sun room out of a sun.
14,A,"Oh, that's great.","A|Oh, that's great."
15,M,"Well, they're just a big rock.","M|Well, they're just a big rock."
16,A,"Well, this, this house is very comfortable. We've got two living areas and that, that's the thing I probably like the most about it.","A|Well, this, this house is very comfortable. We've got two living areas and that, that's the thing I probably like the most about it."
17,M,"Oh, what's that?","M|Oh, what's that?"
18,A,It's just one story. Yeah. It's a Fox and Jacobs home.,A|It's just one story. Yeah. It's a Fox and Jacobs home.
19,M,That's a great home. I'm sure you've seen many stories about it.,M|That's a great home. I'm sure you've seen many stories about it.
20,A,"Um, we've been real happy with it.","A|Um, we've been real happy with it."
21,M,I'm sure you'll be happy.,M|I'm sure you'll be happy.
22,A,"Of course, I'm not a carpenter or anything like that. They could probably come in and say, gee, this is not straight and this is under something but,","A|Of course, I'm not a carpenter or anything like that. They could probably come in and say, gee, this is not straight and this is under something but,"
23,M,"I'm guessing you're a roofer, right?","M|I'm guessing you're a roofer, right?"
24,A,No.,A|No.
25,M,Do you have a bridge to sell?,M|Do you have a bridge to sell?
26,A,"No, we haven't had a lot of problems with it at all.","A|No, we haven't had a lot of problems with it at all."
27,M,Have you ever tried to use it?,M|Have you ever tried to use it?
28,A,No.,A|No.
29,M,I don't know if it's that or not.,M|I don't know if it's that or not.
30,A,"We've been real lucky. So,","A|We've been real lucky. So,"
31,M,"I don't know, it's been a while since we've had a big problem with it.","M|I don't know, it's been a while since we've had a big problem with it."
32,A,Yeah.,A|Yeah.
33,M,It's a gas and it's a natural.,M|It's a gas and it's a natural.
34,A,"Oh, yeah.","A|Oh, yeah."
35,M,And caves.,M|And caves.
36,A,"Yeah, I, I've heard a lot of people say that. That's for sure. Uh, we have an attic that we've just put, you know, plywood over the beams and things up in the attic and so that, has replaced it to some extent","A|Yeah, I, I've heard a lot of people say that. That's for sure. Uh, we have an attic that we've just put, you know, plywood over the beams and things up in the attic and so that, has replaced it to some extent"
37,M,It's an attic,M|It's an attic
38,A,"but certainly not,","A|but certainly not,"
39,M,"You have a basement, it's not a problem.","M|You have a basement, it's not a problem."
40,A,"Uh, in parts. I mean you couldn't, you really couldn't use it for a room.","A|Uh, in parts. I mean you couldn't, you really couldn't use it for a room."
41,M,"You know, I've never heard of a room being able to be torn down.","M|You know, I've never heard of a room being able to be torn down."
42,A,Yes.,A|Yes.
43,M,Is that a thing?,M|Is that a thing?
44,A,"Yeah. Yeah, we, uh, we've got, you know, I'll store all our Christmas stuff and whatever else junk up there.","A|Yeah. Yeah, we, uh, we've got, you know, I'll store all our Christmas stuff and whatever else junk up there."
45,M,We've got some of the best presents in the world.,M|We've got some of the best presents in the world.
46,A,"Two living areas. We have a living room and dining room at the front of the house,","A|Two living areas. We have a living room and dining room at the front of the house,"
47,M,Do you have a bedroom or do you have your own living room?,M|Do you have a bedroom or do you have your own living room?
48,A,"and then we have a, the, uh, family room, kitchen, and playroom at the rear of the house which has been really nice.","A|and then we have a, the, uh, family room, kitchen, and playroom at the rear of the house which has been really nice."
49,M,"We have a bedroom, and a bath.","M|We have a bedroom, and a bath."
50,A,"In fact, I really enjoy the playroom that, you would think that would not be a real bonus, you know, to a house, but of all the rooms in the house I'd say that was, that was the one that's been really nice to have","A|In fact, I really enjoy the playroom that, you would think that would not be a real bonus, you know, to a house, but of all the rooms in the house I'd say that was, that was the one that's been really nice to have"
51,M,"Ugh, I love that!","M|Ugh, I love that!"
52,A,I think that's true.,A|I think that's true.
53,M,There is a house in the play room,M|There is a house in the play room
54,A,"Yeah. Probably our family room is the, the biggest. Uh,","A|Yeah. Probably our family room is the, the biggest. Uh,"
55,M,"Oh. Well, I have a room.","M|Oh. Well, I have a room."
56,A,Yeah.,A|Yeah.
57,M,I think they are.,M|I think they are.
58,A,Yeah.,A|Yeah.
59,M,"So, uh, can I come?","M|So, uh, can I come?"
60,A,"Well, that's kind of the way our living room and dining room is,","A|Well, that's kind of the way our living room and dining room is,"
61,M,They are.,M|They are.
62,A,"but it is nice to have it because there's, uh, with our size of family it's nice to know that there's one that's always straight and clean if you have someone come just on the spur of the moment.","A|but it is nice to have it because there's, uh, with our size of family it's nice to know that there's one that's always straight and clean if you have someone come just on the spur of the moment."
63,M,I don't like that...,M|I don't like that...
64,A,So,A|So
65,M,It's always nice to see a family that's straight and straight,M|It's always nice to see a family that's straight and straight
66,A,Seventeen years.,A|Seventeen years.
67,M,How long have u been in the church?,M|How long have u been in the church?
68,A,Uh-huh.,A|Uh-huh.
69,M,It's been a long time,M|It's been a long time
70,A,"Oh, wow.","A|Oh, wow."
71,M,I am.,M|I am.
72,A,"Oh, uh-huh.","A|Oh, uh-huh."
73,M,I don't like the shape of that.,M|I don't like the shape of that.
74,A,"Yes, it is.","A|Yes, it is."
75,M,Are you the building on the right?,M|Are you the building on the right?
76,A,Uh-huh.,A|Uh-huh.
77,M,But... but... it's slab.,M|But... but... it's slab.
78,A,"Well, that's interesting.","A|Well, that's interesting."
79,M,You can't.,M|You can't.
80,A,Yeah.,A|Yeah.
81,M,Do you work in a basement?,M|Do you work in a basement?
82,A,"Uh-huh. Well, my husband wouldn't do that anyway. That's his, that's his,","A|Uh-huh. Well, my husband wouldn't do that anyway. That's his, that's his,"
83,M,They build it in the same way they build the house in the movies.,M|They build it in the same way they build the house in the movies.
84,A,worst thing in life is to have to repair something.,A|worst thing in life is to have to repair something.
85,M,I think he's saying it's a good thing he didn't have to do that.,M|I think he's saying it's a good thing he didn't have to do that.
86,A,"So,","A|So,"
87,M,It's not really a bad thing.,M|It's not really a bad thing.
88,A,"Well, uh, that's great. We just kind of save everything for when Al , uh, for, for when his Dad comes to visit and then he does all the repairing, you know, he does","A|Well, uh, that's great. We just kind of save everything for when Al , uh, for, for when his Dad comes to visit and then he does all the repairing, you know, he does"
89,M,"hmm, yeah, well, uh, you're just not a good, uh...","M|hmm, yeah, well, uh, you're just not a good, uh..."
