,Speaker,Utterance,Unified
5,M,It's not that.,M|It's not that.
6,A,"Uh, I think that's about where it is.","A|Uh, I think that's about where it is."
7,M,What,M|What
8,A,"Uh, yeah, I do that, I, I do, uh, some Lotus on it. Uh, do some, uh, Samna, some, uh, P F M, uh, nothing extremely complex.","A|Uh, yeah, I do that, I, I do, uh, some Lotus on it. Uh, do some, uh, Samna, some, uh, P F M, uh, nothing extremely complex."
9,M,"So you just do the math, huh?","M|So you just do the math, huh?"
10,A,Uh-huh.,A|Uh-huh.
11,M,"Uhh, yeah, I'm sure it's not very complicated.","M|Uhh, yeah, I'm sure it's not very complicated."
12,A,Yep.,A|Yep.
13,M,"So, uh, what's the problem?","M|So, uh, what's the problem?"
14,A,"Oh, yeah. I bet that's a pretty nice setup.","A|Oh, yeah. I bet that's a pretty nice setup."
15,M,"I have a base for my PC, I have a few extra keyboards I use.","M|I have a base for my PC, I have a few extra keyboards I use."
16,A,Yep.,A|Yep.
17,M,I think I have that one. Is it a T?,M|I think I have that one. Is it a T?
18,A,Wow.,A|Wow.
19,M,That's why I use my own spreadsheet,M|That's why I use my own spreadsheet
20,A,Yep.,A|Yep.
21,M,"Well, you know, that's true.","M|Well, you know, that's true."
22,A,Wow.,A|Wow.
23,M,The ability to move,M|The ability to move
24,A,Uh-huh.,A|Uh-huh.
25,M,Yeah. Uh.,M|Yeah. Uh.
26,A,Uh-huh.,A|Uh-huh.
27,M,I've got a hunch.,M|I've got a hunch.
28,A,Sure. Uh-huh.,A|Sure. Uh-huh.
29,M,I like it.,M|I like it.
30,A,Yeah. Yeah.,A|Yeah. Yeah.
31,M,You're a tool.,M|You're a tool.
32,A,Right.,A|Right.
33,M,Um. You?,M|Um. You?
34,A,"Well, um, I seem to always be in the, the next to the last generation of word processing software. When everyone was in Samna I was still in P F M, and now that I finally become proficient in Samna everybody's going to WordPerfect. So, I can never quite stay current with that.","A|Well, um, I seem to always be in the, the next to the last generation of word processing software. When everyone was in Samna I was still in P F M, and now that I finally become proficient in Samna everybody's going to WordPerfect. So, I can never quite stay current with that."
35,M,Are you still here?,M|Are you still here?
36,A,Uh-huh.,A|Uh-huh.
37,M,,M|
38,A,Oh. Huh. I can I can believe that.,A|Oh. Huh. I can I can believe that.
39,M,.,M|.
40,A,"No, not really. I'm not that up be on that sort of thing.","A|No, not really. I'm not that up be on that sort of thing."
41,M,I am confused.,M|I am confused.
42,A,"Oh, okay. Oh, okay. Okay. Oh, well, it sounds like you're pretty much into computers.","A|Oh, okay. Oh, okay. Okay. Oh, well, it sounds like you're pretty much into computers."
43,M,"Avengerm, is a mod","M|Avengerm, is a mod"
44,A,"I can believe that. Well, it's, it's been interesting.","A|I can believe that. Well, it's, it's been interesting."
45,M,"So, it's your job?","M|So, it's your job?"
46,A,"Yeah, of course, needs and wants aren't necessarily the same thing.","A|Yeah, of course, needs and wants aren't necessarily the same thing."
47,M,...,M|...
48,A,"I is, is that the newest thing now, the four eighty-six?","A|I is, is that the newest thing now, the four eighty-six?"
49,M,That's...,M|That's...
50,A,"That, that must be a fairly recent release.","A|That, that must be a fairly recent release."
51,M,"... That, that.","M|... That, that."
52,A,"Okay, okay. Because I, I had done capital packages for two eighty-sixes and three eighty-sixes, but I didn't know they had a four eighty-six just yet.","A|Okay, okay. Because I, I had done capital packages for two eighty-sixes and three eighty-sixes, but I didn't know they had a four eighty-six just yet."
53,M,"You, I, and the author, are all well aware.","M|You, I, and the author, are all well aware."
54,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
55,M,What do you mean?,M|What do you mean?
56,A,Sure. Yeah.,A|Sure. Yeah.
57,M,Oh. Well.,M|Oh. Well.
58,A,"I did too, and you have a good day.","A|I did too, and you have a good day."
59,M,Oh? I'm sorry.,M|Oh? I'm sorry.
60,A,Bye-bye.,A|Bye-bye.
61,M,Goodbye.,M|Goodbye.
