,Speaker,Utterance,Unified
5,M,I...,M|I...
6,A,"and we start out with EVENING SHADE and MAJOR DAD,","A|and we start out with EVENING SHADE and MAJOR DAD,"
7,M,"I know, I'm like a hundred pages in.","M|I know, I'm like a hundred pages in."
8,A,and I think that's the one night that we really try to watch television.,A|and I think that's the one night that we really try to watch television.
9,M,"Uhh, uh, uh","M|Uhh, uh, uh"
10,A,You know my husband's always got it on.,A|You know my husband's always got it on.
11,M,Umm. That's what I'm trying to say.,M|Umm. That's what I'm trying to say.
12,A,"I'm not always sitting down, and,","A|I'm not always sitting down, and,"
13,M,You mean you are?,M|You mean you are?
14,A,"Yes. Yes, yes. I just, I love that, all those, that two hours","A|Yes. Yes, yes. I just, I love that, all those, that two hours"
15,M,What about Monday night?,M|What about Monday night?
16,A,"and, uh, now tonight I just finished up with that A WOMAN CALLED JACKIE, did you watch did you watch it?","A|and, uh, now tonight I just finished up with that A WOMAN CALLED JACKIE, did you watch did you watch it?"
17,M,"I've been watching a lot of commercials lately, I'm glad I'm not the only one.","M|I've been watching a lot of commercials lately, I'm glad I'm not the only one."
18,A,"Yeah, it, it was pretty good, it, uh, sometimes I like a dramatization, and I like, uh, U S A, when they had their, uh, uh, mystery movies and things, their made for T V movies","A|Yeah, it, it was pretty good, it, uh, sometimes I like a dramatization, and I like, uh, U S A, when they had their, uh, uh, mystery movies and things, their made for T V movies"
19,M,"Weird, y'lame","M|Weird, y'lame"
20,A,"and, uh, I like those. We very seldom watch any, uh, Public Television, Channel Thirteen. Do you watch it much?","A|and, uh, I like those. We very seldom watch any, uh, Public Television, Channel Thirteen. Do you watch it much?"
21,M,I watch it.,M|I watch it.
22,A,Yes.,A|Yes.
23,M,What?,M|What?
24,A,Yes,A|Yes
25,M,"Yes, and, you.","M|Yes, and, you."
26,A,Now we haven't watched any of those.,A|Now we haven't watched any of those.
27,M,Yes.And.You.can.watch.all.of.the.the.,M|Yes.And.You.can.watch.all.of.the.the.
28,A,"Yes, now we have watched some things on that.","A|Yes, now we have watched some things on that."
29,M,That's the first time I've seen it.,M|That's the first time I've seen it.
30,A,"Yeah, we had, uh, I don't know, my husband loves to, uh, that male syndrome of flicking that channel, so, you know, and he's sit in front of it and, and he went by and he said, Whoops, and he backed up, and, you know, there's this surgery going on as we're eating our dinner you know,","A|Yeah, we had, uh, I don't know, my husband loves to, uh, that male syndrome of flicking that channel, so, you know, and he's sit in front of it and, and he went by and he said, Whoops, and he backed up, and, you know, there's this surgery going on as we're eating our dinner you know,"
31,M,I,M|I
32,A,and I'm saying let's move right on,A|and I'm saying let's move right on
33,M,It's,M|It's
34,A,"But our grandchildren like that Discovery Channel if they're over here, because lots of times it will have things on, uh, animals","A|But our grandchildren like that Discovery Channel if they're over here, because lots of times it will have things on, uh, animals"
35,M,So,M|So
36,A,"and they just thoroughly, you know, enjoy that","A|and they just thoroughly, you know, enjoy that"
37,M,"I like to imagine that when the aliens are going to get to the surface, they'll be watching the Discovery Channel, with their children, and their grandchildren.","M|I like to imagine that when the aliens are going to get to the surface, they'll be watching the Discovery Channel, with their children, and their grandchildren."
38,A,"in fact, I think they were watching something on, uh, whales, or killer sharks, one or the other couple of weeks ago over here","A|in fact, I think they were watching something on, uh, whales, or killer sharks, one or the other couple of weeks ago over here"
39,M,What did they say?,M|What did they say?
