Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	, you know ,	31	A	4, 34
3	3	, uh ,	17	A	22, 34, 38
3	2	, I	39	A	0, 34, 38
3	2	, and	39	A	4, 8, 42
3	2	I think	33	A	4, 22, 36
3	2	know ,	31	A	4, 8, 34
2	2	, is	17	A	22, 38
2	2	, just	5	A	38, 42
2	2	, you	31	A	4, 34
2	2	Uh-huh .	15	A	18, 32
2	2	Well ,	3	A	0, 2
2	2	Yeah .	5	A	20, 24
2	2	a ,	21	A	22, 42
2	2	at the	3	A	34, 36
2	2	is ,	17	A	22, 38
2	2	just ,	39	A	0, 38
2	2	my ,	13	A	10, 22
2	2	place .	5	A	38, 42
7	1	I	43	A	0, 4, 22, 34, 36, 38, 42
6	1	a	41	A	2, 22, 28, 34, 36, 42
6	1	the	35	A	4, 6, 8, 34, 36, 38
5	1	and	39	A	4, 8, 22, 34, 42
5	1	is	37	A	6, 22, 34, 38, 42
4	1	of	37	A	2, 34, 36, 38
4	1	that	31	A	8, 22, 34, 38
4	1	think	35	A	4, 22, 36, 38
3	1	Uh-huh	21	A	12, 18, 32
3	1	at	15	A	22, 34, 36
3	1	but	21	A	16, 34, 36
3	1	in	37	A	6, 34, 42
3	1	just	43	A	0, 38, 42
2	1	The	35	A	6, 40
2	1	They	11	A	28, 38
2	1	about	5	A	30, 34
2	1	do	15	A	22, 36
2	1	have	41	A	2, 42
2	1	it	31	A	6, 36
2	1	it's	9	A	8, 16
2	1	like	29	A	6, 34
2	1	not	39	A	4, 42
2	1	on	13	A	22, 34
2	1	or	17	A	6, 22
2	1	out	17	A	6, 22
2	1	place	5	A	38, 42
2	1	school	13	A	30, 42
2	1	so	11	A	4, 14
2	1	some	9	A	22, 30
2	1	them	35	A	2, 36
2	1	then	41	A	2, 42
2	1	things	13	A	22, 34
2	1	time	15	A	22, 36
2	1	to	21	A	22, 42
2	1	with	15	A	8, 22
2	1	you	31	A	4, 34

