,response,context,context/0,context/1,context/2,context/3
0,"Uhhh, look at that.",Uh-huh.,"uh, look at them, in England, Margaret Thatcher was prime minister, uh, Indira Ghandi, uh, in India,",Uh-huh.,"The, uh, uh, you know there are so many ramifications to this entire thing of woman, how women have changed,",Back by that.
1,Not yet.,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president.",Uh-huh.,"uh, look at them, in England, Margaret Thatcher was prime minister, uh, Indira Ghandi, uh, in India,",Uh-huh.,"The, uh, uh, you know there are so many ramifications to this entire thing of woman, how women have changed,"
2,"Uhh, you know, we, uh,",Uh-huh.,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president.",Uh-huh.,"uh, look at them, in England, Margaret Thatcher was prime minister, uh, Indira Ghandi, uh, in India,",Uh-huh.
3,"Uhh, uh, it's uhh, uhhh, have been in the","And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,",Uh-huh.,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president.",Uh-huh.,"uh, look at them, in England, Margaret Thatcher was prime minister, uh, Indira Ghandi, uh, in India,"
4,"I have, I, uhhhuhuhuh, we have, we, we","Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.","And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,",Uh-huh.,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president.",Uh-huh.
5,We're,Yes. Right.,"Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.","And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,",Uh-huh.,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president."
6,Because it's,"Um, because it is so, you know, it's,",Yes. Right.,"Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.","And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,",Uh-huh.
7,Because it's,"Uh, oh.","Um, because it is so, you know, it's,",Yes. Right.,"Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.","And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,"
8,You are not the first.,Hello.,"Uh, oh.","Um, because it is so, you know, it's,",Yes. Right.,"Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere."
9,"Uhhh, hi.","Uh, oh, I think, we're, we're supposed to hang up.",Hello.,"Uh, oh.","Um, because it is so, you know, it's,",Yes. Right.
10,You can't be both.,"Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal.","Uh, oh, I think, we're, we're supposed to hang up.",Hello.,"Uh, oh.","Um, because it is so, you know, it's,"
11,Are you referring to wealth disparity?,Yes.,"Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal.","Uh, oh, I think, we're, we're supposed to hang up.",Hello.,"Uh, oh."
12,"Oh. Well, I'll see you then.","Well, I'll talk to you later,",Yes.,"Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal.","Uh, oh, I think, we're, we're supposed to hang up.",Hello.
13,I'm a man of many talents.,"All right. Thank you.  Bye, bye.","Well, I'll talk to you later,",Yes.,"Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal.","Uh, oh, I think, we're, we're supposed to hang up."
