,response,context,context/0,context/1,context/2,context/3
0,You can't. It's the best.,When was that on?,Yes.,"Oh, I haven't watched that very much, is that, do you like that?",One that I can't find anymore which is GABRIEL'S FIRE.,"Yeah, so, uh, what are your favorite T V shows?"
1,What was the most recent game you watched?,"It was usually on, um, Thursday nights.",When was that on?,Yes.,"Oh, I haven't watched that very much, is that, do you like that?",One that I can't find anymore which is GABRIEL'S FIRE.
2,I think it was on the last Thursday night.,On A B C?,"It was usually on, um, Thursday nights.",When was that on?,Yes.,"Oh, I haven't watched that very much, is that, do you like that?"
3,What time was it?,I don't know,On A B C?,"It was usually on, um, Thursday nights.",When was that on?,Yes.
4,"That's not it, that's just a reference to the episode.","Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS.",I don't know,On A B C?,"It was usually on, um, Thursday nights.",When was that on?
5,Didn't it used to be the same time as the second episode of season 2?,"It was same time period, yes.","Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS.",I don't know,On A B C?,"It was usually on, um, Thursday nights."
6,,"Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know.","It was same time period, yes.","Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS.",I don't know,On A B C?
7,Yes.,You don't know what happened to GABRIEL'S FIRE then?,"Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know.","It was same time period, yes.","Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS.",I don't know
8,I.,"No, I have no idea. I don't think, I don't think that was on A B C, anyway I don't know what happened to it though.",You don't know what happened to GABRIEL'S FIRE then?,"Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know.","It was same time period, yes.","Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS."
9,3?,"I don't remember one, from one station to another. I keep forgetting one station. What's your second favorite?","No, I have no idea. I don't think, I don't think that was on A B C, anyway I don't know what happened to it though.",You don't know what happened to GABRIEL'S FIRE then?,"Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know.","It was same time period, yes."
