,Speaker,Utterance,Unified
5,B,"Yeah, uh, I was","B|Yeah, uh, I was"
6,M,,M|
7,B,"My community, that's cute. I live in a place called Dye Mound.","B|My community, that's cute. I live in a place called Dye Mound."
8,M,,M|
9,B,Or Dye Community.,B|Or Dye Community.
10,M,Or dye tribe.,M|Or dye tribe.
11,B,"And it's not a city, not incorporated, my nearest neighbor's about a half a mile at least, I can't even see their house and, uh,","B|And it's not a city, not incorporated, my nearest neighbor's about a half a mile at least, I can't even see their house and, uh,"
12,M,They're in my neighborhood.,M|They're in my neighborhood.
13,B,"Yeah, I mean, uh, I'm out in, I'm out in the wilderness. Literally.","B|Yeah, I mean, uh, I'm out in, I'm out in the wilderness. Literally."
14,M,I'm a dog.,M|I'm a dog.
15,B,"And, uh, well, give you an idea, it's three and a half miles of dirt road to the concrete, I mean, to the asphalt, we're out there.","B|And, uh, well, give you an idea, it's three and a half miles of dirt road to the concrete, I mean, to the asphalt, we're out there."
16,M,"Oh, well, um, I like to live my life.","M|Oh, well, um, I like to live my life."
17,B,"And, uh, we, I do some interesting recycling things.","B|And, uh, we, I do some interesting recycling things."
18,M,"I'm not sure, uh, I don't know.","M|I'm not sure, uh, I don't know."
19,B,"I'm building our house right now and I'm going to incorporate into my, uh, garage area a weight activated, uh, crusher.","B|I'm building our house right now and I'm going to incorporate into my, uh, garage area a weight activated, uh, crusher."
20,M,"... well, good.","M|... well, good."
21,B,"So when I drive the car in the, in the driveway in the afternoon, it, it will just drive it up on a ramp that actually puts me on top of the, the, uh, pressure side of a, uh, hydraulic cylinder.","B|So when I drive the car in the, in the driveway in the afternoon, it, it will just drive it up on a ramp that actually puts me on top of the, the, uh, pressure side of a, uh, hydraulic cylinder."
22,M,How are you going to build the car?,M|How are you going to build the car?
23,B,"And the weight of the car will crush, what's ever in the disposer.","B|And the weight of the car will crush, what's ever in the disposer."
24,M,It's the weight that matters.,M|It's the weight that matters.
25,B,"hopefully, it's not my wife.","B|hopefully, it's not my wife."
26,M,I'm not sure.,M|I'm not sure.
27,B,"Well, I thought I'd, you know, I'd use it as a, an escapement type thing. I don't know if you're familiar with that operation, but, what you do is you just build up the pressure","B|Well, I thought I'd, you know, I'd use it as a, an escapement type thing. I don't know if you're familiar with that operation, but, what you do is you just build up the pressure"
28,M,"That's not an escape, that's a ramp.","M|That's not an escape, that's a ramp."
29,B,"and then you go over and release it and then it just, it just drops, you know.","B|and then you go over and release it and then it just, it just drops, you know."
30,M,"But then it won't, it'll just, uh, just drop","M|But then it won't, it'll just, uh, just drop"
31,B,"Very similar, yeah.","B|Very similar, yeah."
32,M,Like a hydraulic pump?,M|Like a hydraulic pump?
33,B,"Well, what, what it will be, you just, you drive up on the jack, but you, it won't go down.","B|Well, what, what it will be, you just, you drive up on the jack, but you, it won't go down."
34,M,"I know, but what will it be?","M|I know, but what will it be?"
35,B,"Until you pull the pin, yeah.","B|Until you pull the pin, yeah."
36,M,"If you're driving on the right, you can go down.","M|If you're driving on the right, you can go down."
37,B,"Anyway I have another, uh, recycling method I use.","B|Anyway I have another, uh, recycling method I use."
38,M,"I think you're going to have to get that out of the way, my friend.","M|I think you're going to have to get that out of the way, my friend."
39,B,You know all that junk mail you get?,B|You know all that junk mail you get?
40,M,I can't even think of a way to get it.,M|I can't even think of a way to get it.
41,B,"The glossy paper that says, buy this, and send off for that and you have won and all that.","B|The glossy paper that says, buy this, and send off for that and you have won and all that."
42,M,"Yes, I have.","M|Yes, I have."
43,B,"Well, anytime they send me a return envelope I put all that stuff back in the envelope plus the other stuff that I, you know, happen to gather up.","B|Well, anytime they send me a return envelope I put all that stuff back in the envelope plus the other stuff that I, you know, happen to gather up."
44,M,What do you mean?,M|What do you mean?
45,B,"Because, uh, well, like I say, we live a way and when you throw trash away, you throw it in my yard.","B|Because, uh, well, like I say, we live a way and when you throw trash away, you throw it in my yard."
46,M,Why are you putting all that garbage in the trash can?,M|Why are you putting all that garbage in the trash can?
47,B,And I don't like that,B|And I don't like that
48,M,He sighs.,M|He sighs.
49,B,"so I don't do that. So I take it and I send, and I mail it back to them.","B|so I don't do that. So I take it and I send, and I mail it back to them."
50,M,I don't have any. I do have the receipt.,M|I don't have any. I do have the receipt.
51,B,I've had four companies actually stop mailing me stuff.,B|I've had four companies actually stop mailing me stuff.
52,M,You've had a lot of work done,M|You've had a lot of work done
53,B,"Yeah. Well, I think one of the, the best ways to eliminate, uh, or help the recycling problem is to eliminate non reusable items.","B|Yeah. Well, I think one of the, the best ways to eliminate, uh, or help the recycling problem is to eliminate non reusable items."
54,M,It,M|It
55,B,"For instance, uh, I saw a thing on, uh, NOVA, I think it was the other day.","B|For instance, uh, I saw a thing on, uh, NOVA, I think it was the other day."
56,M,Ugh. I hate you,M|Ugh. I hate you
57,B,"This guy has designed recyclable materials, I mean recyclable items.","B|This guy has designed recyclable materials, I mean recyclable items."
58,M,I'm not sure.,M|I'm not sure.
59,B,"Whatever he makes, it's all out of the same thing.","B|Whatever he makes, it's all out of the same thing."
60,M,I think he meant to say that he designed it,M|I think he meant to say that he designed it
61,B,"See, so, plastic, it's all out of plastic.","B|See, so, plastic, it's all out of plastic."
62,M,No. It's a plastic recycler.,M|No. It's a plastic recycler.
63,B,"If it's metal, it's all out of metal. It's, he's a design, he's a engineer, designing stuff.","B|If it's metal, it's all out of metal. It's, he's a design, he's a engineer, designing stuff."
64,M,It's not metal.,M|It's not metal.
65,B,"And, and, incorporating, you know, reusable materials into your, uh, you know, your assembly line into your actual scheme of product operations is is the only way to really do it on a, on a broad scale.","B|And, and, incorporating, you know, reusable materials into your, uh, you know, your assembly line into your actual scheme of product operations is is the only way to really do it on a, on a broad scale."
66,M,"I like this idea, but it is very, very impractical.","M|I like this idea, but it is very, very impractical."
