,Speaker,Utterance,Unified
5,B,"Oh, boy.","B|Oh, boy."
6,M,I am the child of the child.,M|I am the child of the child.
7,B,Yeah.,B|Yeah.
8,M,I see.,M|I see.
9,B,Are you? Where are a student?,B|Are you? Where are a student?
10,M,Good. I'm glad you're okay.,M|Good. I'm glad you're okay.
11,B,No kidding.,B|No kidding.
12,M,Awww. You should go to school for this.,M|Awww. You should go to school for this.
13,B,I was a professor in a university here in California for a while.,B|I was a professor in a university here in California for a while.
14,M,It's an old meme.,M|It's an old meme.
15,B,"Yeah, uh, are you going to, uh, put your son in child care in a, a year or two?","B|Yeah, uh, are you going to, uh, put your son in child care in a, a year or two?"
16,M,"Well, you know, that's why I was asking.","M|Well, you know, that's why I was asking."
17,B,Yeah.,B|Yeah.
18,M,You're in school?,M|You're in school?
19,B,Uh-huh.,B|Uh-huh.
20,M,"Okay, yeah.","M|Okay, yeah."
21,B,Yeah.,B|Yeah.
22,M,"So, I'm assuming it'll be a four to five hour week?","M|So, I'm assuming it'll be a four to five hour week?"
23,B,Yeah. Yeah.,B|Yeah. Yeah.
24,M,You'rein.,M|You'rein.
25,B,"Well, that's a good experience, I think, and, uh, there are a lot of things to think about and the articles that are written on the topic, are pretty good and they kind of boil down to, uh, any other important decision you really have to explore the alternative","B|Well, that's a good experience, I think, and, uh, there are a lot of things to think about and the articles that are written on the topic, are pretty good and they kind of boil down to, uh, any other important decision you really have to explore the alternative"
26,M,"we're, they're'a.","M|we're, they're'a."
27,B,"and what we found, uh, to be the best guide was our own instincts about, people who were going to be loving","B|and what we found, uh, to be the best guide was our own instincts about, people who were going to be loving"
28,M,We got it.,M|We got it.
29,B,"and, uh, that's more important than anything else. We could have sent, uh, her to a fancier, uh, facility.","B|and, uh, that's more important than anything else. We could have sent, uh, her to a fancier, uh, facility."
30,M,We could have,M|We could have
31,B,"Uh, she goes to a home. This is a, uh, a couple, uh, emigrated from China early in, in their lives.","B|Uh, she goes to a home. This is a, uh, a couple, uh, emigrated from China early in, in their lives."
32,M,"What are you, uh, going to do, uh...","M|What are you, uh, going to do, uh..."
