,Speaker,Utterance,Unified
5,M,you,M|you
6,B,"Wow. Wow. That's a, a big job.","B|Wow. Wow. That's a, a big job."
7,M,"I know, right?","M|I know, right?"
8,B,Uh-huh.,B|Uh-huh.
9,M,"Oh yeah, uh huh.","M|Oh yeah, uh huh."
10,B,Uh-huh.,B|Uh-huh.
11,M,"This is a lot more than just the dirt, this is the entire planet.","M|This is a lot more than just the dirt, this is the entire planet."
12,B,"Oh, sure. Oh, I bet it's beautiful.","B|Oh, sure. Oh, I bet it's beautiful."
13,M,This is how you build a beautiful house.,M|This is how you build a beautiful house.
14,B,Uh-huh.,B|Uh-huh.
15,M,"I know, I was just kidding.","M|I know, I was just kidding."
16,B,Wild flowers.,B|Wild flowers.
17,M,What's the flowers?,M|What's the flowers?
18,B,Uh-huh.,B|Uh-huh.
19,M,We get the best of the best.,M|We get the best of the best.
20,B,Uh-huh.,B|Uh-huh.
21,M,"I know, right?","M|I know, right?"
22,B,"Oh, that sounds lovely. Uh-huh. Oh, the wild flowers are beautiful. I think, um, I was thinking about throwing some for, in the back, just where the kids, um, just way in the back, behind the swing sets or, just have some wild flowers growing back there would be real pretty. Then you don't really have to have much maintenance involved.","B|Oh, that sounds lovely. Uh-huh. Oh, the wild flowers are beautiful. I think, um, I was thinking about throwing some for, in the back, just where the kids, um, just way in the back, behind the swing sets or, just have some wild flowers growing back there would be real pretty. Then you don't really have to have much maintenance involved."
23,M,I,M|I
24,B,Uh-huh.,B|Uh-huh.
25,M,I see,M|I see
26,B,"Uh-huh,  I know a lot of","B|Uh-huh,  I know a lot of"
27,M,Hahhhhhhuh,M|Hahhhhhhuh
28,B,"uh-huh, a lot of women do. Um, I've just never really, you know, maybe one of these days I'll have to get out there and mow, but, um, my husband takes it on, and I'll help rake up the grass, and, um, sometimes I'll help him edge, um, because, we don't have that much property, but we're on a corner lot, so there's a lot of edging to do","B|uh-huh, a lot of women do. Um, I've just never really, you know, maybe one of these days I'll have to get out there and mow, but, um, my husband takes it on, and I'll help rake up the grass, and, um, sometimes I'll help him edge, um, because, we don't have that much property, but we're on a corner lot, so there's a lot of edging to do"
29,M,I,M|I
30,B,"and, um, uh, that's what's nice about living more in the country, you don't have to worry about any of that","B|and, um, uh, that's what's nice about living more in the country, you don't have to worry about any of that"
31,M,"i don't really, you're","M|i don't really, you're"
32,B,"Oh. Oh, that's nice, I, this is different for us because the other, in the past we've had homes that haven't had any side walks, and, um, it's been a little more country with the trees, and we do miss that. Um, if we had a chance to move, I think we'd move back to somewhere that was a little more countrified and a little less maintenance required as, as far as that goes.","B|Oh. Oh, that's nice, I, this is different for us because the other, in the past we've had homes that haven't had any side walks, and, um, it's been a little more country with the trees, and we do miss that. Um, if we had a chance to move, I think we'd move back to somewhere that was a little more countrified and a little less maintenance required as, as far as that goes."
33,M,A.,M|A.
34,B,Uh-huh.,B|Uh-huh.
35,M,We are you?,M|We are you?
36,B,Oh. Uh-huh.,B|Oh. Uh-huh.
37,M,You know,M|You know
38,B,"Wow that's,","B|Wow that's,"
39,M,"A lot of trees, and, uh, conservation.","M|A lot of trees, and, uh, conservation."
40,B,Um.,B|Um.
41,M,"We're in, uh","M|We're in, uh"
42,B,Uh-huh. Right.,B|Uh-huh. Right.
43,M,"Oh yeah, it's cold out, I'm trying to build a snowman","M|Oh yeah, it's cold out, I'm trying to build a snowman"
44,B,"Right.  Well, I put,","B|Right.  Well, I put,"
45,M,I don't have the right to say that.,M|I don't have the right to say that.
46,B,Uh-huh.,B|Uh-huh.
47,M,You and me both brother.,M|You and me both brother.
48,B,Uh-huh.,B|Uh-huh.
49,M,"Uh, you don't have to be so rude.","M|Uh, you don't have to be so rude."
50,B,"Oh. Oh, that sounds so pretty.","B|Oh. Oh, that sounds so pretty."
51,M,"They have all summer, and we have lots of spring.","M|They have all summer, and we have lots of spring."
52,B,"Oh really Do they, don't do any damage, though, they just fly right back out, if you have the,","B|Oh really Do they, don't do any damage, though, they just fly right back out, if you have the,"
53,M,I'll keep an eye out for them.,M|I'll keep an eye out for them.
54,B,I see.,B|I see.
55,M,"Well, they don t like it here, but they don't like to eat.","M|Well, they don t like it here, but they don't like to eat."
56,B,I see.,B|I see.
57,M,You can eat the babies,M|You can eat the babies
58,B,Uh-huh.,B|Uh-huh.
59,M,You see?,M|You see?
60,B,Uh-huh.,B|Uh-huh.
61,M,"You know, for the mostly non native american, you have a few plants in your home, right?","M|You know, for the mostly non native american, you have a few plants in your home, right?"
62,B,"Oh, oh, that sounds wonderful.","B|Oh, oh, that sounds wonderful."
63,M,I love strawberries.,M|I love strawberries.
64,B,"Oh, I love home grown tomatos.","B|Oh, I love home grown tomatos."
65,M,What about the tomatoes?,M|What about the tomatoes?
66,B,There's nothing like them. They just don't have the same ones in the supermarket,B|There's nothing like them. They just don't have the same ones in the supermarket
67,M,I've never had them. They are good though.,M|I've never had them. They are good though.
68,B,"What does that mean, accidental tomatoes?","B|What does that mean, accidental tomatoes?"
69,M,"You're right, tomatoes are a thing.","M|You're right, tomatoes are a thing."
70,B,Uh-huh.,B|Uh-huh.
71,M,You're right. I think it's because it's a tomatos.,M|You're right. I think it's because it's a tomatos.
72,B,I see.,B|I see.
73,M,The seeds go in the tomatoes,M|The seeds go in the tomatoes
