,Speaker,Utterance,Unified
5,B,"Um,","B|Um,"
6,M,"I'm not saying it's not a good idea, but it's a terrible idea.","M|I'm not saying it's not a good idea, but it's a terrible idea."
7,B,Uh-huh.,B|Uh-huh.
8,M,I don't know.,M|I don't know.
9,B,"Oh, which state is that?","B|Oh, which state is that?"
10,M,State of the art.,M|State of the art.
11,B,Uh-huh.,B|Uh-huh.
12,M,State of Minnesota.,M|State of Minnesota.
13,B,Uh-huh.,B|Uh-huh.
14,M,"This is one of the ugliest, most bizarre, most confusing, most nonsensical, most ridiculous, most annoying, most disturbing, most incomprehensible, most hilarious, most","M|This is one of the ugliest, most bizarre, most confusing, most nonsensical, most ridiculous, most annoying, most disturbing, most incomprehensible, most hilarious, most"
15,B,Right. Right.,B|Right. Right.
16,M,They might.,M|They might.
17,B,Yep. Right.,B|Yep. Right.
18,M,"The military, uh, finds","M|The military, uh, finds"
19,B,Yeah.,B|Yeah.
20,M,I think you are talking about the military.,M|I think you are talking about the military.
21,B,Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,B|Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.
22,M,I know.That's why I said it.,M|I know.That's why I said it.
23,B,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","B|I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was."
24,M,There's no such thing as a waste of money.,M|There's no such thing as a waste of money.
25,B,"And I think that, that maybe more widespread than well, than we'd like to have think.","B|And I think that, that maybe more widespread than well, than we'd like to have think."
26,M,We have plenty of money for it.,M|We have plenty of money for it.
27,B,"But, but then it's something that's hard to enforce too I'm sure.","B|But, but then it's something that's hard to enforce too I'm sure."
28,M,"If you think that's something we should be worried about, then you're probably right.","M|If you think that's something we should be worried about, then you're probably right."
29,B,Uh-huh.,B|Uh-huh.
30,M,I'mep.,M|I'mep.
31,B,Right.,B|Right.
32,M,You know. I'm just'bout that.com.,M|You know. I'm just'bout that.com.
33,B,Uh-huh.,B|Uh-huh.
34,M,A big crunch.,M|A big crunch.
35,B,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","B|Well, that's right. Uh, I think that, oh, politicians talk a lot about waste"
36,M,"Because, uh, politicians don't talk about waste.","M|Because, uh, politicians don't talk about waste."
37,B,but I'm not sure that that's really that much of the problem.,B|but I'm not sure that that's really that much of the problem.
38,M,"Uuhh. Uh, it's not like they are doing anything.","M|Uuhh. Uh, it's not like they are doing anything."
39,B,"I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.","B|I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles."
40,M,Because it costs taxpayers millions in military spending.,M|Because it costs taxpayers millions in military spending.
41,B,Yeah.,B|Yeah.
42,M,But the USA never did,M|But the USA never did
43,B,Right. Uh-huh.,B|Right. Uh-huh.
44,M,It's not really.,M|It's not really.
45,B,Uh-huh. Right.,B|Uh-huh. Right.
46,M,No.,M|No.
47,B,Okay All right. You too.,B|Okay All right. You too.
48,M,"Oh, I'm fine, just don't want to be alone.","M|Oh, I'm fine, just don't want to be alone."
49,B,Bye-bye.,B|Bye-bye.
50,M,See you later,M|See you later
