,Speaker,Utterance,Unified
5,B,How about yourself?,B|How about yourself?
6,M,I'm about.,M|I'm about.
7,B,Really?,B|Really?
8,M,I do.,M|I do.
9,B,"Oh, yeah, that's neat.","B|Oh, yeah, that's neat."
10,M,"Well, I like to photograph things.","M|Well, I like to photograph things."
11,B,"Oh, that's great, uh-huh.","B|Oh, that's great, uh-huh."
12,M,"I have a few, I have a lot more, but I've been working on some stuff for the past few weeks.","M|I have a few, I have a lot more, but I've been working on some stuff for the past few weeks."
13,B,"Oh, that sounds nice. I like bluegrass, too.","B|Oh, that sounds nice. I like bluegrass, too."
14,M,...,M|...
15,B,Uh-huh.,B|Uh-huh.
16,M,I don't be a doctor?,M|I don't be a doctor?
17,B,"That's the hard part, right?","B|That's the hard part, right?"
18,M,"I'm in a relationship, I'm going to try to do it as soon as possible","M|I'm in a relationship, I'm going to try to do it as soon as possible"
19,B,"If you can do things together, that really helps a lot.","B|If you can do things together, that really helps a lot."
20,M,I do.,M|I do.
21,B,"Oh, that's good, too.","B|Oh, that's good, too."
22,M,"we did aerobiic stuff together, and we made some really cool stuff","M|we did aerobiic stuff together, and we made some really cool stuff"
23,B,Uh-huh.,B|Uh-huh.
24,M,"Oh, that's nice.","M|Oh, that's nice."
25,B,"Oh, it's good and it's healthy, too.","B|Oh, it's good and it's healthy, too."
26,M,"oh, that's great.it's good.it'S bad.it's good.It'' good.","M|oh, that's great.it's good.it'S bad.it's good.It'' good."
27,B,"We do that too, we have a, uh, a treadmill and, uh, a bicycle and that kind of stuff, we try to get twenty minutes like at least three for four times a week, you know.","B|We do that too, we have a, uh, a treadmill and, uh, a bicycle and that kind of stuff, we try to get twenty minutes like at least three for four times a week, you know."
28,M,You can do that?!?,M|You can do that?!?
29,B,Yeah.,B|Yeah.
30,M,I know.,M|I know.
31,B,"And we like movies, that yeah.","B|And we like movies, that yeah."
32,M,We like movies.,M|We like movies.
33,B,Uh-huh.,B|Uh-huh.
34,M,Yea.But I don't wanna talk about it.,M|Yea.But I don't wanna talk about it.
35,B,Sure.,B|Sure.
36,M,I'll see you later.,M|I'll see you later.
37,B,"Oh yeah, that's great, too. Uh-huh. Yeah, we did some remodeling when we bought a house, we built, put a kitchen in and, um, that kind of stuff, and painting and some wallpapering, that's fun.","B|Oh yeah, that's great, too. Uh-huh. Yeah, we did some remodeling when we bought a house, we built, put a kitchen in and, um, that kind of stuff, and painting and some wallpapering, that's fun."
38,M,"I know, right?","M|I know, right?"
39,B,It is. It really is.,B|It is. It really is.
40,M,"Ya, it is.","M|Ya, it is."
41,B,"Yeah, exactly. I like things that, you know, two people can do, but I like the quiet of doing things away, you know, kind of gives you some space for yourself, and that's what I find in making the dolls and things, that it gives me something that I can create, and I like to crochet and knit. I made some afghans and that kind of stuff. I like doing things with my hands.","B|Yeah, exactly. I like things that, you know, two people can do, but I like the quiet of doing things away, you know, kind of gives you some space for yourself, and that's what I find in making the dolls and things, that it gives me something that I can create, and I like to crochet and knit. I made some afghans and that kind of stuff. I like doing things with my hands."
42,M,,M|
43,B,Yeah.,B|Yeah.
44,M,I'm just making it is,M|I'm just making it is
45,B,"Yes, I love to cook.","B|Yes, I love to cook."
46,M,"Oh, I'm sure. You like to","M|Oh, I'm sure. You like to"
47,B,Italian food,B|Italian food
48,M,I love to eat.,M|I love to eat.
49,B,"Yeah, pizzas and spaghettis and lasagnas and that kind of stuff.","B|Yeah, pizzas and spaghettis and lasagnas and that kind of stuff."
50,M,Do you like to cook?,M|Do you like to cook?
51,B,Yeah.,B|Yeah.
52,M,I like it.,M|I like it.
53,B,"Uh-huh. Yeah, it is.","B|Uh-huh. Yeah, it is."
54,M,"Yeah, it's good.","M|Yeah, it's good."
55,B,Do you do barbecues?,B|Do you do barbecues?
56,M,I can't. I'm afraid.,M|I can't. I'm afraid.
57,B,"Well, uh, uh, smoking and all that stuff?","B|Well, uh, uh, smoking and all that stuff?"
58,M,He was a little bit out of breath.,M|He was a little bit out of breath.
59,B,"Yeah, yep,","B|Yeah, yep,"
60,M,"Well, uh, all that smoking stuff.","M|Well, uh, all that smoking stuff."
61,B,"I, I lived in Abilene for a little while, and, uh, worked in the Abilene plant,","B|I, I lived in Abilene for a little while, and, uh, worked in the Abilene plant,"
62,M,"Oh, uh, I lived there.","M|Oh, uh, I lived there."
63,B,"and we used to go to Joe Allen's Barbecue, and, uh, oh, that was great.","B|and we used to go to Joe Allen's Barbecue, and, uh, oh, that was great."
64,M,And we used the same kind of paper towels,M|And we used the same kind of paper towels
65,B,"Really great,","B|Really great,"
66,M,I know.,M|I know.
67,B,they have some nice stuff down there. I miss it,B|they have some nice stuff down there. I miss it
68,M,It's not that far from the beach.,M|It's not that far from the beach.
69,B,"Oh, yeah.","B|Oh, yeah."
70,M,"There's, uh, uh...","M|There's, uh, uh..."
71,B,"We did, I did horseback riding, too, in fact, when my children were growing up, we always had horses and, uh, that was kind of for them, but they weren't as interested in it as we were, you know, so, uh, that was a real, I'd say probably for maybe fifteen years, we dabbled in that, you know, we always had horses around, and I really enjoyed that,","B|We did, I did horseback riding, too, in fact, when my children were growing up, we always had horses and, uh, that was kind of for them, but they weren't as interested in it as we were, you know, so, uh, that was a real, I'd say probably for maybe fifteen years, we dabbled in that, you know, we always had horses around, and I really enjoyed that,"
72,M,I,M|I
73,B,and I was disappointed when I went to Texas. I didn't see that many of them.,B|and I was disappointed when I went to Texas. I didn't see that many of them.
74,M,"No, we had a horse riding.","M|No, we had a horse riding."
75,B,Yes,B|Yes
76,M,I think of course,M|I think of course
77,B,"I know, I know, it's true.","B|I know, I know, it's true."
78,M,It's not true.,M|It's not true.
79,B,Uh-huh.,B|Uh-huh.
80,M,There are no buildings.,M|There are no buildings.
81,B,"Yeah, you too, you too.","B|Yeah, you too, you too."
82,M,"I know, I know.","M|I know, I know."
83,B,Okay.,B|Okay.
84,M,I'm not too sure.,M|I'm not too sure.
85,B,Me too.,B|Me too.
86,M,He smiles,M|He smiles
87,B,Okay.,B|Okay.
88,M,"well, we are the best team in the league.","M|well, we are the best team in the league."
89,B,"Bye, now.","B|Bye, now."
