,Speaker,Utterance,Unified
5,B,Surely.,B|Surely.
6,M,Not. Yet.,M|Not. Yet.
7,B,"You mean they don't have the, uh, the smog alerts?","B|You mean they don't have the, uh, the smog alerts?"
8,M,I know. They should have been more concerned about the smogginess of the air in the area.,M|I know. They should have been more concerned about the smogginess of the air in the area.
9,B,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","B|Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there."
10,M,"Not in Dallas, Texas.","M|Not in Dallas, Texas."
11,B,"Oh, really","B|Oh, really"
12,M,"Oh, and the, uh, the smo... Oh, well, they have the smoo...","M|Oh, and the, uh, the smo... Oh, well, they have the smoo..."
13,B,"Yeah.   Actually, I'm a California born person.","B|Yeah.   Actually, I'm a California born person."
14,M,"It's a nice name. I'm from Texas, so I'm used to calling myself Texan.","M|It's a nice name. I'm from Texas, so I'm used to calling myself Texan."
15,B,"I was born in L A so I know what you're talking about.  In L A, it's pretty bad.","B|I was born in L A so I know what you're talking about.  In L A, it's pretty bad."
16,M,You were born in California?,M|You were born in California?
17,B,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","B|Uh, the worst city in the, in the world is actually, uh, Mexico City."
18,M,"No, the worst is the worst.","M|No, the worst is the worst."
19,B,Yes.,B|Yes.
20,M,It's a pretty good city,M|It's a pretty good city
21,B,The worst one for smog is Mexico City.,B|The worst one for smog is Mexico City.
22,M,Mexico City is the worst one.,M|Mexico City is the worst one.
23,B,The most polluted city in the world,B|The most polluted city in the world
24,M,Mexico City has a lot of pollution.,M|Mexico City has a lot of pollution.
25,B,".  Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.","B|.  Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles."
26,M,Well they've got a lot of money.,M|Well they've got a lot of money.
27,B,"Uh, some things they do, one of them is they're using corn in fuel.","B|Uh, some things they do, one of them is they're using corn in fuel."
28,M,"I've seen it too, it's a lot of things.","M|I've seen it too, it's a lot of things."
29,B,You ever heard of that?,B|You ever heard of that?
30,M,Uhhhhh... no,M|Uhhhhh... no
31,B,Yeah. Methanol?,B|Yeah. Methanol?
32,M,"Well, there is ethanol in the fuel, so that's why they're doing it.","M|Well, there is ethanol in the fuel, so that's why they're doing it."
33,B,"Yeah. Well that's big up here because of the, they grow a lot of corn","B|Yeah. Well that's big up here because of the, they grow a lot of corn"
34,M,I'm a bit of a corn guy.,M|I'm a bit of a corn guy.
35,B,"Uh, that's one thing that they do. At that, it's pretty easy to do.","B|Uh, that's one thing that they do. At that, it's pretty easy to do."
36,M,I don't know. I've never seen a corn crop that big.,M|I don't know. I've never seen a corn crop that big.
37,B,"And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.","B|And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that."
38,M,"I don't really, but, uh, I don't know what you're on about.","M|I don't really, but, uh, I don't know what you're on about."
39,B,"It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","B|It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn."
40,M,"I'm not sure about that. The most efficient crop is a few thousand years ago, and it was the most efficient way to grow it","M|I'm not sure about that. The most efficient crop is a few thousand years ago, and it was the most efficient way to grow it"
41,B,Yeah.,B|Yeah.
42,M,"There is no, of course.","M|There is no, of course."
43,B,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered","B|Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered"
44,M,"Oh. You're, uh, not, that's weird.","M|Oh. You're, uh, not, that's weird."
45,B,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.","B|And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it."
46,M,Uhhhuhhhhhhhhhhhhhhhh. I dunno.,M|Uhhhuhhhhhhhhhhhhhhhh. I dunno.
47,B,So the engine kicks on when the batteries need power and it turns off.,B|So the engine kicks on when the batteries need power and it turns off.
48,M,"Oh, I thought the car was just a battery.","M|Oh, I thought the car was just a battery."
49,B,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy","B|Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy"
50,M,That's a gas powered car.,M|That's a gas powered car.
51,B,Unlike a car where it's running.,B|Unlike a car where it's running.
52,M,I have a feeling that gas is a gas,M|I have a feeling that gas is a gas
53,B,A electric car it's on demand. I mean it's either on or off.,B|A electric car it's on demand. I mean it's either on or off.
54,M,I don't think so.,M|I don't think so.
55,B,Basically.,B|Basically.
56,M,Electric cars.Electric cars are like a car.,M|Electric cars.Electric cars are like a car.
57,B,"You don't have to shift  So you, cars become very simple all  of a sudden too.","B|You don't have to shift  So you, cars become very simple all  of a sudden too."
58,M,It's like I'm driving a car.,M|It's like I'm driving a car.
59,B,Very interesting.,B|Very interesting.
60,M,No. He said.,M|No. He said.
61,B,"Yeah. There's, there's a race in Australia with solar powered cars.","B|Yeah. There's, there's a race in Australia with solar powered cars."
62,M,Is that like a race?,M|Is that like a race?
63,B,And Ford and General Motors and all those compete.,B|And Ford and General Motors and all those compete.
64,M,"They compete in all sports, and compete with each other.","M|They compete in all sports, and compete with each other."
65,B,Right. Yeah,B|Right. Yeah
66,M,There is a race.,M|There is a race.
67,B,"G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now.","B|G M, uh, Chrysler announced that they're going to, they're, well they actually have an electric minivan. Yeah. Their, their Caravan. But it costs, uh, fifty thousand dollars right now."
68,M,I think it's called a minivan,M|I think it's called a minivan
