,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
6,M,fun.,M|fun.
7,B,Right.,B|Right.
8,M,"They have, uh, recycling.","M|They have, uh, recycling."
9,B,"Oh. Right. Over here, they, uh, have several private companies that you can take, uh, recycled, materials to. But, uh, if you want to take them all to one place, they have, uh, the first Saturday of every month, they have certain places that you can drop them off. That's what I do. Uh, and I, I recycle aluminum, glass, uh, newspapers.","B|Oh. Right. Over here, they, uh, have several private companies that you can take, uh, recycled, materials to. But, uh, if you want to take them all to one place, they have, uh, the first Saturday of every month, they have certain places that you can drop them off. That's what I do. Uh, and I, I recycle aluminum, glass, uh, newspapers."
10,M,,M|
11,B,"So it's nice to have, you know, one place that you can take them all to instead of driving the glass to one place","B|So it's nice to have, you know, one place that you can take them all to instead of driving the glass to one place"
12,M,That.,M|That.
13,B,"Right. So it's, so that's nice. It would be, it would be really nice if they, uh, came to the house to pick it up and they just were talking about a bill in Tucson about that, but, uh, uh, it didn't go through.","B|Right. So it's, so that's nice. It would be, it would be really nice if they, uh, came to the house to pick it up and they just were talking about a bill in Tucson about that, but, uh, uh, it didn't go through."
14,M,"i, I","M|i, I"
15,B,"Right. I guess what they, what they were talking about here was, uh, was reducing the garbage collection in order to make that up or something, you know.","B|Right. I guess what they, what they were talking about here was, uh, was reducing the garbage collection in order to make that up or something, you know."
16,M,That.,M|That.
17,B,"Uh, so I guess that's one option.","B|Uh, so I guess that's one option."
18,M,I'll do you think about it.,M|I'll do you think about it.
19,B,"I guess one thing they're working on now is recycling plastics too.  Like, uh","B|I guess one thing they're working on now is recycling plastics too.  Like, uh"
20,M,That's good.,M|That's good.
21,B,"have you noticed that on the bottom of plastic goods, they have this little number now that tells what  kind of plastic it is?","B|have you noticed that on the bottom of plastic goods, they have this little number now that tells what  kind of plastic it is?"
22,M,"I think they do, and it's a good thing.","M|I think they do, and it's a good thing."
23,B,"Yeah, I guess the problem with plastic is there's so many different kinds that you can't recycle, you can't just throw all plastic into one recycler.","B|Yeah, I guess the problem with plastic is there's so many different kinds that you can't recycle, you can't just throw all plastic into one recycler."
24,M,I have a friend that's a mechanic who's been in the field for 20 years. He said he has the same problem with metal.,M|I have a friend that's a mechanic who's been in the field for 20 years. He said he has the same problem with metal.
25,B,"Yeah. So now they're like marking, uh, they're, I don't know, there's six, seven, eight different kind of plastics and they, they mark on the bottom what kind it is.","B|Yeah. So now they're like marking, uh, they're, I don't know, there's six, seven, eight different kind of plastics and they, they mark on the bottom what kind it is."
26,M,"I've seen this before,","M|I've seen this before,"
27,B,"So I guess that makes it easy to recycle and then they're, they're, uh, trying to make plastic goods that don't have a bunch of different plastics in them, you know, that are, that are only made out of one kind of plastic so that that makes it easier I guess.","B|So I guess that makes it easy to recycle and then they're, they're, uh, trying to make plastic goods that don't have a bunch of different plastics in them, you know, that are, that are only made out of one kind of plastic so that that makes it easier I guess."
28,M,,M|
29,B,Right.,B|Right.
30,M,I,M|I
31,B,Where does your friend go to to recycle?,B|Where does your friend go to to recycle?
32,M,"Don't, they don'you,'they do, '","M|Don't, they don'you,'they do, '"
33,B,Uh-huh.,B|Uh-huh.
34,M,I'm sorry.,M|I'm sorry.
35,B,Yeah.,B|Yeah.
36,M,What about her?,M|What about her?
37,B,Yeah.,B|Yeah.
38,M,Uhm... I don't know.,M|Uhm... I don't know.
39,B,"I guess that's how it gets passed on. You know, when one person, you hear  from another person","B|I guess that's how it gets passed on. You know, when one person, you hear  from another person"
40,M,She says that in her voice.,M|She says that in her voice.
41,B,"and then, uh, and then you, and then you pass it on.","B|and then, uh, and then you, and then you pass it on."
42,M,No.Not even the person who passed it.,M|No.Not even the person who passed it.
43,B,"It seems to be catching on, uh, slowly but surely, I guess","B|It seems to be catching on, uh, slowly but surely, I guess"
44,M,That's the thing.,M|That's the thing.
45,B,Uh-huh.,B|Uh-huh.
46,M,"I know, uh huh","M|I know, uh huh"
47,B,"Uh-huh.  Wow, that's cute.  That's neat, yeah.  When you,","B|Uh-huh.  Wow, that's cute.  That's neat, yeah.  When you,"
48,M,"No, it's, you, that, you're.","M|No, it's, you, that, you're."
49,B,"Well, when you start early, I guess,","B|Well, when you start early, I guess,"
