,Speaker,Utterance,Unified
5,M,yeah i'm pretty sure i have a few of those in my inventory,M|yeah i'm pretty sure i have a few of those in my inventory
6,g,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,g|you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve
7,M,turn around,M|turn around
8,g,to the bottom of the cliffs,g|to the bottom of the cliffs
9,M,where is it?,M|where is it?
10,g,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,g|and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches
11,M,I don't know how to get to the bottom,M|I don't know how to get to the bottom
12,g,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,g|an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there
13,M,what if you're on the right hand side?,M|what if you're on the right hand side?
14,g,so now you're about,g|so now you're about
15,M,It's not really a problem if you're a right handed man,M|It's not really a problem if you're a right handed man
16,g,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,g|you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay
17,M,i'm not sure how you can tell the length of a cross,M|i'm not sure how you can tell the length of a cross
18,g,no no,g|no no
19,M,you know,M|you know
20,g,no the initial line from the cross,g|no the initial line from the cross
21,M,no it's a long way to the right,M|no it's a long way to the right
22,g,goes right but it doesn't go as far right as the cliffs,g|goes right but it doesn't go as far right as the cliffs
23,M,i'm confused,M|i'm confused
24,g,it goes down to where it says cliffs okay,g|it goes down to where it says cliffs okay
25,M,"I'm confused, the first line from a cross, the second line from an enemy","M|I'm confused, the first line from a cross, the second line from an enemy"
26,g,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,g|about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're
27,M,I don't get it,M|I don't get it
28,g,yeah,g|yeah
29,M,"right, right straight down the start then you're in the bottom of the start?","M|right, right straight down the start then you're in the bottom of the start?"
30,g,until you're about you know four inches or four and a half inches or so down from the start,g|until you're about you know four inches or four and a half inches or so down from the start
31,M,left straight up?,M|left straight up?
32,g,do you have an old pine,g|do you have an old pine
33,M,yes but i can't use my old pine or a new pine,M|yes but i can't use my old pine or a new pine
34,g,yeah a single old pine,g|yeah a single old pine
35,M,i don't know how you'd get that from the picture.,M|i don't know how you'd get that from the picture.
36,g,and down down as far as that okay,g|and down down as far as that okay
37,M,u dogetipbot 50 doge verify,M|u dogetipbot 50 doge verify
38,g,but you know beneath the start,g|but you know beneath the start
39,M,there's a way,M|there's a way
40,g,so then you go right which would be under the forge and you go up over the old pine okay,g|so then you go right which would be under the forge and you go up over the old pine okay
41,M,i go up to the forge,M|i go up to the forge
42,g,over the pine,g|over the pine
43,M,under the forge,M|under the forge
44,g,yeah more or less,g|yeah more or less
45,M,I go right up,M|I go right up
46,g,as as long as you avoid the forge and the pine you you don't have to,g|as as long as you avoid the forge and the pine you you don't have to
47,M,so... how far can I go?,M|so... how far can I go?
48,g,worry too much about the exact,g|worry too much about the exact
49,M,not really,M|not really
50,g,route but eh,g|route but eh
51,M,I have a torch and a torch.,M|I have a torch and a torch.
52,g,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest,g|right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest
53,M,I don't know how to do that.,M|I don't know how to do that.
54,g,you have well just go down the left-hand side of the pine forest,g|you have well just go down the left-hand side of the pine forest
55,M,huh? how do i do that?,M|huh? how do i do that?
56,g,you've got a bay there,g|you've got a bay there
57,M,and a pine tree,M|and a pine tree
58,g,i don't have a bay there it'll be at the top,g|i don't have a bay there it'll be at the top
59,M,i dont have a tree there,M|i dont have a tree there
60,g,have you got a bay at the bottom,g|have you got a bay at the bottom
61,M,uhhhhhhhhhhh,M|uhhhhhhhhhhh
62,g,crane bay,g|crane bay
63,M,which one is it?,M|which one is it?
64,g,where's the one at the top,g|where's the one at the top
65,M,what about the one above it?,M|what about the one above it?
66,g,how far down,g|how far down
67,M,theres a way to get the screenshot up,M|theres a way to get the screenshot up
68,g,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest,g|yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest
69,M,goin for the bay,M|goin for the bay
70,g,okay once you're at the bottom of the pine forest just where it says pine,g|okay once you're at the bottom of the pine forest just where it says pine
71,M,that's the bay.,M|that's the bay.
72,g,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields,g|okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields
73,M,h,M|h
74,g,on your map no well the,g|on your map no well the
75,M,what if I just go to the bottom right?,M|what if I just go to the bottom right?
76,g,you have right,g|you have right
77,M,"no, it's a map","M|no, it's a map"
78,g,well just draw the arc and stop the arc you know in line with the wheatfields but beneath the pine forest okay,g|well just draw the arc and stop the arc you know in line with the wheatfields but beneath the pine forest okay
79,M,i dont know i didnt draw it.,M|i dont know i didnt draw it.
80,g,oh two or three inches down from the pine forest okay you know it doesn't have to be an arc as long as you avoid all the obstacles i think eh if you you know if you finish up eh in line with the wheatfields okay but beneath the pine forest you if you stop drawing your line there above the bakery in other words above the eh,g|oh two or three inches down from the pine forest okay you know it doesn't have to be an arc as long as you avoid all the obstacles i think eh if you you know if you finish up eh in line with the wheatfields okay but beneath the pine forest you if you stop drawing your line there above the bakery in other words above the eh
81,M,it's a joke,M|it's a joke
82,g,well er you know imagine where the forge would be on your map or it's it's on mine but imagine where it would be,g|well er you know imagine where the forge would be on your map or it's it's on mine but imagine where it would be
83,M,im in the forge,M|im in the forge
84,g,about two inches down from that in in between the the forge and the old pine,g|about two inches down from that in in between the the forge and the old pine
85,M,How far down,M|How far down
86,g,on the left-hand side okay so where are you now,g|on the left-hand side okay so where are you now
87,M,the forge is right there,M|the forge is right there
88,g,mmhmm no no no,g|mmhmm no no no
89,M,"up to the forge where you meet the new guys, then we'll get to the other side","M|up to the forge where you meet the new guys, then we'll get to the other side"
90,g,no don't worry about the wheatfields it's just to tell you where to stop the line,g|no don't worry about the wheatfields it's just to tell you where to stop the line
91,M,can i stop?,M|can i stop?
92,g,never mind about it being an arc or a curve or anything,g|never mind about it being an arc or a curve or anything
93,M,"no I mean the line, not the wheat field","M|no I mean the line, not the wheat field"
94,g,just just go down the left-hand side of the pine forest,g|just just go down the left-hand side of the pine forest
95,M,i am just wondering how you did it,M|i am just wondering how you did it
96,g,okay and once you get to the where it says pine draw a line from there to eh above the bakery but not the chimney a bit to the left of that in fact the left-hand side it must be a wee shed or whatever it is,g|okay and once you get to the where it says pine draw a line from there to eh above the bakery but not the chimney a bit to the left of that in fact the left-hand side it must be a wee shed or whatever it is
97,M,I am,M|I am
98,g,you see what i,g|you see what i
99,M,ohh i see,M|ohh i see
100,g,yeah but stop when you get just to above the bakery,g|yeah but stop when you get just to above the bakery
101,M,you can see what im going to do right now,M|you can see what im going to do right now
102,g,then just go round the bakery on the right-hand side just draw a an oval shape round the right-hand side of the bakery,g|then just go round the bakery on the right-hand side just draw a an oval shape round the right-hand side of the bakery
103,M,I'm not sure what you mean. I can't draw circles on the ground.,M|I'm not sure what you mean. I can't draw circles on the ground.
104,g,yeah right round it uh-huh,g|yeah right round it uh-huh
105,M,what is the best way to do that?,M|what is the best way to do that?
106,g,underneath the bakery,g|underneath the bakery
107,M,in the corner,M|in the corner
108,g,have you got a canal,g|have you got a canal
109,M,under the bakery.,M|under the bakery.
110,g,no well the canal is about two inches to the left-hand side of the bakery but it's in line with it so once you get an inch or and a half or so past the bakery,g|no well the canal is about two inches to the left-hand side of the bakery but it's in line with it so once you get an inch or and a half or so past the bakery
111,M,I think you mean the canal,M|I think you mean the canal
112,g,eh take your line down to crane bay oh i've got two wheatfields that's not important is it right anyway so you get to the canal right you don't have one but just go down about two inches until you get to crane bay and follow follow the curve okay of crane bay,g|eh take your line down to crane bay oh i've got two wheatfields that's not important is it right anyway so you get to the canal right you don't have one but just go down about two inches until you get to crane bay and follow follow the curve okay of crane bay
113,M,the two little wheatfields,M|the two little wheatfields
114,g,but not don't go down just go along don't go don't go down where it it really curves away there don't don't follow that,g|but not don't go down just go along don't go don't go down where it it really curves away there don't don't follow that
115,M,yeah...,M|yeah...
116,g,so you're at the top left-hand side of crane bay right just northwest of where it says crane,g|so you're at the top left-hand side of crane bay right just northwest of where it says crane
117,M,i'm on the right,M|i'm on the right
118,g,"or the where the ""c"" is","g|or the where the ""c"" is"
119,M,What about the crane bay?,M|What about the crane bay?
120,g,i've got wheatfields in line with where it says bay okay about an inch or so to the left of crane bay itself just in line in fact beneath where the other wheatfields were that i that i was telling you about,g|i've got wheatfields in line with where it says bay okay about an inch or so to the left of crane bay itself just in line in fact beneath where the other wheatfields were that i that i was telling you about
121,M,what are you talking about?,M|what are you talking about?
122,g,okay so you go round the round that curve and you have to go down and about an inch and a half okay to to avoid the wheatfields which are just to the left of crane bay so you go down there right,g|okay so you go round the round that curve and you have to go down and about an inch and a half okay to to avoid the wheatfields which are just to the left of crane bay so you go down there right
123,M,so i'm not wrong?,M|so i'm not wrong?
124,g,go beneath the wheatfields in other words draw a line you know two inches or so to the left have you got a rocket warehouse,g|go beneath the wheatfields in other words draw a line you know two inches or so to the left have you got a rocket warehouse
125,M,,M|
126,g,well just draw a line between well above the rocket warehouse in fact okay,g|well just draw a line between well above the rocket warehouse in fact okay
127,M,how do you know when you have a rocket farm?,M|how do you know when you have a rocket farm?
128,g,an an inch or so above the rocket warehouse but to the left of it go round it the same way as you went round the igloo but on the other side okay just follow it round,g|an an inch or so above the rocket warehouse but to the left of it go round it the same way as you went round the igloo but on the other side okay just follow it round
129,M,I don't get it,M|I don't get it
130,g,go down the left-hand side of the page once you've done that,g|go down the left-hand side of the page once you've done that
131,M,i know right? how do you do that?,M|i know right? how do you do that?
132,g,have you got a lighthouse,g|have you got a lighthouse
133,M,the building in the background,M|the building in the background
134,g,the rocket warehouse,g|the rocket warehouse
135,M,where are you standing?,M|where are you standing?
136,g,the cross is right next to the lighthouse and just take your line to there and that's it finished,g|the cross is right next to the lighthouse and just take your line to there and that's it finished
137,M,i can help u in a sec,M|i can help u in a sec
138,g,on the left-hand side of it,g|on the left-hand side of it
139,M,where is the cross?,M|where is the cross?
140,g,well yeah that would be okay,g|well yeah that would be okay
141,M,right i just wanna know how far the cross is,M|right i just wanna know how far the cross is
142,g,uh-huh and just the cross is right you know the left-hand side of the lighthouse just next to it,g|uh-huh and just the cross is right you know the left-hand side of the lighthouse just next to it
143,M,oh okay.,M|oh okay.
144,g,okay got it,g|okay got it
145,M,Uhhhh... yes.,M|Uhhhh... yes.
146,g,right that's it finished,g|right that's it finished
