,Speaker,Utterance,Unified
5,M,"okay, I'll just go in there and check","M|okay, I'll just go in there and check"
6,g,right take that same line still down vertically to the left of the ravine,g|right take that same line still down vertically to the left of the ravine
7,M,no i mean like a little bit down,M|no i mean like a little bit down
8,g,well just draw round it,g|well just draw round it
9,M,i think you can't go around the ravines on the ravins,M|i think you can't go around the ravines on the ravins
10,g,uh-huh is the cottage in the way there no,g|uh-huh is the cottage in the way there no
11,M,It's a ravine.,M|It's a ravine.
12,g,well that's okay right now take that take the line is the cottage directly beside the ravine,g|well that's okay right now take that take the line is the cottage directly beside the ravine
13,M,"i dont know how to take a picture of a ravine, it was the ravines fault","M|i dont know how to take a picture of a ravine, it was the ravines fault"
14,g,is there a space between them yeah,g|is there a space between them yeah
15,M,oh so you're in the ravines right now?,M|oh so you're in the ravines right now?
16,g,right take the line and go to your right underneath the cottage can you do that,g|right take the line and go to your right underneath the cottage can you do that
17,M,"I'm in the ravines, just walk around and you'll find me","M|I'm in the ravines, just walk around and you'll find me"
18,g,yeah but i want you to draw up through between the cottage and the ravine,g|yeah but i want you to draw up through between the cottage and the ravine
19,M,i think you're the one that needs to draw that,M|i think you're the one that needs to draw that
20,g,no up through go go down vertically until you're and draw underneath the cottage and then come up,g|no up through go go down vertically until you're and draw underneath the cottage and then come up
21,M,i think it's more to do with the angle of the picture,M|i think it's more to do with the angle of the picture
22,g,between the cottage and the ravine,g|between the cottage and the ravine
23,M,Where do you live?,M|Where do you live?
24,g,you weren't meant to,g|you weren't meant to
25,M,I was told it was supposed to be a pond,M|I was told it was supposed to be a pond
26,g,okay right you went down past burnt forest,g|okay right you went down past burnt forest
27,M,i did,M|i did
28,g,well you weren't meant to,g|well you weren't meant to
29,M,i was not,M|i was not
30,g,okay right you're meant to come down from the start,g|okay right you're meant to come down from the start
31,M,"i was meant to draw round, but i went up","M|i was meant to draw round, but i went up"
32,g,vertically right past burnt forest,g|vertically right past burnt forest
33,M,turns around and stands up You were supposed to come,M|turns around and stands up You were supposed to come
34,g,keep drawing vertically,g|keep drawing vertically
35,M,vertical towards burnt forest and back,M|vertical towards burnt forest and back
36,g,past the cottage,g|past the cottage
37,M,right past burnt mountain,M|right past burnt mountain
38,g,then go right underneath the cottage,g|then go right underneath the cottage
39,M,then turn right,M|then turn right
40,g,go up through between the cottage and the ravine 'til you get to stop just above the ravine,g|go up through between the cottage and the ravine 'til you get to stop just above the ravine
41,M,go down through the ravines,M|go down through the ravines
42,g,and do you have a remote village,g|and do you have a remote village
43,M,go to the cottage then,M|go to the cottage then
44,g,well on my map to the right of burnt cottage there's a remote village okay,g|well on my map to the right of burnt cottage there's a remote village okay
45,M,I can't find any.,M|I can't find any.
46,g,uh-huh and that's just situated above the ravine,g|uh-huh and that's just situated above the ravine
47,M,"yes, where is it?","M|yes, where is it?"
48,g,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,g|okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle
49,M,i want you not to imagine,M|i want you not to imagine
50,g,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,g|so draw your line to the right horizontally above the ravine okay then do you have a pine forest
51,M,i don't have a tree on the map,M|i don't have a tree on the map
52,g,a pine grove uh-huh,g|a pine grove uh-huh
53,M,a forest,M|a forest
54,g,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,g|i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove
55,M,okay but i want you draw your lines,M|okay but i want you draw your lines
