,Speaker,Utterance,Unified
5,M,sarah and dan,M|sarah and dan
6,g,right,g|right
7,M,left is a hole in the ground,M|left is a hole in the ground
8,g,okay i want you go down about three inches,g|okay i want you go down about three inches
9,M,I'm so sorry.,M|I'm so sorry.
10,g,yeah,g|yeah
11,M,you got it,M|you got it
12,g,just down at the side just straight down,g|just down at the side just straight down
13,M,how far?,M|how far?
14,g,and then go round in a curve underneath the diamond mine,g|and then go round in a curve underneath the diamond mine
15,M,"i can do that, i'll be on in a bit","M|i can do that, i'll be on in a bit"
16,g,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,g|then you want to start like carry on that curve for about four or five inches just gradually heading up the way right
17,M,"no, i'm just going to be in the way","M|no, i'm just going to be in the way"
18,g,no no no no,g|no no no no
19,M,"no, it's the diamond","M|no, it's the diamond"
20,g,past the diamond mine not that not that steep a curve like just,g|past the diamond mine not that not that steep a curve like just
21,M,you're going to make a curve that's not steep,M|you're going to make a curve that's not steep
22,g,just like just more a wee bit more than a straight line along past the diamond mine,g|just like just more a wee bit more than a straight line along past the diamond mine
23,M,the curve is a little steep for me,M|the curve is a little steep for me
24,g,i i don't suppose you've got a graveyard have you,g|i i don't suppose you've got a graveyard have you
25,M,i don't think so,M|i don't think so
26,g,no right,g|no right
27,M,"no, i have a graveyard","M|no, i have a graveyard"
28,g,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,g|yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek
29,M,i dont know how to go about it,M|i dont know how to go about it
30,g,yeah over the top,g|yeah over the top
31,M,you wanna go round up,M|you wanna go round up
32,g,and down the right-hand side,g|and down the right-hand side
33,M,and over the left side,M|and over the left side
34,g,right,g|right
35,M,Left side,M|Left side
36,g,see your apache camp,g|see your apache camp
37,M,we'll see,M|we'll see
38,g,right head down towards that and then just curve down the left-hand side that,g|right head down towards that and then just curve down the left-hand side that
39,M,right? i'm not sure what to do,M|right? i'm not sure what to do
40,g,canoes,g|canoes
41,M,canoe or canoes?,M|canoe or canoes?
42,g,no i've no got any canoes,g|no i've no got any canoes
43,M,no you have canoes.,M|no you have canoes.
44,g,do you see the carved wooden pole,g|do you see the carved wooden pole
45,M,"i have the canoes and canoes, i can't get the canoe, but i can get the canoe and canoe","M|i have the canoes and canoes, i can't get the canoe, but i can get the canoe and canoe"
46,g,no you see the walled city,g|no you see the walled city
47,M,"no, I don't","M|no, I don't"
48,g,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city,g|right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city
49,M,when you are coming down,M|when you are coming down
50,g,okay and then just like a nice big curve heading down about six inches,g|okay and then just like a nice big curve heading down about six inches
51,M,ok i'll see what i can do,M|ok i'll see what i can do
52,g,you see the carved wooden pole at the bottom,g|you see the carved wooden pole at the bottom
53,M,yea sure,M|yea sure
54,g,well you you need to be about two inch you you need to end up about two inches from the top there,g|well you you need to be about two inch you you need to end up about two inches from the top there
55,M,what do you mean?,M|what do you mean?
56,g,two inches above it,g|two inches above it
57,M,You don't need to go any further,M|You don't need to go any further
58,g,yeah,g|yeah
59,M,so... how far?,M|so... how far?
60,g,sort of curving round now see stone creek,g|sort of curving round now see stone creek
61,M,"right,","M|right,"
62,g,right you're just heading along past that you see the flat rocks,g|right you're just heading along past that you see the flat rocks
63,M,"it's not a flat rock, it's a flat lake","M|it's not a flat rock, it's a flat lake"
64,g,no,g|no
65,M,i think it's the top of stone creek and the top right of stonecreek,M|i think it's the top of stone creek and the top right of stonecreek
66,g,great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle,g|great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle
67,M,I'm not sure what you're trying to say,M|I'm not sure what you're trying to say
68,g,aye,g|aye
69,M,you're not in a cave,M|you're not in a cave
70,g,right you well right you're going past you're going up over stone creek and your line's just about touching where flat rocks is written,g|right you well right you're going past you're going up over stone creek and your line's just about touching where flat rocks is written
71,M,right me well right me well what is flat rock?,M|right me well right me well what is flat rock?
72,g,so that's where you want to end up,g|so that's where you want to end up
73,M,i'm not even sure,M|i'm not even sure
74,g,now keep heading to the right a bit,g|now keep heading to the right a bit
75,M,I'm on the right.,M|I'm on the right.
76,g,further until you're about an inch away from the edge of the paper,g|further until you're about an inch away from the edge of the paper
77,M,far away,M|far away
78,g,right see the buffalo,g|right see the buffalo
79,M,left right,M|left right
80,g,ah right right head down the right sand hand side of the paper and curve underneath the buffalo,g|ah right right head down the right sand hand side of the paper and curve underneath the buffalo
81,M,right hand side down,M|right hand side down
82,g,do you see a cattle ranch no,g|do you see a cattle ranch no
83,M,i see a horse ranch,M|i see a horse ranch
84,g,right ehm you see that fort,g|right ehm you see that fort
85,M,i see a buffalo,M|i see a buffalo
86,g,away at the other side right you're heading to go under that but like on your way about halfway between the buffalo and the fort there's a wee blip in your line,g|away at the other side right you're heading to go under that but like on your way about halfway between the buffalo and the fort there's a wee blip in your line
87,M,"i cant see it, im on the right side","M|i cant see it, im on the right side"
88,g,like you're going over the top something and then coming back down and going under the fort,g|like you're going over the top something and then coming back down and going under the fort
89,M,like where are you going?,M|like where are you going?
90,g,so just do that,g|so just do that
91,M,the one in the back,M|the one in the back
92,g,right where are you now then,g|right where are you now then
93,M,right over the fort?,M|right over the fort?
94,g,right you just want to curve up the left-hand side of the fort just curve a nice big curve round it,g|right you just want to curve up the left-hand side of the fort just curve a nice big curve round it
95,M,how do i get to the fort?,M|how do i get to the fort?
96,g,and that's it you're finished,g|and that's it you're finished
97,M,no i'm not,M|no i'm not
