Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	i want you	49	5	2	g	44,49	[[44, 49]]
6	0	2	i want	49	43	2	g	44,49,54,59,86,87	[[44, 49], [54, 59], [86, 87]]
2	0	2	want you	49	5	2	g	44,49	[[44, 49]]
7	1	2	to the	39	111	1	g	38,39,43,68,73,148,149	[[38, 39, 43], [68, 73], [148, 149]]
2	0	2	you to	59	1	3	g	58,59	[[58, 59]]
4	0	2	to draw	111	5	1	g	108,111,112,113	[[108, 111, 112, 113]]
2	0	2	the avalanche	63	3	1	g	60,63	[[60, 63]]
52	12	1	the	5	151	1	g	4,5,7,8,10,11,12,13,14,15,16,17,36,38,39,41,43,46,49,51,56,58,59,60,63,68,73,76,79,81,86,87,88,91,94,97,99,118,119,120,121,123,124,125,126,129,146,148,149,150,152,155	[[4, 5, 7], [8, 10, 11, 12, 13], [10, 11, 12, 13, 14, 15], [12, 13, 14, 15, 16, 17], [14, 15, 16, 17], [16, 17], [36, 38, 39, 41], [38, 39, 41, 43], [46, 49, 51], [56, 58, 59], [58, 59, 60, 63], [60, 63], [68, 73], [76, 79, 81], [86, 87, 88, 91], [88, 91], [94, 97, 99], [118, 119, 120, 121, 123], [120, 121, 123, 124, 125], [124, 125, 126, 129], [126, 129], [146, 148, 149], [148, 149], [150, 152, 155], [152, 155]]
43	11	1	to	11	141	1	g	8,11,13,14,16,19,20,23,25,38,39,43,44,45,49,54,58,59,60,62,65,68,69,73,82,85,86,87,91,92,95,97,108,111,112,113,124,126,129,130,135,148,149	[[8, 11, 13], [14, 16, 19], [16, 19], [20, 23, 25], [38, 39, 43], [44, 45, 49], [54, 58, 59], [58, 59], [60, 62, 65], [62, 65], [68, 69, 73], [82, 85, 86, 87], [86, 87, 91], [92, 95, 97], [108, 111, 112, 113], [112, 113], [124, 126, 129], [126, 129], [130, 135], [148, 149]]
10	2	1	right	11	115	2	g	10,11,32,33,34,39,120,121,123,125	[[10, 11], [32, 33], [34, 39], [120, 121, 123, 125]]
6	0	1	want	49	43	2	g	44,49,54,59,86,87	[[44, 49], [54, 59], [86, 87]]
6	0	1	draw	15	99	2	g	14,15,108,111,112,113	[[14, 15], [108, 111, 112, 113], [112, 113]]
3	1	1	do	107	5	1	g	104,107,109	[[104, 107, 109]]
4	0	1	of	79	47	1	g	76,79,118,123	[[76, 79], [118, 123]]
6	0	1	is	43	107	3	g	42,43,120,123,148,149	[[42, 43], [120, 123], [148, 149]]
3	1	1	that	65	5	3	g	60,64,65	[[60, 64, 65], [64, 65]]
2	0	1	it	125	1	1	g	124,125	[[124, 125]]
2	0	1	but	125	1	1	g	124,125	[[124, 125]]
3	1	1	hideout	69	5	1	g	68,69,73	[[68, 69, 73]]
2	0	1	line	113	5	6	g	108,113	[[108, 113]]
4	0	1	ravine	7	7	1	g	6,7,8,13	[[6, 7], [8, 13]]
2	0	1	yeah	85	1	3	g	84,85	[[84, 85]]
2	0	1	get	65	5	1	g	60,65	[[60, 65]]
2	0	1	between	113	5	5	g	108,113	[[108, 113]]
2	0	1	got	97	1	1	g	96,97	[[96, 97]]
