Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	going to go to	21	A	69, 89
2	4	was the one that	77	A	21, 97
3	3	, uh ,	77	A	21, 93, 97
2	3	, but he	35	A	15, 49
2	3	, you know	77	A	41, 117
2	3	. I was	7	A	91, 97
2	3	I was summonsed	7	A	91, 97
2	3	and I was	77	A	21, 97
2	3	and it was	57	A	35, 91
2	3	got a piano	3	A	19, 21
2	3	listen to it	5	A	33, 37
2	3	so do I	5	A	25, 29
2	3	two to three	3	A	95, 97
2	3	you can just	3	A	41, 43
13	2	Yeah .	115	A	1, 7, 11, 23, 39, 51, 57, 59, 65, 67, 99, 109, 115
6	2	going to	77	A	21, 69, 85, 89, 95, 97
5	2	, I	83	A	29, 35, 49, 97, 111
5	2	. I	95	A	3, 5, 31, 91, 97
4	2	, and	97	A	21, 91, 97, 117
4	2	, but	97	A	15, 21, 49, 111
4	2	I was	95	A	21, 91, 97, 115
4	2	and I	85	A	21, 35, 97, 105
4	2	it .	77	A	21, 37, 45, 97
3	2	, then	53	A	45, 69, 97
3	2	. And	77	A	21, 69, 97
3	2	I don't	47	A	3, 5, 49
3	2	Yeah ,	31	A	71, 77, 101
3	2	a friend	29	A	69, 79, 97
3	2	that ,	109	A	3, 103, 111
3	2	that .	47	A	17, 27, 63
3	2	to go	49	A	69, 89, 117
3	2	you know	85	A	33, 41, 117
2	2	, he	89	A	13, 101
2	2	, so	5	A	21, 25
2	2	, the	57	A	45, 101
2	2	, there's	105	A	13, 117
2	2	, when	113	A	3, 115
2	2	. No	25	A	85, 109
2	2	And they	3	A	95, 97
2	2	I .	31	A	25, 55
2	2	I just	31	A	5, 35
2	2	I like	45	A	17, 61
2	2	I mean	9	A	41, 49
2	2	I said	83	A	29, 111
2	2	Uh-huh .	81	A	33, 113
2	2	Well ,	15	A	83, 97
2	2	You know	69	A	45, 113
2	2	and the	3	A	95, 97
2	2	and you	11	A	33, 43
2	2	he plays	3	A	13, 15
2	2	heard of	51	A	13, 63
2	2	in the	33	A	21, 53
2	2	know ,	73	A	45, 117
2	2	know .	109	A	5, 113
2	2	like that	15	A	3, 17
2	2	me .	65	A	21, 85
2	2	murder trial	25	A	91, 115
2	2	never heard	31	A	33, 63
2	2	on and	85	A	33, 117
2	2	said that	15	A	97, 111
2	2	that they're	53	A	43, 95
2	2	the one	77	A	21, 97
2	2	there's a	67	A	13, 79
2	2	this woman	5	A	93, 97
2	2	trying to	75	A	43, 117
20	1	I	113	A	3, 5, 15, 17, 21, 25, 29, 31, 33, 35, 41, 49, 55, 61, 91, 97, 103, 105, 111, 115
17	1	Yeah	115	A	1, 7, 11, 23, 39, 51, 57, 59, 65, 67, 71, 75, 77, 99, 101, 109, 115
14	1	that	109	A	3, 17, 21, 27, 41, 43, 45, 63, 89, 95, 97, 103, 105, 111
12	1	a	113	A	5, 13, 19, 21, 33, 35, 69, 79, 91, 95, 97, 117
12	1	the	97	A	21, 33, 43, 45, 53, 61, 69, 91, 95, 97, 101, 117
12	1	to	97	A	21, 33, 37, 43, 69, 85, 89, 91, 95, 97, 111, 117
11	1	and	97	A	21, 33, 35, 43, 69, 91, 93, 95, 97, 105, 117
11	1	you	105	A	13, 21, 33, 41, 43, 53, 61, 71, 87, 89, 117
10	1	it	91	A	21, 33, 35, 37, 41, 45, 63, 91, 97, 111
8	1	in	91	A	21, 33, 53, 73, 93, 95, 97, 111
8	1	so	97	A	21, 25, 29, 35, 45, 97, 105, 117
7	1	know	113	A	5, 33, 41, 45, 49, 113, 117
6	1	And	83	A	21, 37, 69, 95, 97, 103
6	1	about	71	A	27, 29, 31, 91, 95, 97
6	1	he	89	A	13, 15, 45, 49, 97, 101
6	1	me	85	A	21, 69, 85, 97, 103, 105
6	1	was	95	A	21, 35, 55, 91, 97, 115
5	1	down	95	A	9, 21, 91, 93, 103
5	1	for	31	A	85, 89, 91, 97, 115
5	1	got	99	A	19, 21, 31, 101, 117
5	1	had	77	A	21, 91, 93, 95, 97
5	1	is	109	A	9, 21, 69, 93, 117
5	1	just	59	A	5, 35, 41, 43, 63
5	1	my	83	A	21, 37, 45, 69, 103
5	1	then	79	A	37, 45, 69, 97, 115
5	1	up	97	A	21, 79, 91, 93, 117
4	1	have	85	A	13, 45, 69, 97
4	1	he's	93	A	5, 15, 45, 97
4	1	heard	51	A	13, 33, 35, 63
4	1	like	59	A	3, 5, 17, 61
4	1	not	83	A	3, 79, 83, 85
4	1	of	85	A	13, 31, 63, 97
4	1	on	85	A	33, 45, 103, 117
4	1	with	77	A	41, 43, 97, 117
3	1	So	19	A	55, 63, 73
3	1	Well	29	A	69, 83, 97
3	1	be	21	A	91, 105, 111
3	1	because	113	A	5, 79, 117
3	1	did	77	A	21, 49, 97
3	1	do	63	A	25, 29, 87
3	1	guy	85	A	13, 93, 97
3	1	it's	97	A	21, 97, 117
3	1	one	77	A	21, 95, 97
3	1	piano	9	A	13, 19, 21
3	1	said	83	A	29, 97, 111
3	1	see	73	A	43, 69, 115
3	1	them	31	A	31, 33, 61
3	1	there's	105	A	13, 79, 117
3	1	they	95	A	3, 95, 97
3	1	they're	53	A	43, 83, 95
3	1	trial	25	A	91, 95, 115
2	1	But	113	A	3, 115
2	1	I'd	79	A	33, 111
2	1	I'm	17	A	69, 85
2	1	I've	45	A	19, 63
2	1	My	37	A	9, 45
2	1	against	15	A	97, 111
2	1	all	19	A	3, 21
2	1	another	19	A	97, 115
2	1	at	3	A	95, 97
2	1	before	83	A	33, 115
2	1	believe	15	A	97, 111
2	1	boy	9	A	37, 45
2	1	certain	67	A	45, 111
2	1	come	77	A	41, 117
2	1	even	13	A	37, 49
2	1	four	7	A	91, 97
2	1	from	3	A	95, 97
2	1	hard	7	A	111, 117
2	1	has	53	A	45, 97
2	1	her	5	A	93, 97
2	1	husband	29	A	69, 97
2	1	investigator	5	A	97, 101
2	1	last	7	A	91, 97
2	1	little	5	A	41, 45
2	1	much	39	A	79, 117
2	1	music	11	A	33, 43
2	1	off	5	A	97, 101
2	1	ones	47	A	49, 95
2	1	out	23	A	95, 117
2	1	people	47	A	45, 91
2	1	questionnaire	9	A	95, 103
2	1	sentence	21	A	97, 117
2	1	she	77	A	21, 97
2	1	sit	21	A	21, 41
2	1	summonsed	7	A	91, 97
2	1	take	75	A	21, 95
2	1	this	5	A	93, 97
2	1	those	11	A	31, 41
2	1	until	63	A	33, 95
2	1	we	49	A	21, 69
2	1	what	25	A	63, 87
2	1	when	113	A	3, 115
2	1	who	49	A	49, 97
2	1	woman	5	A	93, 97
2	1	won't	11	A	95, 105
2	1	you're	3	A	115, 117

