,Word,Conc.M
0,the,1.43
1,of,1.67
2,to,1.55
3,right,3.47
4,a,1.46
5,go,3.15
6,and,1.52
7,left,3.7
8,down,3.52
9,then,1.44
10,below,3.45
12,it,2.81
14,just,1.52
15,have,2.18
16,do,2.46
17,you,4.11
18,at,2.07
19,side,3.68
20,pine,4.37
21,top,3.93
22,got,1.93
23,okay,1.89
25,up,3.83
26,no,2.45
27,above,3.33
28,that,1.54
30,in,3.0
31,hand,4.72
32,round,3.9
33,so,1.42
34,forest,4.76
35,from,1.84
36,past,1.7
37,over,2.46
38,straight,2.76
39,bottom,4.25
41,creek,4.87
42,along,2.14
43,page,4.9
45,two,4.18
46,map,4.93
47,on,3.25
48,stone,4.72
50,through,2.9
51,back,4.33
52,fort,4.72
53,boat,4.93
54,hideout,3.83
55,yeah,1.89
56,going,2.69
57,huh,1.68
58,mine,3.56
59,turn,3.44
60,concealed,2.43
61,well,3.33
62,fast,3.32
63,my,2.42
64,diamond,4.89
65,underneath,3.71
66,lake,4.88
67,about,1.77
68,house,5.0
69,an,1.46
70,old,2.72
71,ravine,4.61
72,curve,4.41
73,lighthouse,4.96
74,cottage,4.85
75,there,2.2
76,bit,3.27
77,is,1.59
79,them,3.04
80,south,3.84
81,cattle,4.64
82,tree,5.0
83,rocket,4.73
84,come,2.72
85,out,2.73
86,abandoned,2.52
87,under,3.45
88,where,1.66
89,pass,2.71
90,bar,4.67
92,grove,4.76
93,walled,3.87
95,rift,3.4
96,between,2.72
97,inch,4.37
98,towards,2.79
100,corner,4.61
101,heading,3.1
102,mountain,4.96
104,now,1.48
105,stop,3.68
106,keep,2.37
107,burnt,3.93
108,avalanche,4.32
109,what,2.0
111,warehouse,4.69
112,start,2.71
113,apache,3.88
114,saloon,4.68
115,across,3.07
116,buffalo,4.83
117,north,4.14
118,graveyard,4.83
119,flat,4.07
120,pole,4.66
121,rope,4.93
122,as,1.33
123,city,4.79
124,east,3.04
125,again,2.0
126,camp,4.35
127,village,4.89
128,truck,4.84
129,gold,4.81
130,pyramid,4.96
131,three,3.62
132,see,3.21
133,meadow,4.86
134,edge,4.24
136,river,4.89
137,running,4.27
138,flowing,2.43
139,base,3.86
140,wooden,4.61
141,pebbled,4.04
142,shore,4.79
143,but,2.04
144,like,1.89
145,west,3.44
146,noose,4.52
147,bakery,4.83
148,farm,4.59
149,valley,4.72
150,waterfall,4.9
151,manned,3.52
152,pretend,2.11
153,bay,4.81
154,mean,2.5
155,bridge,4.97
156,trout,4.72
158,with,2.0
159,level,2.86
160,are,1.96
161,finish,2.89
162,fallen,3.53
165,canal,4.68
166,cave,4.96
168,flagship,3.89
169,vertically,3.63
170,one,3.97
171,paper,4.93
172,nose,4.89
173,crane,4.68
174,inside,3.67
175,thing,3.17
176,if,1.19
177,stream,4.5
178,caravan,4.37
179,park,4.74
180,monument,4.58
181,comes,2.27
182,beneath,3.11
183,until,1.33
184,stockade,4.46
185,country,4.17
186,always,1.71
187,aye,2.09
191,its,1.9
193,slightly,1.79
194,your,2.37
196,next,2.56
197,end,3.14
198,not,2.08
199,remote,3.44
200,be,1.85
201,southwest,3.25
203,desert,4.86
204,footbridge,4.81
205,directly,2.37
206,far,2.71
207,near,2.79
208,should,1.53
209,reach,3.7
210,ghost,3.19
211,town,4.64
212,slight,1.9
213,five,3.87
214,forge,4.04
215,had,1.77
217,oh,1.48
220,finished,2.78
221,this,2.14
222,yes,2.14
223,how,1.35
224,cactus,5.0
225,totem,4.0
227,rock,4.91
230,banana,5.0
231,sorry,1.9
232,lemon,5.0
233,very,1.43
234,before,1.96
235,avoid,2.41
236,plant,4.76
237,cavalry,4.08
238,sort,3.34
239,ranch,4.73
240,steps,4.39
241,coast,4.21
242,same,2.64
244,sixty,3.56
245,hundred,3.2
246,white,3.89
248,find,2.63
249,mill,4.72
251,enough,1.33
253,after,2.12
255,site,4.56
256,test,3.93
257,nuclear,2.97
258,all,2.27
259,went,2.25
260,anyway,1.68
261,ten,3.39
262,diagonal,3.96
263,swamp,4.96
265,cross,4.44
266,wheel,4.86
267,washed,4.0
269,which,1.54
270,know,1.68
271,sea,4.79
272,semicircle,4.21
273,wagon,4.89
274,flatter,2.14
275,outside,4.25
277,or,1.72
278,else,1.63
279,around,1.96
280,twice,2.93
281,taking,2.79
284,told,2.31
285,touching,3.43
