,ID,Tag,Count,Percentage
0,83,ADJ,655,0.03904619970193741
1,84,ADP,1337,0.07970193740685544
2,85,ADV,1293,0.0770789865871833
3,88,CCONJ,714,0.04256333830104322
4,89,DET,1172,0.06986587183308494
5,90,INTJ,1261,0.07517138599105812
6,91,NOUN,1525,0.09090909090909091
7,92,NUM,127,0.007570789865871833
8,93,PART,236,0.014068554396423249
9,94,PRON,2320,0.13830104321907602
10,95,PROPN,6,0.00035767511177347243
11,96,PUNCT,3195,0.19046199701937408
12,99,VERB,2930,0.17466467958271237
13,100,X,4,0.00023845007451564829
