,ID,Tag,Count,Percentage
0,83,ADJ,9518,0.05433764928866662
1,84,ADP,12195,0.06962046995958074
2,85,ADV,14124,0.08063300678221552
3,88,CCONJ,6952,0.03968852047224315
4,89,DET,11582,0.06612089242081706
5,90,INTJ,11734,0.06698865063597542
6,91,NOUN,18103,0.10334886163823617
7,92,NUM,1589,0.00907149870978055
8,93,PART,3340,0.019067844990979882
9,94,PRON,19112,0.10910917768491242
10,95,PROPN,2239,0.012782306866707772
11,96,PUNCT,33581,0.1917117672581124
12,99,VERB,30815,0.17592085131648055
13,100,X,5,2.8544678130209402e-05
14,102,SPACE,275,0.0015699572971615173
