,Word,Conc.M
3,and,1.52
4,the,1.43
5,that,1.54
6,you,4.11
7,it,2.81
8,a,1.46
9,to,1.55
12,of,1.67
13,know,1.68
14,they,2.93
16,in,3.0
17,do,2.46
18,huh,1.68
19,yeah,1.89
21,have,2.18
22,we,3.08
23,is,1.59
24,was,1.69
25,like,1.89
26,just,1.52
27,think,2.41
28,for,1.63
29,but,2.04
30,so,1.42
32,on,3.25
33,or,1.72
34,really,1.44
35,there,2.2
36,oh,1.48
37,be,1.85
39,not,2.08
40,are,1.96
41,my,2.42
42,well,3.33
43,what,2.0
44,if,1.19
45,with,2.0
46,would,1.12
47,them,3.04
48,all,2.27
49,about,1.77
50,he,3.93
51,one,3.97
52,had,1.77
53,people,4.82
54,get,2.38
55,right,3.47
58,because,1.22
59,this,2.14
60,at,2.07
61,out,2.73
62,when,1.6
64,lot,3.7
65,up,3.83
66,then,1.44
67,some,2.48
68,mean,2.5
69,as,1.33
70,go,3.15
71,good,1.64
72,kind,2.07
73,can,4.55
74,got,1.93
75,going,2.69
76,from,1.84
77,she,3.36
78,too,1.7
79,did,2.45
80,time,3.07
81,now,1.48
82,been,1.92
84,something,1.82
85,were,1.48
86,more,2.37
88,much,1.69
89,here,3.13
90,your,2.37
91,see,3.21
92,their,3.34
93,me,4.33
94,very,1.43
95,little,3.67
96,how,1.35
97,could,1.34
98,where,1.66
99,thing,3.17
100,guess,2.28
101,other,2.04
102,our,1.97
103,an,1.46
105,no,2.45
106,say,2.58
107,two,4.18
108,yes,2.14
109,year,3.25
110,work,3.48
113,want,1.93
114,does,2.24
115,way,2.34
116,who,1.74
117,real,2.5
118,pretty,2.4
119,back,4.33
120,probably,1.73
121,any,1.72
122,her,3.0
123,even,2.79
124,than,1.69
125,put,2.5
126,home,4.11
127,take,3.06
128,make,2.67
129,into,2.3
131,those,2.32
132,sure,1.73
133,nice,2.18
134,by,1.55
135,never,1.59
137,money,4.54
138,actually,1.37
139,over,2.46
140,anything,1.38
141,these,2.03
142,stuff,3.13
143,will,2.64
144,kids,4.61
145,doing,2.66
146,down,3.52
147,still,3.46
148,always,1.71
149,three,3.62
150,okay,1.89
151,around,1.96
152,which,1.54
153,family,4.23
154,maybe,1.52
155,used,2.64
156,said,2.97
157,great,1.81
158,his,3.14
159,day,3.92
160,sort,3.34
161,big,3.66
162,feel,2.28
163,come,2.72
164,went,2.25
165,many,2.37
166,different,1.97
167,off,2.79
168,pay,3.54
169,should,1.53
170,same,2.64
171,him,3.54
172,five,3.87
173,everything,2.3
174,house,5.0
175,getting,2.07
176,us,3.59
177,course,3.82
178,only,2.41
179,four,3.37
180,school,4.79
