,response,context,context/0,context/1,context/2,context/3
0,"Um,",Yes. Exactly.,It's only getting worse exponentially it seems.,Uh-huh.,"Well, now it's in pretty disastrous shape for sure.","Well, I don't know if there's going to be solutions to the U S budget."
1,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","Um,",Yes. Exactly.,It's only getting worse exponentially it seems.,Uh-huh.,"Well, now it's in pretty disastrous shape for sure."
2,Uh-huh.,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","Um,",Yes. Exactly.,It's only getting worse exponentially it seems.,Uh-huh.
3,"That,",Uh-huh.,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","Um,",Yes. Exactly.,It's only getting worse exponentially it seems.
4,"Oh, which state is that?","That,",Uh-huh.,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","Um,",Yes. Exactly.
5,"Uh, State of Minnesota.","Oh, which state is that?","That,",Uh-huh.,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","Um,"
6,Uh-huh.,"Uh, State of Minnesota.","Oh, which state is that?","That,",Uh-huh.,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition."
7,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it",Uh-huh.,"Uh, State of Minnesota.","Oh, which state is that?","That,",Uh-huh.
8,Uh-huh.,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it",Uh-huh.,"Uh, State of Minnesota.","Oh, which state is that?","That,"
9,so it might have to be something that they might consider doing as a that's got to be very short term.,Uh-huh.,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it",Uh-huh.,"Uh, State of Minnesota.","Oh, which state is that?"
10,Right. Right.,so it might have to be something that they might consider doing as a that's got to be very short term.,Uh-huh.,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it",Uh-huh.,"Uh, State of Minnesota."
11,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.",Right. Right.,so it might have to be something that they might consider doing as a that's got to be very short term.,Uh-huh.,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it",Uh-huh.
12,Yep. Right.,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.",Right. Right.,so it might have to be something that they might consider doing as a that's got to be very short term.,Uh-huh.,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it"
13,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,",Yep. Right.,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.",Right. Right.,so it might have to be something that they might consider doing as a that's got to be very short term.,Uh-huh.
14,Yeah.,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,",Yep. Right.,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.",Right. Right.,so it might have to be something that they might consider doing as a that's got to be very short term.
15,"so. So it gives you idea that,",Yeah.,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,",Yep. Right.,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.",Right. Right.
16,Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,"so. So it gives you idea that,",Yeah.,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,",Yep. Right.,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars."
17,"Sure, sure. So,",Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,"so. So it gives you idea that,",Yeah.,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,",Yep. Right.
18,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","Sure, sure. So,",Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,"so. So it gives you idea that,",Yeah.,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,"
19,Uh-huh. Uh-huh.,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","Sure, sure. So,",Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,"so. So it gives you idea that,",Yeah.
20,"And I think that, that maybe more widespread than well, than we'd like to have think.",Uh-huh. Uh-huh.,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","Sure, sure. So,",Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,"so. So it gives you idea that,"
21,Than we think. Sure. Sure.,"And I think that, that maybe more widespread than well, than we'd like to have think.",Uh-huh. Uh-huh.,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","Sure, sure. So,",Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.
22,"But, but then it's something that's hard to enforce too I'm sure.",Than we think. Sure. Sure.,"And I think that, that maybe more widespread than well, than we'd like to have think.",Uh-huh. Uh-huh.,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","Sure, sure. So,"
23,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","But, but then it's something that's hard to enforce too I'm sure.",Than we think. Sure. Sure.,"And I think that, that maybe more widespread than well, than we'd like to have think.",Uh-huh. Uh-huh.,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was."
24,Uh-huh.,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","But, but then it's something that's hard to enforce too I'm sure.",Than we think. Sure. Sure.,"And I think that, that maybe more widespread than well, than we'd like to have think.",Uh-huh. Uh-huh.
25,The rest of them taking these vacations and using the taxpayers' money for that.,Uh-huh.,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","But, but then it's something that's hard to enforce too I'm sure.",Than we think. Sure. Sure.,"And I think that, that maybe more widespread than well, than we'd like to have think."
26,Right.,The rest of them taking these vacations and using the taxpayers' money for that.,Uh-huh.,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","But, but then it's something that's hard to enforce too I'm sure.",Than we think. Sure. Sure.
27,"And it's a real big crunch, uh",Right.,The rest of them taking these vacations and using the taxpayers' money for that.,Uh-huh.,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","But, but then it's something that's hard to enforce too I'm sure."
28,Uh-huh.,"And it's a real big crunch, uh",Right.,The rest of them taking these vacations and using the taxpayers' money for that.,Uh-huh.,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress."
29,"of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,",Uh-huh.,"And it's a real big crunch, uh",Right.,The rest of them taking these vacations and using the taxpayers' money for that.,Uh-huh.
30,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,",Uh-huh.,"And it's a real big crunch, uh",Right.,The rest of them taking these vacations and using the taxpayers' money for that.
31,Uh-huh.,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,",Uh-huh.,"And it's a real big crunch, uh",Right.
32,but I'm not sure that that's really that much of the problem.,Uh-huh.,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,",Uh-huh.,"And it's a real big crunch, uh"
33,Sure.,but I'm not sure that that's really that much of the problem.,Uh-huh.,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,",Uh-huh.
34,"I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.",Sure.,but I'm not sure that that's really that much of the problem.,Uh-huh.,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,"
35,"Uh-huh. Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs","I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.",Sure.,but I'm not sure that that's really that much of the problem.,Uh-huh.,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste"
36,Yeah.,"Uh-huh. Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs","I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.",Sure.,but I'm not sure that that's really that much of the problem.,Uh-huh.
37,"but I think it also cost, um, quite a bit as far as because after they're done with the war, a lot of things were no longer put to use. I mean it was kind of like, okay, we'll do this during this point and time but after that that's, you know, uh they didn't want to do it anymore.",Yeah.,"Uh-huh. Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs","I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.",Sure.,but I'm not sure that that's really that much of the problem.
