,Word,Conc.M
3,you,4.11
4,that,1.54
5,and,1.52
6,it,2.81
7,yeah,1.89
8,know,1.68
10,the,1.43
11,a,1.46
12,to,1.55
14,do,2.46
15,of,1.67
16,they,2.93
17,well,3.33
18,have,2.18
19,think,2.41
20,in,3.0
21,right,3.47
22,but,2.04
23,is,1.59
24,so,1.42
25,oh,1.48
26,we,3.08
28,be,1.85
29,like,1.89
30,just,1.52
31,was,1.69
32,really,1.44
33,not,2.08
34,huh,1.68
35,would,1.12
37,what,2.0
38,mean,2.5
39,for,1.63
40,if,1.19
42,with,2.0
43,good,1.64
44,my,2.42
45,them,3.04
46,are,1.96
47,on,3.25
49,she,3.36
50,get,2.38
52,people,4.82
53,go,3.15
54,had,1.77
55,then,1.44
56,been,1.92
57,okay,1.89
58,this,2.14
59,nice,2.18
60,one,3.97
61,there,2.2
62,no,2.45
63,he,3.93
64,more,2.37
65,lot,3.7
66,too,1.7
67,going,2.69
68,all,2.27
69,out,2.73
71,because,1.22
72,up,3.83
73,work,3.48
74,at,2.07
75,thing,3.17
76,were,1.48
77,sure,1.73
78,about,1.77
80,see,3.21
81,or,1.72
82,little,3.67
83,food,4.8
84,take,3.06
85,when,1.6
86,some,2.48
87,from,1.84
88,home,4.11
89,got,1.93
90,can,4.55
91,now,1.48
92,kids,4.61
93,say,2.58
94,an,1.46
95,talking,3.72
96,jury,4.64
97,me,4.33
98,make,2.67
99,did,2.45
100,real,2.5
101,how,1.35
102,music,4.31
103,never,1.59
104,much,1.69
105,pay,3.54
106,could,1.34
107,want,1.93
109,dog,4.85
110,as,1.33
111,death,3.73
113,very,1.43
115,bit,3.27
116,here,3.13
117,house,5.0
118,enjoy,2.29
119,year,3.25
120,us,3.59
121,her,3.0
122,who,1.74
123,those,2.32
124,funny,2.5
125,kind,2.07
126,true,1.7
127,way,2.34
128,ought,1.43
129,where,1.66
131,our,1.97
132,your,2.37
133,great,1.81
134,big,3.66
135,watch,4.61
136,still,3.46
137,bye,2.25
139,job,3.19
140,college,4.62
141,care,2.33
142,same,2.64
143,guess,2.28
144,neat,2.47
145,their,3.34
146,something,1.82
148,yes,2.14
149,off,2.79
150,guilty,2.36
151,either,1.81
152,hard,3.76
153,hundred,3.2
154,golf,4.52
155,country,4.17
156,grew,3.52
157,high,3.46
158,course,3.82
159,mad,2.76
162,wear,3.61
163,peace,1.62
165,put,2.5
166,usually,2.04
169,story,3.3
171,corps,3.43
172,garage,4.96
173,child,4.78
174,understand,2.28
175,read,3.56
176,probably,1.73
178,summer,3.64
179,health,2.28
180,nursing,3.76
181,three,3.62
182,waste,3.24
183,liberty,1.85
184,need,1.69
185,beautiful,2.16
186,down,3.52
187,than,1.69
188,gun,4.83
189,burning,3.85
190,liberal,1.67
191,doing,2.66
192,should,1.53
193,glasses,4.9
194,through,2.9
195,mail,4.69
196,live,3.57
197,family,4.23
199,listen,3.47
200,two,4.18
201,recycling,3.25
202,everything,2.3
203,before,1.96
204,book,4.9
205,back,4.33
206,living,3.04
207,degree,3.0
209,flag,4.79
210,into,2.3
212,done,2.0
215,credit,2.71
217,interested,2.19
218,eat,4.44
219,guy,4.68
220,used,2.64
221,trash,4.7
222,junk,3.88
223,single,3.27
224,feel,2.28
225,news,3.41
226,different,1.97
227,first,2.76
228,dye,4.58
229,trouble,2.25
230,beam,3.96
231,built,3.5
233,strange,1.86
234,gas,4.29
235,dogs,5.0
236,game,4.5
237,person,4.72
239,apartment,4.9
240,important,2.14
241,bad,1.68
242,comedy,3.1
243,anything,1.38
244,grade,3.0
246,ski,4.63
247,fixed,2.89
248,interesting,1.6
249,ours,1.81
250,around,1.96
251,leave,2.53
252,give,2.83
253,natural,1.85
254,end,3.14
255,team,3.79
256,pretty,2.4
257,state,3.52
258,hello,2.8
260,student,4.92
262,loan,3.72
263,switch,4.07
264,ask,2.52
267,bill,4.68
268,seen,2.96
269,group,4.12
270,many,2.37
271,tax,3.89
272,went,2.25
273,ten,3.39
275,actually,1.37
276,trial,3.07
277,circumstances,1.59
279,sorry,1.9
280,deterrent,2.63
281,felt,3.04
282,newspaper,4.82
283,expensive,3.13
284,rice,4.86
285,always,1.71
286,economic,2.2
287,communism,1.86
