,Word,Conc.M
5,that,1.54
6,it,2.81
7,and,1.52
8,you,4.11
10,a,1.46
11,to,1.55
12,the,1.43
13,yeah,1.89
14,do,2.46
16,know,1.68
18,of,1.67
19,have,2.18
20,think,2.41
21,they,2.93
22,huh,1.68
23,oh,1.48
24,just,1.52
25,we,3.08
27,in,3.0
28,was,1.69
29,really,1.44
30,not,2.08
32,like,1.89
33,well,3.33
34,but,2.04
35,is,1.59
36,right,3.47
37,so,1.42
39,be,1.85
41,good,1.64
42,mean,2.5
43,with,2.0
44,for,1.63
45,going,2.69
46,me,4.33
47,would,1.12
48,about,1.77
49,lot,3.7
50,there,2.2
51,what,2.0
52,had,1.77
53,get,2.38
54,he,3.93
55,remind,2.19
56,on,3.25
57,are,1.96
59,can,4.55
60,them,3.04
61,go,3.15
62,then,1.44
63,she,3.36
64,guess,2.28
65,true,1.7
66,one,3.97
67,too,1.7
69,sure,1.73
70,out,2.73
71,people,4.82
72,been,1.92
73,my,2.42
74,if,1.19
76,see,3.21
78,got,1.93
79,more,2.37
80,all,2.27
81,very,1.43
82,thing,3.17
84,at,2.07
85,much,1.69
86,little,3.67
87,real,2.5
88,or,1.72
89,up,3.83
90,some,2.48
91,because,1.22
92,were,1.48
93,okay,1.89
94,want,1.93
95,as,1.33
96,no,2.45
97,problem,2.68
98,kind,2.07
99,time,3.07
100,did,2.45
101,big,3.66
102,work,3.48
104,how,1.35
105,put,2.5
106,this,2.14
107,could,1.34
108,something,1.82
109,say,2.58
110,now,1.48
111,hue,3.66
112,who,1.74
114,way,2.34
116,two,4.18
117,from,1.84
118,make,2.67
119,nice,2.18
121,any,1.72
122,pretty,2.4
123,your,2.37
124,great,1.81
125,does,2.24
126,other,2.04
127,went,2.25
130,year,3.25
131,into,2.3
132,agree,2.31
133,trying,2.11
135,never,1.59
136,probably,1.73
137,couple,3.93
138,when,1.6
139,where,1.66
140,said,2.97
142,around,1.96
143,an,1.46
144,take,3.06
146,school,4.79
147,back,4.33
148,able,2.38
149,doing,2.66
150,should,1.53
151,home,4.11
152,old,2.72
153,over,2.46
154,important,2.14
155,house,5.0
156,thought,1.97
157,tinker,3.19
158,bit,3.27
159,kids,4.61
161,their,3.34
162,talking,3.72
163,only,2.41
165,our,1.97
166,system,2.94
167,always,1.71
168,yes,2.14
169,wonderful,1.82
170,person,4.72
171,idea,1.61
172,done,2.0
173,feel,2.28
174,different,1.97
175,anything,1.38
176,pay,3.54
177,than,1.69
178,seen,2.96
179,need,1.69
180,those,2.32
181,neat,2.47
182,same,2.64
183,used,2.64
184,here,3.13
185,whole,3.25
186,live,3.57
187,still,3.46
188,down,3.52
189,him,3.54
190,hard,3.76
192,her,3.0
193,also,1.83
194,goodness,1.38
195,bye,2.25
196,getting,2.07
197,these,2.03
198,even,2.79
199,thinking,1.96
200,watch,4.61
201,by,1.55
202,money,4.54
203,stuff,3.13
204,family,4.23
205,ever,1.48
206,fun,1.97
208,three,3.62
209,being,1.93
210,part,3.29
211,try,2.22
212,car,4.89
213,deal,3.1
214,everything,2.3
215,dog,4.85
216,love,2.07
217,hear,3.66
218,interesting,1.6
219,care,2.33
220,buy,3.35
221,many,2.37
222,hope,1.25
223,come,2.72
224,let,2.26
225,sort,3.34
226,will,2.64
227,use,2.78
228,better,1.91
229,look,2.96
230,remember,2.41
233,read,3.56
234,children,4.89
235,actually,1.37
237,long,3.18
238,start,2.71
239,find,2.63
240,bad,1.68
241,jury,4.64
242,enjoy,2.29
243,day,3.92
244,either,1.81
245,area,3.72
246,off,2.79
247,supposed,1.6
249,both,2.97
250,hum,4.62
251,through,2.9
252,most,2.38
253,play,3.24
255,why,1.86
256,job,3.19
257,us,3.59
258,own,1.96
259,before,1.96
260,else,1.63
261,situation,2.03
262,auto,4.0
263,tell,2.9
264,place,3.48
266,last,3.04
267,spend,2.93
268,away,2.23
269,saying,2.58
270,next,2.56
273,worry,2.55
274,far,2.71
275,few,2.48
276,certain,1.68
277,enough,1.33
278,type,3.3
279,hundred,3.2
280,best,1.6
282,works,3.79
283,maybe,1.52
284,five,3.87
285,college,4.62
286,his,3.14
287,while,1.55
288,guy,4.68
289,somebody,3.79
290,point,3.39
291,friend,3.07
292,crime,3.03
293,country,4.17
294,bought,2.96
295,happen,1.78
296,talk,4.07
298,government,2.88
299,involved,2.03
300,believe,1.55
301,quite,1.72
302,news,3.41
303,took,2.61
304,am,1.96
305,death,3.73
306,help,2.56
307,first,2.76
