,Word,Conc.M
1,right,3.47
2,the,1.43
3,you,4.11
4,and,1.52
5,to,1.55
6,go,3.15
7,of,1.67
9,okay,1.89
11,then,1.44
13,up,3.83
14,a,1.46
18,down,3.52
19,yeah,1.89
20,going,2.69
21,about,1.77
22,left,3.7
23,well,3.33
24,so,1.42
25,it,2.81
26,huh,1.68
27,no,2.45
28,round,3.9
30,just,1.52
31,got,1.93
33,straight,2.76
34,side,3.68
35,hand,4.72
36,that,1.54
37,along,2.14
40,now,1.48
41,an,1.46
42,have,2.18
43,top,3.93
44,inch,4.37
46,do,2.46
47,underneath,3.71
48,page,4.9
50,bottom,4.25
51,your,2.37
52,two,4.18
53,from,1.84
54,above,3.33
56,at,2.07
57,want,1.93
59,there,2.2
60,below,3.45
61,on,3.25
62,half,3.27
63,past,1.7
64,sort,3.34
65,in,3.0
66,come,2.72
67,oh,1.48
69,line,4.5
70,three,3.62
71,where,1.66
72,if,1.19
73,turn,3.44
74,curve,4.41
76,ok,2.11
77,fort,4.72
78,lake,4.88
79,towards,2.79
80,is,1.59
81,be,1.85
83,should,1.53
84,not,2.08
85,edge,4.24
86,map,4.93
87,yes,2.14
88,east,3.04
89,mine,3.56
90,them,3.04
91,draw,3.97
92,until,1.33
93,old,2.72
94,see,3.21
95,but,2.04
96,directly,2.37
97,start,2.71
98,mountain,4.96
99,concealed,2.43
100,like,1.89
101,white,3.89
102,stop,3.68
103,we,3.08
104,abandoned,2.52
105,across,3.07
106,back,4.33
107,out,2.73
108,eh,1.04
109,under,3.45
110,are,1.96
111,for,1.63
112,tree,5.0
114,remote,3.44
115,diamond,4.89
116,pine,4.37
118,what,2.0
119,away,2.23
120,middle,3.69
122,cottage,4.85
124,one,3.97
125,bay,4.81
127,slightly,1.79
128,west,3.44
129,bit,3.27
130,north,4.14
131,stone,4.72
132,end,3.14
134,over,2.46
135,finish,2.89
136,as,1.33
137,my,2.42
138,hope,1.25
139,pole,4.66
140,fallen,3.53
141,crane,4.68
144,paper,4.93
145,gold,4.81
147,buffalo,4.83
148,cattle,4.64
149,between,2.72
150,way,2.34
151,shore,4.79
152,south,3.84
153,know,1.68
154,manned,3.52
155,great,1.81
156,take,3.06
157,kind,2.07
158,temple,4.53
159,stream,4.5
160,bakery,4.83
161,grove,4.76
162,slay,3.1
163,me,4.33
165,creek,4.87
166,wee,3.14
167,totem,4.0
169,keep,2.37
170,lost,2.67
171,level,2.86
172,diagonally,3.38
174,four,3.37
175,circle,4.44
176,wooden,4.61
177,forge,4.04
178,all,2.27
180,get,2.38
181,hideout,3.83
182,again,2.0
183,they,2.93
184,shape,3.14
185,village,4.89
186,most,2.38
187,forest,4.76
188,this,2.14
189,slate,4.58
191,wagon,4.89
192,point,3.39
193,pillar,4.77
195,five,3.87
196,corner,4.61
197,wall,4.86
198,outside,4.25
199,ranch,4.73
200,need,1.69
201,washed,4.0
202,gone,2.04
203,caravan,4.37
204,pebbled,4.04
205,water,5.0
207,banana,5.0
208,southwest,3.25
209,peak,4.2
210,how,1.35
212,rock,4.91
214,due,3.21
215,aye,2.09
216,mill,4.72
217,miss,2.54
218,through,2.9
220,apache,3.88
221,with,2.0
222,fast,3.32
223,move,3.25
224,mean,2.5
225,halfway,3.07
228,heading,3.1
229,rift,3.4
230,lighthouse,4.96
231,still,3.46
233,head,4.75
234,follow,3.26
235,dead,4.07
236,doing,2.66
237,flat,4.07
238,boat,4.93
239,ravine,4.61
240,river,4.89
241,camp,4.35
242,pyramid,4.96
243,truck,4.84
244,graveyard,4.83
246,another,2.69
247,steps,4.39
248,hide,3.21
249,shelter,4.64
250,trout,4.72
251,other,2.04
252,cross,4.44
253,anything,1.38
254,or,1.72
257,hot,4.31
258,forty,4.14
260,warehouse,4.69
261,path,4.41
262,flowing,2.43
263,plane,4.92
264,far,2.71
265,further,1.88
267,actually,1.37
269,adventure,2.59
270,playground,4.77
272,rocket,4.73
273,footbridge,4.81
275,house,5.0
279,southeast,3.8
281,northwards,2.92
282,drop,4.21
284,continue,2.36
285,only,2.41
286,curved,3.35
287,pea,4.9
290,could,1.34
291,vertically,3.63
292,same,2.64
295,waterfall,4.9
296,done,2.0
299,can,4.55
301,coming,2.07
304,slope,4.07
305,marked,3.88
306,noose,4.52
307,finished,2.78
309,remind,2.19
310,nothing,2.21
311,thing,3.17
314,cave,4.96
315,here,3.13
316,say,2.58
317,went,2.25
319,pirate,4.64
321,word,3.56
323,make,2.67
324,good,1.64
325,midway,3.2
328,fall,4.04
329,forked,3.41
330,valley,4.72
331,rope,4.93
332,slight,1.9
334,also,1.83
335,which,1.54
336,time,3.07
337,much,1.69
339,when,1.6
340,park,4.74
341,avoid,2.41
342,trying,2.11
345,horizontal,3.46
346,bridge,4.97
348,by,1.55
350,any,1.72
351,before,1.96
352,swamp,4.96
353,hill,4.93
