,ID,Tag,Count,Percentage
0,83,ADJ,3496,0.05246255890032714
1,84,ADP,3216,0.04826075212341307
2,85,ADV,4679,0.0702151925327891
3,88,CCONJ,1087,0.016312014166091418
4,89,DET,5409,0.08116990305831508
5,90,INTJ,2823,0.04236321618295867
6,91,NOUN,6640,0.0996428464239623
7,92,NUM,201,0.0030162970077133168
8,93,PART,974,0.014616285002551096
9,94,PRON,10172,0.1526456376241784
10,95,PROPN,940,0.01410606560821153
11,96,PUNCT,12321,0.18489450463699392
12,98,SYM,1,1.5006452774693118e-05
13,99,VERB,14370,0.2156427263723401
14,100,X,15,0.00022509679162039677
15,102,SPACE,294,0.0044118971157597765
