,Word,Conc.M
3,a,1.46
4,the,1.43
7,you,4.11
8,it,2.81
10,do,2.46
11,to,1.55
12,not,2.08
14,that,1.54
15,have,2.18
16,know,1.68
17,of,1.67
18,think,2.41
19,in,3.0
23,is,1.59
24,they,2.93
25,and,1.52
26,are,1.96
27,what,2.0
28,was,1.69
29,just,1.52
30,like,1.89
31,but,2.04
32,well,3.33
33,be,1.85
34,sure,1.73
36,we,3.08
37,yeah,1.89
38,oh,1.48
39,so,1.42
40,mean,2.5
41,for,1.63
42,about,1.77
43,good,1.64
45,can,4.55
46,been,1.92
47,he,3.93
48,no,2.45
49,get,2.38
51,lot,3.7
52,if,1.19
53,sorry,1.9
54,going,2.69
55,with,2.0
56,really,1.44
57,right,3.47
58,there,2.2
59,this,2.14
60,how,1.35
61,thing,3.17
62,my,2.42
63,on,3.25
64,people,4.82
66,go,3.15
67,would,1.12
68,yes,2.14
69,one,3.97
70,pretty,2.4
71,say,2.58
72,did,2.45
73,them,3.04
74,who,1.74
75,from,1.84
76,see,3.21
78,why,1.86
79,your,2.37
80,same,2.64
81,all,2.27
82,time,3.07
83,only,2.41
86,she,3.36
87,car,4.89
88,any,1.72
89,am,1.96
90,had,1.77
91,never,1.59
92,got,1.93
93,saying,2.58
94,out,2.73
95,were,1.48
96,me,4.33
97,little,3.67
98,idea,1.61
99,money,4.54
100,then,1.44
102,bit,3.27
104,ever,1.48
105,dog,4.85
106,live,3.57
108,an,1.46
109,guess,2.28
110,place,3.48
111,problem,2.68
112,could,1.34
113,cat,4.86
114,love,2.07
115,still,3.46
116,best,1.6
117,most,2.38
118,guy,4.68
119,seen,2.96
120,even,2.79
122,much,1.69
123,too,1.7
124,house,5.0
125,nice,2.18
126,way,2.34
127,back,4.33
128,bad,1.68
129,talking,3.72
130,school,4.79
131,should,1.53
132,more,2.37
133,want,1.93
134,said,2.97
135,very,1.43
136,here,3.13
138,as,1.33
139,big,3.66
140,other,2.04
141,because,1.22
142,up,3.83
143,few,2.48
144,some,2.48
145,being,1.93
146,than,1.69
147,at,2.07
148,make,2.67
149,or,1.72
150,joke,2.9
152,okay,1.89
153,point,3.39
154,huh,1.68
155,doing,2.66
157,work,3.48
159,when,1.6
160,first,2.76
161,job,3.19
162,eat,4.44
164,us,3.59
165,home,4.11
166,wrong,1.83
167,anything,1.38
168,person,4.72
169,many,2.37
170,read,3.56
171,now,1.48
172,while,1.55
173,old,2.72
174,year,3.25
175,country,4.17
176,thinking,1.96
177,does,2.24
178,family,4.23
179,fun,1.97
181,feel,2.28
182,kids,4.61
183,understand,2.28
184,long,3.18
185,use,2.78
186,girl,4.85
187,cool,3.53
188,great,1.81
189,her,3.0
190,middle,3.69
191,wait,2.68
192,different,1.97
193,fan,4.71
194,game,4.5
195,stuff,3.13
196,done,2.0
197,always,1.71
198,part,3.29
199,around,1.96
200,fine,2.61
201,world,4.36
202,thought,1.97
204,small,3.22
205,city,4.79
206,new,2.81
209,weird,1.59
210,by,1.55
211,food,4.8
212,works,3.79
213,two,4.18
214,pay,3.54
215,real,2.5
216,something,1.82
217,find,2.63
218,where,1.66
219,last,3.04
220,friend,3.07
221,reason,1.93
222,play,3.24
223,day,3.92
224,state,3.52
225,own,1.96
226,used,2.64
227,trying,2.11
228,deal,3.1
230,true,1.7
234,need,1.69
235,question,3.36
238,man,4.79
239,able,2.38
240,difference,2.15
241,confused,2.33
242,probably,1.73
243,company,4.11
244,tell,2.9
245,area,3.72
