ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
q1ec3-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5945945945945946	0.41114058355437666	0.6556521739130434	0.40540540540540543	0.4797979797979798	0.3443478260869565	0.2962962962962963	0.47368421052631576	152.0	0.17798594847775176	0.6779859484777517	1.480629171360741	1.5822454308093994	6.0	75.0	0.15151515151515152	0.6101010101010101	1.0137285821086819	1.316017316017316	3.0
q1ec8-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5679012345679012	0.4180929095354523	0.5859598853868195	0.43209876543209874	0.4532871972318339	0.4140401146131805	0.3875	0.45925925925925926	75.0	0.16163793103448276	0.6206896551724138	1.1007663208727956	1.3640776699029127	4.0	51.0	0.14825581395348839	0.5726744186046512	1.0629760186311419	1.3311258278145695	4.0
q1nc4-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.4044943820224719	0.4861995753715499	0.5587188612099644	0.5955056179775281	0.45698924731182794	0.4412811387900356	0.3392857142857143	0.38513513513513514	101.0	0.1863468634686347	0.6383763837638377	1.1974146454217436	1.416	4.0	77.0	0.17381489841986456	0.6252821670428894	1.3378481046612665	1.4793814432989691	5.0
q2ec4-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.47674418604651164	0.469061876247505	0.5560488346281909	0.5232558139534884	0.43	0.4439511653718091	0.3076923076923077	0.38961038961038963	93.0	0.15924657534246575	0.6113013698630136	1.265101545684379	1.4404761904761905	5.0	77.0	0.15975103734439833	0.6244813278008299	1.1940032085917789	1.3952380952380952	5.0
q3ec4-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5063291139240507	0.4270557029177719	0.5272727272727272	0.4936708860759494	0.4260355029585799	0.4727272727272727	0.37790697674418605	0.436241610738255	63.0	0.14651162790697675	0.5372093023255814	1.1060011250140076	1.3875	3.0	59.0	0.15089514066496162	0.5907928388746803	1.2067598712116077	1.4074074074074074	4.0
q4ec3-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.4189189189189189	0.401673640167364	0.5584112149532711	0.581081081081081	0.3888888888888889	0.441588785046729	0.30158730158730157	0.38	83.0	0.14874551971326164	0.5860215053763441	1.2100634326999502	1.4173913043478261	4.0	67.0	0.14660831509846828	0.6105032822757112	1.017862234669763	1.3173076923076923	3.0
q5ec1-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5390070921985816	0.4676258992805755	0.5806182121971596	0.46099290780141844	0.4960159362549801	0.4193817878028404	0.4088888888888889	0.5227272727272727	126.0	0.15613382899628253	0.6431226765799256	1.2990330474733036	1.4726775956284153	4.0	100.0	0.1631321370309951	0.6639477977161501	1.1645998961333173	1.3822525597269624	4.0
q5ec4-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.4935064935064935	0.4270557029177719	0.5643712574850299	0.5064935064935064	0.4054982817869416	0.4356287425149701	0.38562091503267976	0.45038167938931295	72.0	0.16551724137931034	0.5816091954022988	1.0927549690238925	1.3675675675675676	3.0	51.0	0.14613180515759314	0.5673352435530086	0.8001386939111809	1.2171052631578947	3.0
q5nc5-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.45901639344262296	0.3872053872053872	0.5303571428571429	0.5409836065573771	0.4068441064638783	0.46964285714285714	0.35555555555555557	0.37209302325581395	51.0	0.14825581395348839	0.5377906976744186	0.9969303720999	1.3235294117647058	3.0	54.0	0.17475728155339806	0.5760517799352751	0.8480454356161164	1.2681159420289856	4.0
q6ec3-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.6329113924050633	0.31473214285714285	0.5670886075949367	0.3670886075949367	0.41812865497076024	0.43291139240506327	0.32954545454545453	0.38926174496644295	90.0	0.17374517374517376	0.6177606177606177	1.0851189285064207	1.3514644351464435	3.0	63.0	0.15328467153284672	0.583941605839416	0.9384881774020144	1.2752808988764044	3.0
q7ec4-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.4533333333333333	0.46204620462046203	0.46831530139103555	0.5466666666666666	0.39244186046511625	0.5316846986089645	0.4326241134751773	0.41496598639455784	58.0	0.16066481994459833	0.554016620498615	0.9042266252492628	1.2611464968152866	3.0	67.0	0.16708229426433915	0.6084788029925187	1.2004694634211308	1.4022988505747127	4.0
q7nc7-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5176470588235295	0.4168618266978923	0.5509677419354839	0.4823529411764706	0.4454022988505747	0.44903225806451613	0.36312849162011174	0.41935483870967744	74.0	0.15071283095723015	0.570264765784114	1.1396518480756062	1.4009661835748792	3.0	65.0	0.15815085158150852	0.5888077858880778	1.0567731166390517	1.3546511627906976	5.0
q8nc5-scrambled_txt-base_DialoGPT-speaker_f_M_tsv	M	f	0.5	0.48419540229885055	0.5612903225806452	0.5	0.5183823529411765	0.43870967741935485	0.4008810572687225	0.4739583333333333	136.0	0.1702127659574468	0.6445556946182729	1.307232974668856	1.49025069637883	4.0	106.0	0.16408668730650156	0.6578947368421053	1.1078898759621498	1.3550488599348534	4.0
