Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	8	right out to the side of the page	97	1	1	g	96,97	[[96, 97]]
2	0	7	around the top of the rocket warehouse	93	1	1	g	92,93	[[92, 93]]
2	0	6	down the side of the page	105	1	1	g	104,105	[[104, 105]]
2	0	6	just stop at the old lighthouse	119	1	1	g	118,119	[[118, 119]]
5	1	5	the side of the page	97	9	1	g	96,97,102,104,105	[[96, 97], [97, 102], [102, 104, 105]]
2	0	5	the left of the pine	27	1	1	g	26,27	[[26, 27]]
2	0	5	top of the pine tree	35	1	1	g	34,35	[[34, 35]]
4	2	4	of the pine tree	35	11	3	g	24,26,34,35	[[24, 26], [34, 35]]
3	0	4	outside of the map	18	4	1	f	15,18,19	[[15, 18, 19]]
2	0	4	just stop at the	119	1	2	g	118,119	[[118, 119]]
2	0	4	the top of the	93	1	2	g	92,93	[[92, 93]]
2	0	4	beneath the pine forest	56	1	1	f	55,56	[[55, 56]]
2	0	4	just below the cliffs	17	1	1	g	16,17	[[16, 17]]
7	3	3	the pine tree	29	13	3	g	22,24,26,29,31,34,35	[[22, 24, 26], [24, 26, 29], [26, 29, 31], [29, 31, 34], [31, 34, 35]]
6	2	3	of the page	97	9	1	g	96,97,100,102,104,105	[[96, 97, 100], [97, 100, 102], [100, 102, 104, 105]]
4	1	3	below the cliffs	12	8	1	f	9,12,16,17	[[9, 12], [12, 16, 17]]
4	0	3	stop at the	47	73	1	g	46,47,118,119	[[46, 47], [118, 119]]
3	0	3	the old lighthouse	118	2	2	f	117,118,119	[[117, 118, 119]]
4	1	3	the pine forest	55	14	2	g	42,44,55,56	[[42, 44], [55, 56]]
3	1	3	pine forest on	43	3	2	g	40,42,43	[[40, 42, 43]]
2	0	3	the rocket warehouse	93	1	1	g	92,93	[[92, 93]]
2	0	3	a bit flatter	49	1	1	g	48,49	[[48, 49]]
2	0	3	a pretend semicircle	13	1	1	g	12,13	[[12, 13]]
2	0	3	a rocket warehouse	87	1	1	g	86,87	[[86, 87]]
2	0	3	across the page	39	3	1	g	36,39	[[36, 39]]
2	0	3	comes back in	61	1	1	g	60,61	[[60, 61]]
2	0	3	in the sea	115	1	1	g	114,115	[[114, 115]]
2	0	3	pass them on	6	1	1	f	5,6	[[5, 6]]
2	0	3	round the bakery	67	1	1	g	66,67	[[66, 67]]
2	0	3	which isn't there	21	1	1	g	20,21	[[20, 21]]
18	4	2	of the	15	93	1	g	12,15,18,19,20,24,26,27,34,35,92,93,96,97,100,102,104,105	[[12, 15], [15, 18, 19, 20], [18, 19, 20], [19, 20, 24], [20, 24], [24, 26, 27], [26, 27], [34, 35], [92, 93, 96, 97], [93, 96, 97], [96, 97, 100], [97, 100, 102], [100, 102, 104, 105]]
4	1	2	to the	96	84	1	g	13,15,96,97	[[13, 15], [96, 97]]
7	3	2	pine tree	29	13	4	g	22,24,26,29,31,34,35	[[22, 24, 26], [24, 26, 29], [26, 29, 31], [29, 31, 34], [31, 34, 35]]
7	2	2	pine forest	43	16	2	g	40,42,43,44,46,55,56	[[40, 42, 43, 44], [42, 43, 44, 46], [43, 44, 46], [44, 46], [55, 56]]
4	0	2	at the	47	73	2	g	46,47,118,119	[[46, 47], [118, 119]]
2	0	2	round the	67	1	4	g	66,67	[[66, 67]]
5	1	2	side of	97	9	1	f	96,97,102,104,105	[[96, 97], [97, 102], [102, 104, 105]]
6	2	2	the cliffs	9	9	1	g	8,9,10,12,16,17	[[8, 9, 10, 12], [9, 10, 12], [10, 12], [12, 16, 17]]
4	1	2	below the	12	8	1	f	9,12,16,17	[[9, 12], [12, 16, 17]]
5	2	2	the bakery	67	12	2	g	62,66,67,70,74	[[62, 66, 67], [66, 67, 70], [67, 70], [70, 74]]
