,Speaker,Utterance,Unified
5,M,"I was in an airforce, it was, uh, forty...","M|I was in an airforce, it was, uh, forty..."
6,A,Andrews?,A|Andrews?
7,M,"We've got to go back to, uh, where we came from.","M|We've got to go back to, uh, where we came from."
8,A,"Well, for the past week or two it's been cold and wet","A|Well, for the past week or two it's been cold and wet"
9,M,I don't know...,M|I don't know...
10,A,"but before that, for most of the year, it's been hot and dry.","A|but before that, for most of the year, it's been hot and dry."
11,M,"Ah, well I'm just a little bit jealous.","M|Ah, well I'm just a little bit jealous."
12,A,"Um, September really was, I'm not sure about October. I think for about twelve months through September the, the average temperature has been higher than normal each month. Um, lots of ninety degree days during the summer.","A|Um, September really was, I'm not sure about October. I think for about twelve months through September the, the average temperature has been higher than normal each month. Um, lots of ninety degree days during the summer."
13,M,"I mean, September is a month in the summer.","M|I mean, September is a month in the summer."
14,A,Uh-huh.,A|Uh-huh.
15,M,"Oh, so you're just being weird then.","M|Oh, so you're just being weird then."
16,A,Uh-huh.,A|Uh-huh.
17,M,June.,M|June.
18,A,Uh-huh.,A|Uh-huh.
19,M,,M|
20,A,"Oh, if you had it early.","A|Oh, if you had it early."
21,M,"Well, uh, and.","M|Well, uh, and."
22,A,"Yeah, I think we usually have a frost in October.","A|Yeah, I think we usually have a frost in October."
23,M,"Wait, when do we get the frost?","M|Wait, when do we get the frost?"
24,A,"Uh, but, you know. We really need the rain that we've been getting, and it has not today, but the last few days it's been, been pouring most of the day.","A|Uh, but, you know. We really need the rain that we've been getting, and it has not today, but the last few days it's been, been pouring most of the day."
25,M,It's been raining for like 3 days now.,M|It's been raining for like 3 days now.
26,A,"Flooding anywhere. I have not heard of it, any problems of it flooding anywhere, I mean, that's occurred certainly at times in the past, but, uh, no, I've not heard of any particular problems this time.","A|Flooding anywhere. I have not heard of it, any problems of it flooding anywhere, I mean, that's occurred certainly at times in the past, but, uh, no, I've not heard of any particular problems this time."
27,M,Are you referring to the flooding in the area,M|Are you referring to the flooding in the area
28,A,Yes.,A|Yes.
29,M,"Yeah, please, yes, and.","M|Yeah, please, yes, and."
30,A,"Yes, yeah, we had summer lasting long and then it, then it, then it became winter like, uh today it's, today it's sort of change to warmer to sort of more typical autumn day.","A|Yes, yeah, we had summer lasting long and then it, then it, then it became winter like, uh today it's, today it's sort of change to warmer to sort of more typical autumn day."
31,M,but not,M|but not
32,A,Yeah.,A|Yeah.
33,M,"It's just, it's.","M|It's just, it's."
34,A,"I don't know. Yeah, our leaves are, are all on, on the ground now. I think it was an especially good winter for fall colors.","A|I don't know. Yeah, our leaves are, are all on, on the ground now. I think it was an especially good winter for fall colors."
35,M,it,M|it
36,A,"Oh, yeah, yeah.","A|Oh, yeah, yeah."
37,M,"yes, it's.","M|yes, it's."
38,A,"Yeah, we, we did, for a time.","A|Yeah, we, we did, for a time."
39,M,Did you guys have any color in your leaves?,M|Did you guys have any color in your leaves?
40,A,Uh-huh.,A|Uh-huh.
41,M,I'm pretty sure the only thing that's ever gone is the last time.,M|I'm pretty sure the only thing that's ever gone is the last time.
42,A,Uh-huh.,A|Uh-huh.
43,M,That's a nice car you have there.,M|That's a nice car you have there.
44,A,Been that this year for the trees for the leaves.,A|Been that this year for the trees for the leaves.
45,M,"Uhhh, I know.","M|Uhhh, I know."
46,A,Um.,A|Um.
47,M,Ooh. Um.,M|Ooh. Um.
48,A,"Yeah, that's because it, it can't tolerate a freeze this early. Is that right?","A|Yeah, that's because it, it can't tolerate a freeze this early. Is that right?"
49,M,"It's only like, one of a few trees that it can tolerate.","M|It's only like, one of a few trees that it can tolerate."
50,A,If it would came later it would be all right?,A|If it would came later it would be all right?
51,M,It was an early spring freeze.,M|It was an early spring freeze.
52,A,Um.,A|Um.
53,M,I'em,M|I'em
