,Speaker,Utterance,Unified
5,M,I'm here.,M|I'm here.
6,A,"Uh, I play the piano","A|Uh, I play the piano"
7,M,What's the music?,M|What's the music?
8,A,"and, uh, I have a four year old who, who has started to play the piano. He does that, uh, musically, listens and then he can play, which is kind of interesting.","A|and, uh, I have a four year old who, who has started to play the piano. He does that, uh, musically, listens and then he can play, which is kind of interesting."
9,M,"Well, what do you do?","M|Well, what do you do?"
10,A,"I think it's because he's always heard music in our home all the, since he was a baby.","A|I think it's because he's always heard music in our home all the, since he was a baby."
11,M,He's a weird guy.,M|He's a weird guy.
12,A,"Uh, my husband and my other son, who's eleven just got through singing in a musical here, in, in the community at Music Man.","A|Uh, my husband and my other son, who's eleven just got through singing in a musical here, in, in the community at Music Man."
13,M,"Uhhh, what?","M|Uhhh, what?"
14,A,"Yeah, and that's lots of fun.","A|Yeah, and that's lots of fun."
15,M,"Yeah, we have a lot of fun in music too","M|Yeah, we have a lot of fun in music too"
16,A,"Uh, basically they read in the newspaper that there were open auditions. It was the Plano Repertory Theatre.","A|Uh, basically they read in the newspaper that there were open auditions. It was the Plano Repertory Theatre."
17,M,So what's the story?,M|So what's the story?
18,A,And so they went and tried out and my husband played Harold Hill from the Music Man and my son played one of the children in a band.,A|And so they went and tried out and my husband played Harold Hill from the Music Man and my son played one of the children in a band.
19,M,"The actor who played the doctor was a child, so they were the child actors.","M|The actor who played the doctor was a child, so they were the child actors."
20,A,"So, yeah, it was really fun, and, uh, my son plays the clarinet in his band at school, and my daughter takes piano lessons, too.","A|So, yeah, it was really fun, and, uh, my son plays the clarinet in his band at school, and my daughter takes piano lessons, too."
21,M,Did you go to school?,M|Did you go to school?
22,A,"But, uh, we just really like music. It's a, I, I especially like it as an outlet when the T V goes off, we get the T V off and just have some nice quiet music.","A|But, uh, we just really like music. It's a, I, I especially like it as an outlet when the T V goes off, we get the T V off and just have some nice quiet music."
23,M,I love it.,M|I love it.
24,A,Uh-huh.,A|Uh-huh.
25,M,"Uhh, uh, I don","M|Uhh, uh, I don"
26,A,"Uh, I have him take from a friend of mine who teaches Suzuki. Which is an auditory type learning experience.","A|Uh, I have him take from a friend of mine who teaches Suzuki. Which is an auditory type learning experience."
27,M,What do you think?,M|What do you think?
28,A,You listen to the music and then learn to play it by by hearing the intervals and things like that.,A|You listen to the music and then learn to play it by by hearing the intervals and things like that.
29,M,"Uuhhhuhuhuh. Uhuhuh.You listen, uhuhuh","M|Uuhhhuhuhuh. Uhuhuh.You listen, uhuhuh"
30,A,"I teach, uh, like what is traditionally taught, you know, you look at the note on the page and you play what's on the piano, but he can't learn like that. He's a delayed child. He's only about, I guess he's about two and a half in his real understanding of things.","A|I teach, uh, like what is traditionally taught, you know, you look at the note on the page and you play what's on the piano, but he can't learn like that. He's a delayed child. He's only about, I guess he's about two and a half in his real understanding of things."
31,M,Ohh.,M|Ohh.
32,A,"And, uh, so when my friend played something on the piano and he played it, uh, with his right hand, we went, wow","A|And, uh, so when my friend played something on the piano and he played it, uh, with his right hand, we went, wow"
33,M,,M|
34,A,"we better have him do do something. You know, educationally.","A|we better have him do do something. You know, educationally."
35,M,What do you mean?,M|What do you mean?
36,A,So that was really fun.,A|So that was really fun.
37,M,"We are, uh, um, friends.","M|We are, uh, um, friends."
38,A,"My husband and I love to go to the musicals downtown, though.","A|My husband and I love to go to the musicals downtown, though."
39,M,You're not.,M|You're not.
40,A,"So, my husband and I love to go to the musicals when they come into town into Dallas.","A|So, my husband and I love to go to the musicals when they come into town into Dallas."
41,M,The music is the best part.,M|The music is the best part.
42,A,Um.,A|Um.
43,M,I am the most beautiful person in the world.,M|I am the most beautiful person in the world.
44,A,"Oh, I think that's great.","A|Oh, I think that's great."
45,M,It's why.,M|It's why.
46,A,"That's really hard I think, because, especially if you start them and then they get pretty good and then they get close, ten, you know, eleven or something, they go, I don't want to do this anymore and you're like God, I really want you to do it.","A|That's really hard I think, because, especially if you start them and then they get pretty good and then they get close, ten, you know, eleven or something, they go, I don't want to do this anymore and you're like God, I really want you to do it."
47,M,N,M|N
48,A,You know.,A|You know.
49,M,"I don't think you should, but, I","M|I don't think you should, but, I"
50,A,"So sometimes it's hard to, to know exactly when, but, I don't know, if she acts like she wants to or says she wants to maybe you could have her take some for a while and see how she likes it.","A|So sometimes it's hard to, to know exactly when, but, I don't know, if she acts like she wants to or says she wants to maybe you could have her take some for a while and see how she likes it."
51,M,,M|
52,A,Uh-huh.,A|Uh-huh.
53,M,It's awwwww,M|It's awwwww
54,A,That's like me.,A|That's like me.
55,M,You.,M|You.
56,A,"Well, it can get expensive","A|Well, it can get expensive"
57,M,Well done!,M|Well done!
58,A,that's for sure.,A|that's for sure.
59,M,I guess so,M|I guess so
60,A,"I, my friend is, is very generous in, in letting us have my children, uh, do the Suzuki method without paying a lot out.","A|I, my friend is, is very generous in, in letting us have my children, uh, do the Suzuki method without paying a lot out."
61,M,"You know what, that's a good point.","M|You know what, that's a good point."
62,A,"Yeah, so it's been good for our family.","A|Yeah, so it's been good for our family."
63,M,What about your family?,M|What about your family?
64,A,"I don't have any Suzuki students. Uh,","A|I don't have any Suzuki students. Uh,"
65,M,"Uh, have you ever had a Suzuki student?","M|Uh, have you ever had a Suzuki student?"
66,A,"Something happening to me at Christmas time that, that verified to me that I will","A|Something happening to me at Christmas time that, that verified to me that I will"
