,Speaker,Utterance,Unified
5,A,"Oh, yeah?","A|Oh, yeah?"
6,M,I got a generic three eight,M|I got a generic three eight
7,A,"What did you do, put it together?","A|What did you do, put it together?"
8,M,I've got it all laid out now.,M|I've got it all laid out now.
9,A,"Well, that's, Yeah.","A|Well, that's, Yeah."
10,M,"Yeah, it's, I'm a pretty fast machine,","M|Yeah, it's, I'm a pretty fast machine,"
11,A,Yeah. What do you use it for?,A|Yeah. What do you use it for?
12,M,"Well, that's all you got to do.","M|Well, that's all you got to do."
13,A,What do you use it for?,A|What do you use it for?
14,M,Nope. Just don't know what to use it on.,M|Nope. Just don't know what to use it on.
15,A,"Oh, yeah? What kind of programs do you,","A|Oh, yeah? What kind of programs do you,"
16,M,Yeah. I know what it is.,M|Yeah. I know what it is.
17,A,"Okay, I mean like business programs or, Man.","A|Okay, I mean like business programs or, Man."
18,M,I don't really use anything.,M|I don't really use anything.
19,A,"Uh-huh,","A|Uh-huh,"
20,M,"Uhh, what are you going to do, I'm thinking about it.","M|Uhh, what are you going to do, I'm thinking about it."
21,A,"Huh. Well, that's, Well, that sounds interesting. Matter of fact, uh, I guess you do, uh, you get a lot of graphics in there, I imagine, huh.","A|Huh. Well, that's, Well, that sounds interesting. Matter of fact, uh, I guess you do, uh, you get a lot of graphics in there, I imagine, huh."
22,M,That.,M|That.
23,A,That's where the speed helps out.,A|That's where the speed helps out.
24,M,It's just a little bit of a pain.,M|It's just a little bit of a pain.
25,A,"Yep, that will, that will, slow you up","A|Yep, that will, that will, slow you up"
26,M,"I, uh, I don't think I'll, uhm, uh...","M|I, uh, I don't think I'll, uhm, uh..."
27,A,"Well, I, I do, uh, uh, programming for C N C turret presses and uh, cat cam system type things","A|Well, I, I do, uh, uh, programming for C N C turret presses and uh, cat cam system type things"
28,M,"I know what you're talking about, but what about the other thing?","M|I know what you're talking about, but what about the other thing?"
29,A,"and, uh, really need a faster system. Uh, I got a new line that I, I sell metal fabricating equipment, and cat cam systems, and tooling, et cetera.","A|and, uh, really need a faster system. Uh, I got a new line that I, I sell metal fabricating equipment, and cat cam systems, and tooling, et cetera."
30,M,You have to be able to sell it to someone.,M|You have to be able to sell it to someone.
31,A,"Uh,","A|Uh,"
32,M,"Oh yeah, uh","M|Oh yeah, uh"
33,A,Who is that?,A|Who is that?
34,M,You should upgrade it.,M|You should upgrade it.
35,A,I've tried to do is get this outfit to give me one,A|I've tried to do is get this outfit to give me one
36,M,I'm a girl,M|I'm a girl
37,A,"That's how I got my other ones by selling their product for them. They not only give me a demonstrator, but the hardware as well as the software.","A|That's how I got my other ones by selling their product for them. They not only give me a demonstrator, but the hardware as well as the software."
38,M,"It's a little more than that, but I think it's a bit less than 1.","M|It's a little more than that, but I think it's a bit less than 1."
39,A,"And as they, And as they go to the next one I just keep the,","A|And as they, And as they go to the next one I just keep the,"
40,M,It's an honor to get the second.,M|It's an honor to get the second.
41,A,that's why I have so many different levels of P C around at the moment.,A|that's why I have so many different levels of P C around at the moment.
42,M,I'd rather just get the P C,M|I'd rather just get the P C
43,A,A T S?,A|A T S?
44,M,"I'm still confused, it's a T S, not a T C","M|I'm still confused, it's a T S, not a T C"
45,A,And where are they at?,A|And where are they at?
46,M,I think it's a T S,M|I think it's a T S
47,A,"Oh, yeah.","A|Oh, yeah."
48,M,"Oh, yeah.","M|Oh, yeah."
49,A,In Richardson there.,A|In Richardson there.
50,M,Where is that?,M|Where is that?
51,A,In Richardson?,A|In Richardson?
52,M,It's in Richardson,M|It's in Richardson
53,A,"I know where you mean. There is a Mobil and all that kind of uh, on that one corner, that's about Lookout there, I think, isn't it.","A|I know where you mean. There is a Mobil and all that kind of uh, on that one corner, that's about Lookout there, I think, isn't it."
54,M,What? I'm on the corner.,M|What? I'm on the corner.
55,A,Yeah.,A|Yeah.
56,M,Is that the place in the middle of the picture?,M|Is that the place in the middle of the picture?
57,A,Yeah.,A|Yeah.
58,M,Is it a place?,M|Is it a place?
59,A,Oh.,A|Oh.
60,M,He gave you a copy of the book.,M|He gave you a copy of the book.
61,A,"Really? Well, that's a good deal.","A|Really? Well, that's a good deal."
62,M,"I'm not sure, I think they were like three fifty.","M|I'm not sure, I think they were like three fifty."
63,A,Yeah.,A|Yeah.
64,M,Was it really?,M|Was it really?
65,A,"Uh, there is a lot, you ever go by Lucky Computer there?","A|Uh, there is a lot, you ever go by Lucky Computer there?"
66,M,The best of the best.,M|The best of the best.
67,A,"I used to, when I was putting shop floor computers together for guys, I'd go and get their units and put them together and go and interface the stuff with our systems.","A|I used to, when I was putting shop floor computers together for guys, I'd go and get their units and put them together and go and interface the stuff with our systems."
68,M,"Ah, well.","M|Ah, well."
69,A,"Haven't been doing much of that for the last year or so. So I, I don't know where those guys are at these days. But I, ,","A|Haven't been doing much of that for the last year or so. So I, I don't know where those guys are at these days. But I, ,"
70,M,What do you do for a living?,M|What do you do for a living?
71,A,Yeah. Yeah.,A|Yeah. Yeah.
