,Speaker,Utterance,Unified
5,M,I had a cat.,M|I had a cat.
6,A,"so, I mean, I'm used, I'm used to having cats around, I like them.","A|so, I mean, I'm used, I'm used to having cats around, I like them."
7,M,I'm not used to cats around,M|I'm not used to cats around
8,A,"Oh, see, I'm not, uh, I'm not a dog person at all","A|Oh, see, I'm not, uh, I'm not a dog person at all"
9,M,I'm not.,M|I'm not.
10,A,"Yeah, probably, I was allergic to dogs when I was a kid, in fact,","A|Yeah, probably, I was allergic to dogs when I was a kid, in fact,"
11,M,... are you okay?,M|... are you okay?
12,A,"I may still be, um, we,","A|I may still be, um, we,"
13,M,I don't think so.,M|I don't think so.
14,A,"That , um, I wonder sometimes","A|That , um, I wonder sometimes"
15,M,I don't think I'm a cat.,M|I don't think I'm a cat.
16,A,"Um, but we, um, we house sat for a, um, my, um, my wife's boss a couple weeks ago and, um, uh, he has a dog and everything, we were, you know, we were sitting the dog and everything and, uh, I felt like just miserable all weekend and it really didn't dawn on me until Sunday, it was like, hey, maybe you're still allergic to the dog. It was like, oh, that could be it.","A|Um, but we, um, we house sat for a, um, my, um, my wife's boss a couple weeks ago and, um, uh, he has a dog and everything, we were, you know, we were sitting the dog and everything and, uh, I felt like just miserable all weekend and it really didn't dawn on me until Sunday, it was like, hey, maybe you're still allergic to the dog. It was like, oh, that could be it."
17,M,I'm not allergic,M|I'm not allergic
18,A,"Yeah. Well, dogs are real high maintenances, you got to take them for walks and you've got to pay a lot, you know, you need to pay attention to cats and everything but it's not quite the same thing.","A|Yeah. Well, dogs are real high maintenances, you got to take them for walks and you've got to pay a lot, you know, you need to pay attention to cats and everything but it's not quite the same thing."
19,M,You '.,M|You '.
20,A,"Um, and, um, um, you know, it's, it's just nice that cats, you know, cats, yeah, you don't have to let them outside, you know, all cats are indoor cats,","A|Um, and, um, um, you know, it's, it's just nice that cats, you know, cats, yeah, you don't have to let them outside, you know, all cats are indoor cats,"
21,M,",,","M|,,"
22,A,"so, you know, they're not, you're not worried about them running all-around the neighborhood and, you know, they, you know, they, they make their mess in the cat pan which is,","A|so, you know, they're not, you're not worried about them running all-around the neighborhood and, you know, they, you know, they, they make their mess in the cat pan which is,"
23,M,Why do,M|Why do
24,A,"yeah, it's, you know, it's a pain to clean but, you know, we used to, I mean, they got great stuff out now for cleaning cats' pans . They didn't,","A|yeah, it's, you know, it's a pain to clean but, you know, we used to, I mean, they got great stuff out now for cleaning cats' pans . They didn't,"
25,M,...,M|...
26,A,"Well, when I was, you know, when I was growing up I had a clean the cat pan all the time, and I hated it because I had to carry everything upstairs and, you know, and use this thing to, you know, scoop the, take the stuff out and put it in the toilet and everything it was really terrible. But now they have like this, you get these liners, that is garbage bags, you know,","A|Well, when I was, you know, when I was growing up I had a clean the cat pan all the time, and I hated it because I had to carry everything upstairs and, you know, and use this thing to, you know, scoop the, take the stuff out and put it in the toilet and everything it was really terrible. But now they have like this, you get these liners, that is garbage bags, you know,"
27,M,,M|
28,A,"and you, and you, you know the,","A|and you, and you, you know the,"
29,M,"you, '","M|you, '"
30,A,"Yeah, the cats do it in there, you pull it and take it out and throw it away, and that's it,","A|Yeah, the cats do it in there, you pull it and take it out and throw it away, and that's it,"
31,M,"pull it, it's, it,","M|pull it, it's, it,"
32,A,Uh-huh.,A|Uh-huh.
33,M,"I'm just joking around, I'm not a cat","M|I'm just joking around, I'm not a cat"
34,A,Same idea,A|Same idea
35,M,We used to put newspaper on our cats'feet and then dump them in the garbage.,M|We used to put newspaper on our cats'feet and then dump them in the garbage.
36,A,Everyday?,A|Everyday?
37,M,I have to clean the pan everyday,M|I have to clean the pan everyday
38,A,"Oh, okay, I see.","A|Oh, okay, I see."
39,M,I was using a different one,M|I was using a different one
40,A,Uh-huh.,A|Uh-huh.
41,M,But then how would you know it was the cat?,M|But then how would you know it was the cat?
42,A,Uh-huh.,A|Uh-huh.
43,M,"I don't know, how do you know?","M|I don't know, how do you know?"
