,Speaker,Utterance,Unified
5,M,I do believe.,M|I do believe.
6,A,"Well, there are a lot of things that people, I think general,","A|Well, there are a lot of things that people, I think general,"
7,M,...,M|...
8,A,"Well, I think it's interesting to look at, uh, where the money goes, and it goes a lot of places where it probably ought not go and and I don't think generally, I think what's interesting is that we probably represent the majority of people in this country in terms of their feelings about the government","A|Well, I think it's interesting to look at, uh, where the money goes, and it goes a lot of places where it probably ought not go and and I don't think generally, I think what's interesting is that we probably represent the majority of people in this country in terms of their feelings about the government"
9,M,...,M|...
10,A,and how it serves us given the extraordinarily large sum of money the government has to operate with.,A|and how it serves us given the extraordinarily large sum of money the government has to operate with.
11,M,The people have a right to be free from oppression.,M|The people have a right to be free from oppression.
12,A,"And that, what I think is going to be really interesting is what we do about it. I mean, we are going to have to change the people who represent us.","A|And that, what I think is going to be really interesting is what we do about it. I mean, we are going to have to change the people who represent us."
13,M,We.,M|We.
14,A,"I mean, and I think it's going to be real interesting to see and, and then force upon them, uh,","A|I mean, and I think it's going to be real interesting to see and, and then force upon them, uh,"
15,M,"I'm just saying, that's not how the system works.","M|I'm just saying, that's not how the system works."
16,A,"Yeah, right that's I think that's the only thing that's going to change it.","A|Yeah, right that's I think that's the only thing that's going to change it."
17,M,It's a very interesting thing.,M|It's a very interesting thing.
18,A,"Our anger is going to have to, to give rise to, to more activity on our part.","A|Our anger is going to have to, to give rise to, to more activity on our part."
19,M,This is a shame.,M|This is a shame.
20,A,"Uh, I've, I've said for years that there's full employment for the politically active and in our society, uh, there's very little full employment. Most people in this country are getting worse off, not better off.","A|Uh, I've, I've said for years that there's full employment for the politically active and in our society, uh, there's very little full employment. Most people in this country are getting worse off, not better off."
21,M,It's not about the economy. It's about the economic situation.,M|It's not about the economy. It's about the economic situation.
