,Speaker,Utterance,Unified
5,M,"that,.","M|that,."
6,A,"So, it really is a different, um,","A|So, it really is a different, um,"
7,M,.,M|.
8,A,"Yeah, that's, that's right talk to, I had to talk about gun control with somebody and I talked with a woman who actually, you know, had just purchased a gun that day,  and was going target shooting, you know,","A|Yeah, that's, that's right talk to, I had to talk about gun control with somebody and I talked with a woman who actually, you know, had just purchased a gun that day,  and was going target shooting, you know,"
9,M,"I, gun, gun.","M|I, gun, gun."
10,A,"and it was very different it was a whole,  different view. It's really, um, this has opened my eyes to thinking, you know, at one time I just sat here and thought, well, how can anybody believe that because I'd really never met people that did, and now, I talk to people that do. So that's, it's really interesting.","A|and it was very different it was a whole,  different view. It's really, um, this has opened my eyes to thinking, you know, at one time I just sat here and thought, well, how can anybody believe that because I'd really never met people that did, and now, I talk to people that do. So that's, it's really interesting."
11,M,i',M|i'
12,A,Uh-huh.,A|Uh-huh.
13,M,That's.,M|That's.
14,A,Uh-huh.,A|Uh-huh.
15,M,Hey.,M|Hey.
16,A,Yeah.,A|Yeah.
17,M,It's pretty cool.,M|It's pretty cool.
18,A,"Yeah, isn't it funny.","A|Yeah, isn't it funny."
19,M,"Oh, I see. I guess I was thinking of the U. S.","M|Oh, I see. I guess I was thinking of the U. S."
20,A,Uh-huh.,A|Uh-huh.
21,M,And I'm not sure if you are aware of the fact that they didn't allow it.,M|And I'm not sure if you are aware of the fact that they didn't allow it.
22,A,Uh. Yeah.,A|Uh. Yeah.
23,M,What about the fact that they never did away?,M|What about the fact that they never did away?
24,A,"Yeah well you can possess 'em here too but They have to be they're registered and Uh, like uh the the Brady Bill that's currently being discussed nationally and whatever is very well supported here, in gun control avenues,","A|Yeah well you can possess 'em here too but They have to be they're registered and Uh, like uh the the Brady Bill that's currently being discussed nationally and whatever is very well supported here, in gun control avenues,"
25,M,I thought it was just the federal government that allowed guns to be purchased and sold in the state of Florida.,M|I thought it was just the federal government that allowed guns to be purchased and sold in the state of Florida.
26,A,You have the seven day waiting period.,A|You have the seven day waiting period.
27,M,Do you know how much time I have to wait to buy my guns?,M|Do you know how much time I have to wait to buy my guns?
28,A,Yeah,A|Yeah
29,M,Uhh uh uh huh,M|Uhh uh uh huh
30,A,that's uh that's,A|that's uh that's
31,M,I'm not sure.,M|I'm not sure.
32,A,Yeah.,A|Yeah.
33,M,That's the N,M|That's the N
34,A,Yeah that's true that's very true That's and that's the way I guess most of the um the political organizations work you know the same I know the abortion issue with right to life and right to choose,A|Yeah that's true that's very true That's and that's the way I guess most of the um the political organizations work you know the same I know the abortion issue with right to life and right to choose
35,M,It's all good. The political issues are far from being a bad thing.,M|It's all good. The political issues are far from being a bad thing.
36,A,and and both of them are both want the extent of extremes so that they don't give anything for a balance you know there's there's always that difficulty,A|and and both of them are both want the extent of extremes so that they don't give anything for a balance you know there's there's always that difficulty
37,M,And I think that's fair enough.,M|And I think that's fair enough.
38,A,Um I would say I'm probably liberal yeah,A|Um I would say I'm probably liberal yeah
39,M,"I'm not sure if you're liberal or not, but you have a point","M|I'm not sure if you're liberal or not, but you have a point"
40,A,yeah Sure,A|yeah Sure
41,M,You don't think I'm liberal?,M|You don't think I'm liberal?
42,A,"Well I'll tell you. I I think you know if they if they didn't give as much coverage to these idiots that burn the flag, it would never happen do you know what I mean?","A|Well I'll tell you. I I think you know if they if they didn't give as much coverage to these idiots that burn the flag, it would never happen do you know what I mean?"
43,M,How do you think the US is gonna treat them?,M|How do you think the US is gonna treat them?
44,A,It's only because they make a big stink over it. But I I guess actually I believe that if somebody wants to burn the flag I guess that's their opportunity They're they're they're right in the sense of freedom of speech But I would never,A|It's only because they make a big stink over it. But I I guess actually I believe that if somebody wants to burn the flag I guess that's their opportunity They're they're they're right in the sense of freedom of speech But I would never
45,M,You think that's wrong?,M|You think that's wrong?
46,A,Yeah.,A|Yeah.
47,M,And if you're not the owner of the flag then you're wrong.,M|And if you're not the owner of the flag then you're wrong.
48,A,"Yeah. Well it's that they I think the idea of freedom of speech goes back to and I uh uh the the the whole aspect of being able to display your uh your ideas you know the what the country stands on America stands on is that they can do that Uh, though I would never even consider it in a million years to do it myself I I I think uh you know but I I still what the flag stands for I guess to me is that if somebody wants to voice their opinion or display their opinion openly and if that is a a way that they can show their opinion then they should be allowed uh","A|Yeah. Well it's that they I think the idea of freedom of speech goes back to and I uh uh the the the whole aspect of being able to display your uh your ideas you know the what the country stands on America stands on is that they can do that Uh, though I would never even consider it in a million years to do it myself I I I think uh you know but I I still what the flag stands for I guess to me is that if somebody wants to voice their opinion or display their opinion openly and if that is a a way that they can show their opinion then they should be allowed uh"
49,M,,M|
