,Speaker,Utterance,Unified
5,M,I,M|I
6,A,"What, uh, is there anything, uh, that you particularly are concerned with in your particular area as far as security and that sort of thing?","A|What, uh, is there anything, uh, that you particularly are concerned with in your particular area as far as security and that sort of thing?"
7,M,,M|
8,A,"Uh-huh. Do you live in a real small town or, or out in the country?","A|Uh-huh. Do you live in a real small town or, or out in the country?"
9,M,,M|
10,A,"How far out from the city, I mean, do you,","A|How far out from the city, I mean, do you,"
11,M,"You, what, you, do.","M|You, what, you, do."
12,A,"About fifteen miles. I live in a little suburb, uh, which is, I guess from Dallas is twelve miles or so","A|About fifteen miles. I live in a little suburb, uh, which is, I guess from Dallas is twelve miles or so"
13,M,What city?,M|What city?
14,A,"but it's pretty congested. We are considered in the country,","A|but it's pretty congested. We are considered in the country,"
15,M,"Aye, I'm in the US.","M|Aye, I'm in the US."
16,A,but it doesn't really feel like you're in the country.,A|but it doesn't really feel like you're in the country.
17,M,"It's not that bad, you just have to get used to it.","M|It's not that bad, you just have to get used to it."
18,A,"Our major crimes in our immediate town, uh, is probably robberies, house robberies and very few instances of, you know, alcohol, drugs, uh, reported.","A|Our major crimes in our immediate town, uh, is probably robberies, house robberies and very few instances of, you know, alcohol, drugs, uh, reported."
19,M,What is your major crime?,M|What is your major crime?
20,A,"However, I'm sure they're there.","A|However, I'm sure they're there."
21,M,The only thing I can think of is that there are no guns in the area.,M|The only thing I can think of is that there are no guns in the area.
22,A,"But, uh, right now our neighborhood is running about, uh, eighty percent of the homeowners have been robbed, sometime during their, their, uh, existence in that neighborhood.","A|But, uh, right now our neighborhood is running about, uh, eighty percent of the homeowners have been robbed, sometime during their, their, uh, existence in that neighborhood."
23,M,"Hm, yeah.","M|Hm, yeah."
24,A,"And since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that.","A|And since that time everybody's got some sort of burglar system or, you know, uh, burglar alarms uh, and including the out, uh, the outer perimeter type, uh, devices, sensors and things like that."
25,M,They have that now?,M|They have that now?
