,Speaker,Utterance,Unified
5,M,s,M|s
6,A,"We were in Colorado recently and heard this, these, uh, well, we heard this fiddler and we bought his, we bought his tape and it's kind of fun to listen to the fiddle pans .","A|We were in Colorado recently and heard this, these, uh, well, we heard this fiddler and we bought his, we bought his tape and it's kind of fun to listen to the fiddle pans ."
7,M,"you, the.","M|you, the."
8,A,"So,","A|So,"
9,M,"Yes. Yes, it is.","M|Yes. Yes, it is."
10,A,"Oh, Chris Xeros.","A|Oh, Chris Xeros."
11,M,You don't know my life.,M|You don't know my life.
12,A,"Oh, you lucky thing.","A|Oh, you lucky thing."
13,M,I'm from the states.,M|I'm from the states.
14,A,Yeah.,A|Yeah.
15,M,I'm Chris xeros.nuff said.,M|I'm Chris xeros.nuff said.
16,A,"Oh, gosh, Chris Xeros You grew up with his children, too, then?","A|Oh, gosh, Chris Xeros You grew up with his children, too, then?"
17,M,"I'm Chris Xero, son of Zeus.","M|I'm Chris Xero, son of Zeus."
18,A,"Oh, gosh.","A|Oh, gosh."
19,M,"Well, my son is.","M|Well, my son is."
20,A,"Gosh, small world, huh?","A|Gosh, small world, huh?"
21,M,Chris xeros?,M|Chris xeros?
22,A,Oh.,A|Oh.
23,M,It's a common misconception.,M|It's a common misconception.
24,A,"Oh gosh. Well actually, I used to play in the Richardson Symphony, I played violin in the orchestra for several years you know,","A|Oh gosh. Well actually, I used to play in the Richardson Symphony, I played violin in the orchestra for several years you know,"
25,M,"I know I am, but I am a little bit older.","M|I know I am, but I am a little bit older."
26,A,"yeah So,","A|yeah So,"
27,M,You do?,M|You do?
28,A,"Yeah, small world. So, I, uh, I know Chris","A|Yeah, small world. So, I, uh, I know Chris"
29,M,I'm not Chris.,M|I'm not Chris.
30,A,Most of the time,A|Most of the time
31,M,he smiles and shrugs,M|he smiles and shrugs
32,A,"No, no. Well life just took different turns here so, uh, it just didn't work out to do that now. So, he's, he's about ready to retire, another year and he,","A|No, no. Well life just took different turns here so, uh, it just didn't work out to do that now. So, he's, he's about ready to retire, another year and he,"
33,M,"I'm gonna have to go with, I think Chris.","M|I'm gonna have to go with, I think Chris."
34,A,"Yeah, I heard that. It's, it's daughter, it's his daughter that,","A|Yeah, I heard that. It's, it's daughter, it's his daughter that,"
35,M,I think he's just talking about how he got married to his daughter,M|I think he's just talking about how he got married to his daughter
36,A,Oh.,A|Oh.
37,M,He's still a father.,M|He's still a father.
38,A,Was it a boy or a girl?,A|Was it a boy or a girl?
39,M,"Oh, that's good.","M|Oh, that's good."
40,A,Yeah. What did they name him?,A|Yeah. What did they name him?
41,M,You're a girl?,M|You're a girl?
42,A,Oh.,A|Oh.
43,M,You can see the lines on his back.,M|You can see the lines on his back.
44,A,Oh.,A|Oh.
45,M,"Yeah, but he is a girl.","M|Yeah, but he is a girl."
46,A,Of course.,A|Of course.
47,M,So Chris?,M|So Chris?
48,A,Oh.,A|Oh.
49,M,He's a cousin of Elijah.,M|He's a cousin of Elijah.
50,A,"Yeah, yeah.","A|Yeah, yeah."
51,M,"I'm not sure, maybe you know","M|I'm not sure, maybe you know"
52,A,"Oh, so you've heard the Richardson Symphony?","A|Oh, so you've heard the Richardson Symphony?"
53,M,I've heard it's one of the most beautiful things in the world.,M|I've heard it's one of the most beautiful things in the world.
54,A,Yeah.,A|Yeah.
55,M,You've heard The Richardson Symphony?,M|You've heard The Richardson Symphony?
56,A,Do you have a favorite instrument?,A|Do you have a favorite instrument?
57,M,It's a song.,M|It's a song.
58,A,Yes.,A|Yes.
59,M,Are you a guitar player?,M|Are you a guitar player?
60,A,"Oh, did you?","A|Oh, did you?"
61,M,"Did you like, sing the song?","M|Did you like, sing the song?"
62,A,Oh.,A|Oh.
63,M,You have to.,M|You have to.
64,A,Oh.,A|Oh.
65,M,"Well, it was a good one","M|Well, it was a good one"
66,A,And it played by itself?,A|And it played by itself?
67,M,I did,M|I did
68,A,"Well, I mean, but you didn't have oboe or something with it?","A|Well, I mean, but you didn't have oboe or something with it?"
69,M,I didn't play it,M|I didn't play it
70,A,Yeah. Oh.,A|Yeah. Oh.
71,M,It was by itself.,M|It was by itself.
