,Speaker,Utterance,Unified
5,M,I think the cowboys are pretty good,M|I think the cowboys are pretty good
6,A,Uh-huh.,A|Uh-huh.
7,M,So did the Cowboys.,M|So did the Cowboys.
8,A,"Yeah, they're going to get better. I mean, you know.","A|Yeah, they're going to get better. I mean, you know."
9,M,I don't think we'll get any better.,M|I don't think we'll get any better.
10,A,Yeah. As long as Troy Aikman doesn't get hurt again. That kind of killed them at the end of the season last year.,A|Yeah. As long as Troy Aikman doesn't get hurt again. That kind of killed them at the end of the season last year.
11,M,"If the team does well, I'll be glad if we can get a decent amount of experience out of them.","M|If the team does well, I'll be glad if we can get a decent amount of experience out of them."
12,A,"So, I don't, I don't even know who your favorite team is, actually.","A|So, I don't, I don't even know who your favorite team is, actually."
13,M,We're not,M|We're not
14,A,"Okay. I think I did know that, I just forgot. Okay.","A|Okay. I think I did know that, I just forgot. Okay."
15,M,Nah. I'm a Vikings fan.,M|Nah. I'm a Vikings fan.
16,A,Yeah. Has Herschel Walker done much for them?,A|Yeah. Has Herschel Walker done much for them?
17,M,"I don't know, I guess you're right.","M|I don't know, I guess you're right."
18,A,"Definitely. Well, he was a good player. I guess, well I don't know, he just never, I don't know, for a while there ,","A|Definitely. Well, he was a good player. I guess, well I don't know, he just never, I don't know, for a while there ,"
19,M,Cowboys? The only team that was ever really in contention for the NFC North?,M|Cowboys? The only team that was ever really in contention for the NFC North?
20,A,"Well, he could always get past, you know, he'd get past like six or seven tackles and just keep spinning around and get on into the end zone. But, um, I guess you never could really see him play, because with the Cowboys, while he was with the team, the rest of the team was pretty poor so you couldn't really tell if it was just him or the team and I always just assumed that he was too good for the rest of the team. But, I don't know.","A|Well, he could always get past, you know, he'd get past like six or seven tackles and just keep spinning around and get on into the end zone. But, um, I guess you never could really see him play, because with the Cowboys, while he was with the team, the rest of the team was pretty poor so you couldn't really tell if it was just him or the team and I always just assumed that he was too good for the rest of the team. But, I don't know."
21,M,I,M|I
22,A,"Emmett Smith, yeah.","A|Emmett Smith, yeah."
23,M,You.,M|You.
24,A,he's been doing real good. I'm pretty impressed with him so far.,A|he's been doing real good. I'm pretty impressed with him so far.
25,M,That is it.,M|That is it.
26,A,"Did he, did he actually play in the Pro Bowl. I remember he was like a backup and then somebody got injured and he was supposed to go.","A|Did he, did he actually play in the Pro Bowl. I remember he was like a backup and then somebody got injured and he was supposed to go."
27,M,Nah he was a rookie last year.,M|Nah he was a rookie last year.
28,A,"Yeah, I kind of, I haven't been keeping up with football, I mean, in the fall I, I can go on and on about football, but since it's kind of off season, it's kind of hard to think back about all that. But, uh,","A|Yeah, I kind of, I haven't been keeping up with football, I mean, in the fall I, I can go on and on about football, but since it's kind of off season, it's kind of hard to think back about all that. But, uh,"
29,M,Not sure.,M|Not sure.
30,A,Yeah.,A|Yeah.
31,M,This is?,M|This is?
32,A,"Um, I have no idea.","A|Um, I have no idea."
33,M,What?,M|What?
34,A,No earthly idea.,A|No earthly idea.
35,M,What is the name of the coach?,M|What is the name of the coach?
36,A,"How did they end up this year? Did they, did they make it to the play-offs at all?","A|How did they end up this year? Did they, did they make it to the play-offs at all?"
37,M,"We got the first pick in the NFC East, and then we got a QB that wasn't even the first overall pick.","M|We got the first pick in the NFC East, and then we got a QB that wasn't even the first overall pick."
38,A,Uh-huh.,A|Uh-huh.
39,M,They got lucky with that first round exit.,M|They got lucky with that first round exit.
40,A,"Kind of like the cowboys, huh.","A|Kind of like the cowboys, huh."
41,M,"The Rams, Chiefs, and the Chiefs have all won Super Bowls.","M|The Rams, Chiefs, and the Chiefs have all won Super Bowls."
42,A,Except I think the Cowboys are on the upswing I don't know about the Vikings,A|Except I think the Cowboys are on the upswing I don't know about the Vikings
43,M,The Vikings and Cowboys are both on the downswing,M|The Vikings and Cowboys are both on the downswing
44,A,Just hadn't heard much about them lately.,A|Just hadn't heard much about them lately.
45,M,Oh. Well I think I'm going to do it anyway.,M|Oh. Well I think I'm going to do it anyway.
46,A,"Yeah. Well, the Cardinals, I don't know. I think the Cowboys probably have a, a better team. They just, at the end of the season, the kind of got messed up with Aikman getting hurt, because, uh, Laufenberg just couldn't ever really get it together at all. Of course, he sat along the sidelines all season, he never really got in a game, never did a whole lot.","A|Yeah. Well, the Cardinals, I don't know. I think the Cowboys probably have a, a better team. They just, at the end of the season, the kind of got messed up with Aikman getting hurt, because, uh, Laufenberg just couldn't ever really get it together at all. Of course, he sat along the sidelines all season, he never really got in a game, never did a whole lot."
47,M,I,M|I
48,A,"Well, I'm just saying I shouldn't, I shouldn't blast him like that, say, oh well, Laufenberg got out there and blew it for them, I mean, he didn't get to see much action. But, too bad. Because now, now, you know, he had a shot and, and didn't look too good and so, no one's going to have much faith in him any more.","A|Well, I'm just saying I shouldn't, I shouldn't blast him like that, say, oh well, Laufenberg got out there and blew it for them, I mean, he didn't get to see much action. But, too bad. Because now, now, you know, he had a shot and, and didn't look too good and so, no one's going to have much faith in him any more."
49,M,,M|
