,Speaker,Utterance,Unified
5,M,I'll take the Astros.,M|I'll take the Astros.
6,A,"Really? I guess they paired two women together on this call for a reason which is something we can think about later but, um, I understand a little bit about the Texas Rangers. I know George Bush threw out the first pitch hitter bounced off the ground and that, um, yeah , I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system, and, uh, the radio's kind of cruel, I mean, think, the, he, this chain that must have been on President Bush to bounce the first pitch off the ground, I mean, how humiliating for a man to do that, any man. I don't care if you're President.","A|Really? I guess they paired two women together on this call for a reason which is something we can think about later but, um, I understand a little bit about the Texas Rangers. I know George Bush threw out the first pitch hitter bounced off the ground and that, um, yeah , I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system, and, uh, the radio's kind of cruel, I mean, think, the, he, this chain that must have been on President Bush to bounce the first pitch off the ground, I mean, how humiliating for a man to do that, any man. I don't care if you're President."
7,M,,M|
8,A,"I know but he's a man come on, men know how to do that, right?","A|I know but he's a man come on, men know how to do that, right?"
9,M,you,M|you
10,A,"I know so, I felt kind of sorry for him. that must have been hard on him because he's just a person but, um, I never , a major owner of our of the team here.","A|I know so, I felt kind of sorry for him. that must have been hard on him because he's just a person but, um, I never , a major owner of our of the team here."
11,M,,M|
12,A,"Yeah, he's like, I thought he was the owner but it turns out my Mom said that he's part owner but he must own the biggest chunk because that's all you hear about is, if, you know, about Neal Bush I think is his name.","A|Yeah, he's like, I thought he was the owner but it turns out my Mom said that he's part owner but he must own the biggest chunk because that's all you hear about is, if, you know, about Neal Bush I think is his name."
13,M,Neil.,M|Neil.
14,A,"See, I even know his name because he's on the news a lot, and I never had to watch the news not, you know, not like some people hour and a half a day or anything.","A|See, I even know his name because he's on the news a lot, and I never had to watch the news not, you know, not like some people hour and a half a day or anything."
15,M,I,M|I
16,A,Uh-huh.,A|Uh-huh.
17,M,You're,M|You're
18,A,"Oh, I saw that.","A|Oh, I saw that."
19,M,That's.the.about.about.,M|That's.the.about.about.
20,A,Yeah.,A|Yeah.
21,M,"No, I'm pretty sure you're right.","M|No, I'm pretty sure you're right."
22,A,"I want to see your driver's I, I, I don't,","A|I want to see your driver's I, I, I don't,"
23,M,"It's a photo of a car, so it's not fake.","M|It's a photo of a car, so it's not fake."
24,A,"you're not President Bush. I know and he said yeah, it does so fast , I heard it on the radio. I heard the audio portion on the radio in the car but I didn't see it but,","A|you're not President Bush. I know and he said yeah, it does so fast , I heard it on the radio. I heard the audio portion on the radio in the car but I didn't see it but,"
25,M,No it doesn't.,M|No it doesn't.
26,A,"That's about my extent of, um, about baseball, I don't know, that much about it.","A|That's about my extent of, um, about baseball, I don't know, that much about it."
27,M,I don't,M|I don't
28,A,Uh-huh.,A|Uh-huh.
29,M,"You know, it's only been a day.","M|You know, it's only been a day."
30,A,Uh-huh.,A|Uh-huh.
31,M,What's the significance of the Mets opening?,M|What's the significance of the Mets opening?
32,A,Did they?,A|Did they?
33,M,They did.,M|They did.
34,A,Uh-huh.,A|Uh-huh.
35,M,They won.,M|They won.
36,A,That's so stupid that you all have two teams.,A|That's so stupid that you all have two teams.
37,M,New York Yankees.,M|New York Yankees.
38,A,That's really stupid.,A|That's really stupid.
39,M,I'm not even a fan of the New York Mets.,M|I'm not even a fan of the New York Mets.
40,A,"Yeah, I know.","A|Yeah, I know."
