,Speaker,Utterance,Unified
5,B,How about yourself?,B|How about yourself?
6,M,!!!%!! RemindMe!! That's a good one.,M|!!!%!! RemindMe!! That's a good one.
7,B,Really?,B|Really?
8,M,Yeah.,M|Yeah.
9,B,"Oh, yeah, that's neat.","B|Oh, yeah, that's neat."
10,M,"I really enjoy it, I just haven't done a whole lot of it.","M|I really enjoy it, I just haven't done a whole lot of it."
11,B,"Oh, that's great, uh-huh.","B|Oh, that's great, uh-huh."
12,M,"and so I, I don't know, I'm, I like to take a little time and, and look at the different areas and try to find what's really worth it.","M|and so I, I don't know, I'm, I like to take a little time and, and look at the different areas and try to find what's really worth it."
13,B,"Oh, that sounds nice. I like bluegrass, too.","B|Oh, that sounds nice. I like bluegrass, too."
14,M,"Yeah, I like it, I do, too, but I just don't like the, I don't know, I, I think it's too commercialized.","M|Yeah, I like it, I do, too, but I just don't like the, I don't know, I, I think it's too commercialized."
15,B,Uh-huh.,B|Uh-huh.
16,M,"but I, I don't like to do it, so I don 'use' it.","M|but I, I don't like to do it, so I don 'use' it."
17,B,"That's the hard part, right?","B|That's the hard part, right?"
18,M,Yeah.,M|Yeah.
19,B,"If you can do things together, that really helps a lot.","B|If you can do things together, that really helps a lot."
20,M,"Yeah, yeah.","M|Yeah, yeah."
21,B,"Oh, that's good, too.","B|Oh, that's good, too."
22,M,"and, uh.","M|and, uh."
23,B,Uh-huh.,B|Uh-huh.
24,M,"so,","M|so,"
25,B,"Oh, it's good and it's healthy, too.","B|Oh, it's good and it's healthy, too."
26,M,"Uh, yeah, I guess, uh.","M|Uh, yeah, I guess, uh."
27,B,"We do that too, we have a, uh, a treadmill and, uh, a bicycle and that kind of stuff, we try to get twenty minutes like at least three for four times a week, you know.","B|We do that too, we have a, uh, a treadmill and, uh, a bicycle and that kind of stuff, we try to get twenty minutes like at least three for four times a week, you know."
28,M,Uh-oh.,M|Uh-oh.
29,B,Yeah.,B|Yeah.
30,M,"Well, I, I guess that's about all I can do, I'm trying to think of what else I watch.","M|Well, I, I guess that's about all I can do, I'm trying to think of what else I watch."
31,B,"And we like movies, that yeah.","B|And we like movies, that yeah."
32,M,What kind of movies have you seen lately?,M|What kind of movies have you seen lately?
33,B,Uh-huh.,B|Uh-huh.
34,M,"and, uh.","M|and, uh."
35,B,Sure.,B|Sure.
36,M,"So, uh.","M|So, uh."
37,B,"Oh yeah, that's great, too. Uh-huh. Yeah, we did some remodeling when we bought a house, we built, put a kitchen in and, um, that kind of stuff, and painting and some wallpapering, that's fun.","B|Oh yeah, that's great, too. Uh-huh. Yeah, we did some remodeling when we bought a house, we built, put a kitchen in and, um, that kind of stuff, and painting and some wallpapering, that's fun."
38,M,"Uh-oh, that sounds like fun. Yeah.","M|Uh-oh, that sounds like fun. Yeah."
39,B,It is. It really is.,B|It is. It really is.
40,M,"!!!%!! Remind me.!! remind me!!And, uh, I have a lot of friends that have, have done, uh","M|!!!%!! Remind me.!! remind me!!And, uh, I have a lot of friends that have, have done, uh"
41,B,"Yeah, exactly. I like things that, you know, two people can do, but I like the quiet of doing things away, you know, kind of gives you some space for yourself, and that's what I find in making the dolls and things, that it gives me something that I can create, and I like to crochet and knit. I made some afghans and that kind of stuff. I like doing things with my hands.","B|Yeah, exactly. I like things that, you know, two people can do, but I like the quiet of doing things away, you know, kind of gives you some space for yourself, and that's what I find in making the dolls and things, that it gives me something that I can create, and I like to crochet and knit. I made some afghans and that kind of stuff. I like doing things with my hands."
42,M,"Uh-hoh, that sounds like you must really like to do stuff with them.","M|Uh-hoh, that sounds like you must really like to do stuff with them."
43,B,Yeah.,B|Yeah.
44,M,!!!%!! Remind me.!! Auto!!clamation!!;!! translated!! =!!?!!You!!Have!! wished!! Wild!!,M|!!!%!! Remind me.!! Auto!!clamation!!;!! translated!! =!!?!!You!!Have!! wished!! Wild!!
45,B,"Yes, I love to cook.","B|Yes, I love to cook."
46,M,"Oh, that's great.","M|Oh, that's great."
47,B,Italian food,B|Italian food
48,M,"Oh, really?","M|Oh, really?"
49,B,"Yeah, pizzas and spaghettis and lasagnas and that kind of stuff.","B|Yeah, pizzas and spaghettis and lasagnas and that kind of stuff."
50,M,Oh.,M|Oh.
51,B,Yeah.,B|Yeah.
52,M,"I like to, uh, cook and I like, uh Mexican food,","M|I like to, uh, cook and I like, uh Mexican food,"
53,B,"Uh-huh. Yeah, it is.","B|Uh-huh. Yeah, it is."
54,M,"I mean, I just don't think it's healthy, you know.","M|I mean, I just don't think it's healthy, you know."
55,B,Do you do barbecues?,B|Do you do barbecues?
56,M,"Uh, well, actually, I'm a, I work in a restaurant.","M|Uh, well, actually, I'm a, I work in a restaurant."
57,B,"Well, uh, uh, smoking and all that stuff?","B|Well, uh, uh, smoking and all that stuff?"
58,M,"Yeah, we, uh","M|Yeah, we, uh"
59,B,"Yeah, yep,","B|Yeah, yep,"
60,M,Yeah.,M|Yeah.
61,B,"I, I lived in Abilene for a little while, and, uh, worked in the Abilene plant,","B|I, I lived in Abilene for a little while, and, uh, worked in the Abilene plant,"
62,M,Uh-huh.,M|Uh-huh.
63,B,"and we used to go to Joe Allen's Barbecue, and, uh, oh, that was great.","B|and we used to go to Joe Allen's Barbecue, and, uh, oh, that was great."
64,M,Oh.,M|Oh.
65,B,"Really great,","B|Really great,"
66,M,I really miss that.,M|I really miss that.
67,B,they have some nice stuff down there. I miss it,B|they have some nice stuff down there. I miss it
68,M,Oh.,M|Oh.
69,B,"Oh, yeah.","B|Oh, yeah."
70,M,"but, uh.","M|but, uh."
71,B,"We did, I did horseback riding, too, in fact, when my children were growing up, we always had horses and, uh, that was kind of for them, but they weren't as interested in it as we were, you know, so, uh, that was a real, I'd say probably for maybe fifteen years, we dabbled in that, you know, we always had horses around, and I really enjoyed that,","B|We did, I did horseback riding, too, in fact, when my children were growing up, we always had horses and, uh, that was kind of for them, but they weren't as interested in it as we were, you know, so, uh, that was a real, I'd say probably for maybe fifteen years, we dabbled in that, you know, we always had horses around, and I really enjoyed that,"
72,M,Uh-huh.,M|Uh-huh.
73,B,and I was disappointed when I went to Texas. I didn't see that many of them.,B|and I was disappointed when I went to Texas. I didn't see that many of them.
74,M,"Yeah, I, I think it's a shame too, because you know you have to get a lot more people interested in that kind of thing, you don't have a whole bunch of them in the whole time.","M|Yeah, I, I think it's a shame too, because you know you have to get a lot more people interested in that kind of thing, you don't have a whole bunch of them in the whole time."
75,B,Yes,B|Yes
76,M,Oh.,M|Oh.
77,B,"I know, I know, it's true.","B|I know, I know, it's true."
78,M,"but, uh.","M|but, uh."
79,B,Uh-huh.,B|Uh-huh.
80,M,so.,M|so.
81,B,"Yeah, you too, you too.","B|Yeah, you too, you too."
82,M,Bye.,M|Bye.
83,B,Okay.,B|Okay.
84,M,"Okay, well, it was nice talking to you.","M|Okay, well, it was nice talking to you."
85,B,Me too.,B|Me too.
86,M,Bye-bye.,M|Bye-bye.
87,B,Okay.,B|Okay.
88,M,!!!%!! RemindMe!! Death penalty!! execution!!,M|!!!%!! RemindMe!! Death penalty!! execution!!
89,B,"Bye, now.","B|Bye, now."
