,Speaker,Utterance,Unified
5,M,"Uh, uh-hoh.","M|Uh, uh-hoh."
6,B,"but Washington is one of my favorite places to visit. Uh, my daughter lives in Arlington, and when I go to visit her, I love to get out on that bike trail, and either ride the bike, oh, gosh, you can ride a bike practically all the way to Southern Virginia or just get out and walk, uh, or even jog a little, although I don't do that regularly.","B|but Washington is one of my favorite places to visit. Uh, my daughter lives in Arlington, and when I go to visit her, I love to get out on that bike trail, and either ride the bike, oh, gosh, you can ride a bike practically all the way to Southern Virginia or just get out and walk, uh, or even jog a little, although I don't do that regularly."
7,M,Do you ever go to the Dallas Opera?,M|Do you ever go to the Dallas Opera?
8,B,But Washington's a great place to do that.,B|But Washington's a great place to do that.
9,M,"Oh, yeah, that's true.","M|Oh, yeah, that's true."
10,B,Uh-huh.,B|Uh-huh.
11,M,"And, uh he rides a hundred fifty miles every day.","M|And, uh he rides a hundred fifty miles every day."
12,B,Right.,B|Right.
13,M,"but, I do a lot of, uh, reading on the bike.","M|but, I do a lot of, uh, reading on the bike."
14,B,Do you live in the District?,B|Do you live in the District?
15,M,I'm in Richardson.,M|I'm in Richardson.
16,B,Because I think there're so many parts of the District where it's not very safe to get out and walk.,B|Because I think there're so many parts of the District where it's not very safe to get out and walk.
17,M,Yeah.,M|Yeah.
18,B,Uh-huh.,B|Uh-huh.
19,M,"and, uh, it's, it, it is very safe, but, uh.","M|and, uh, it's, it, it is very safe, but, uh."
20,B,"Well, it's, uh, it's really both. I'm certainly driven by the desire to maintain my weight and be healthy and be in shape, and, uh, and most of the time I enjoy it. Sometimes I don't, but I feel that, uh, that the discipline it affords me when I do it when I don't want to is also worth something.","B|Well, it's, uh, it's really both. I'm certainly driven by the desire to maintain my weight and be healthy and be in shape, and, uh, and most of the time I enjoy it. Sometimes I don't, but I feel that, uh, that the discipline it affords me when I do it when I don't want to is also worth something."
21,M,Yeah.,M|Yeah.
22,B,"And I often find that even when I don't feel that much like exercising, like I'll be really tired, and I'll start swimming, and I'll, and I'll actually get energy. And I'll be, have much more energy when I'm done than when I started, I mean, I just feel great. That happens to me probably one in four or five times that I swim.","B|And I often find that even when I don't feel that much like exercising, like I'll be really tired, and I'll start swimming, and I'll, and I'll actually get energy. And I'll be, have much more energy when I'm done than when I started, I mean, I just feel great. That happens to me probably one in four or five times that I swim."
23,M,Yeah.,M|Yeah.
24,B,"And that's really a terrific feeling, because you just go there at the end of the day, and you figure, God, I'm ready for bed and you exercise and then, it's sort of painful for a while,","B|And that's really a terrific feeling, because you just go there at the end of the day, and you figure, God, I'm ready for bed and you exercise and then, it's sort of painful for a while,"
25,M,Right.,M|Right.
26,B,but by the time you get done you feeling really terrific.,B|but by the time you get done you feeling really terrific.
27,M,"Uh, I have a friend that, uh, she was an O B nurse, and she said that she was having a terrible time with weight management.","M|Uh, I have a friend that, uh, she was an O B nurse, and she said that she was having a terrible time with weight management."
28,B,"Yeah, yeah.","B|Yeah, yeah."
29,M,"And so that's, and I have a swimming pool, so that helps.","M|And so that's, and I have a swimming pool, so that helps."
30,B,"So, can I just ask you, are you Canadian?","B|So, can I just ask you, are you Canadian?"
31,M,Yes.,M|Yes.
32,B,Philadelphia?,B|Philadelphia?
33,M,"Yeah, uh-huh.","M|Yeah, uh-huh."
34,B,"I'm trying to because you have a, you have one funny vowel that's probably going to drive the T I people crazy.","B|I'm trying to because you have a, you have one funny vowel that's probably going to drive the T I people crazy."
35,M,Yeah.,M|Yeah.
36,B,"Say out, instead of out you say out. Did you know that?","B|Say out, instead of out you say out. Did you know that?"
37,M,Yeah.,M|Yeah.
38,B,Huh.,B|Huh.
39,M,"And, uh, he was from New York and, uh the professor was from Chicago and he was trying to pronounce words differently","M|And, uh, he was from New York and, uh the professor was from Chicago and he was trying to pronounce words differently"
40,B,"Huh. I see. I know this isn't on our topic, but where did you grow up in California?","B|Huh. I see. I know this isn't on our topic, but where did you grow up in California?"
41,M,"I grew up, uh, in San Jose, California.","M|I grew up, uh, in San Jose, California."
42,B,"Oh, okay, because I grew up in North Hollywood, California went to U C L A and all that.","B|Oh, okay, because I grew up in North Hollywood, California went to U C L A and all that."
43,M,Uh-huh.,M|Uh-huh.
44,B,Yes.,B|Yes.
45,M,"and, uh, so I'm, I'm trying to get back into it.","M|and, uh, so I'm, I'm trying to get back into it."
46,B,"Well, same here. Thanks for calling.","B|Well, same here. Thanks for calling."
47,M,!!!%!! RemindMe!!,M|!!!%!! RemindMe!!
48,B,Bye.,B|Bye.
49,M,"Okay, uh.","M|Okay, uh."
