,Speaker,Utterance,Unified
5,B,Yeah. It's,B|Yeah. It's
6,M,"And, uh","M|And, uh"
7,B,Uh-huh.,B|Uh-huh.
8,M,"And, uh, so, it's, it, I think it's real important that, uh you know you do it right, because it builds character.","M|And, uh, so, it's, it, I think it's real important that, uh you know you do it right, because it builds character."
9,B,"Oh, really?","B|Oh, really?"
10,M,Yeah.,M|Yeah.
11,B,Uh-huh.,B|Uh-huh.
12,M,"And, uh  they do a lot of, uh they do, uh you know watching the T V and stuff.","M|And, uh  they do a lot of, uh they do, uh you know watching the T V and stuff."
13,B,Right.,B|Right.
14,M,"But, uh,","M|But, uh,"
15,B,To put her in a rest home?,B|To put her in a rest home?
16,M,"Right, yeah.","M|Right, yeah."
17,B,"Um, well, see it's more my grandma that feels that way.","B|Um, well, see it's more my grandma that feels that way."
18,M,Uh-huh.,M|Uh-huh.
19,B,"She says that when her husband died that he said, oh, that my uncle had said that he would never put her in a rest home. So it's kind of, uh, I don't know. I mean, I don't, I don't think my parents would but she is getting pretty bad like she has to have like a little toilet right by her bed and, it's,","B|She says that when her husband died that he said, oh, that my uncle had said that he would never put her in a rest home. So it's kind of, uh, I don't know. I mean, I don't, I don't think my parents would but she is getting pretty bad like she has to have like a little toilet right by her bed and, it's,"
20,M,"Uh, how old is your granddaughter?","M|Uh, how old is your granddaughter?"
21,B,"and my mom has to take care of her pretty much so it gets, I don't know. It's, it's a hard decision, but I don't think I would do it to my parents personally","B|and my mom has to take care of her pretty much so it gets, I don't know. It's, it's a hard decision, but I don't think I would do it to my parents personally"
22,M,"Uh,","M|Uh,"
23,B,When he retired?,B|When he retired?
24,M,"Uh, about three months ago.","M|Uh, about three months ago."
25,B,"Yeah, it's like that good for us just because my uncle and my, and my mom switch off like we have her for three months and then he has her for three months.","B|Yeah, it's like that good for us just because my uncle and my, and my mom switch off like we have her for three months and then he has her for three months."
26,M,Uh-huh.,M|Uh-huh.
27,B,"So that, that works out good.","B|So that, that works out good."
28,M,Yeah.,M|Yeah.
29,B,Uh-huh.,B|Uh-huh.
30,M,"But, uh, you know, I'm, I have two girls and, and, uh I'm going to have to quit because I just, I just don't want to work.","M|But, uh, you know, I'm, I have two girls and, and, uh I'm going to have to quit because I just, I just don't want to work."
31,B,Really?,B|Really?
32,M,and I'm sure that they'll be at least somewhat better.,M|and I'm sure that they'll be at least somewhat better.
33,B,Uh-huh.,B|Uh-huh.
34,M,"we're going, either we're both going to live in a big house or we're not going to do anything.","M|we're going, either we're both going to live in a big house or we're not going to do anything."
35,B,Uh-huh.,B|Uh-huh.
36,M,"And, you're not going to feel like you're out of the house.","M|And, you're not going to feel like you're out of the house."
37,B,"You think? I, I I'm not really familiar with how other countries,","B|You think? I, I I'm not really familiar with how other countries,"
38,M,"Well, I think, I, um, I'm from the, I was raised in the south, and, uh, I lived in the, uh Texas, area for a while and, and my mother and father were both from that area, and they were, uh they were very similar people.","M|Well, I think, I, um, I'm from the, I was raised in the south, and, uh, I lived in the, uh Texas, area for a while and, and my mother and father were both from that area, and they were, uh they were very similar people."
39,B,They're seen as senile,B|They're seen as senile
40,M,"and, and, uh, and that's, that's the way they're perceived, I guess, by people in the country. But, um.","M|and, and, uh, and that's, that's the way they're perceived, I guess, by people in the country. But, um."
41,B,Right.,B|Right.
42,M,"I don't think people really respect the, the, uh, the social changes that have occurred,","M|I don't think people really respect the, the, uh, the social changes that have occurred,"
43,B,Uh-huh.,B|Uh-huh.
44,M,"And, uh, so it's, it, it is, it really is a problem.","M|And, uh, so it's, it, it is, it really is a problem."
45,B,Right.,B|Right.
46,M,"I mean, they're, you know, they, they've got to have that.","M|I mean, they're, you know, they, they've got to have that."
47,B,Uh-huh. I know.,B|Uh-huh. I know.
48,M,"But, uh,","M|But, uh,"
49,B,"Um, I'm twenty.","B|Um, I'm twenty."
50,M,Twenty-two.,M|Twenty-two.
51,B,"Yeah, it's, it really is but, and she, she drives us","B|Yeah, it's, it really is but, and she, she drives us"
