,Speaker,Utterance,Unified
5,M,"But, uh.","M|But, uh."
6,B,"It, it, it's pretty bad here, too.","B|It, it, it's pretty bad here, too."
7,M,"Uh-uh. Well, we have, uh","M|Uh-uh. Well, we have, uh"
8,B,"We've had a lot of murders drug related and stuff. In Durham, which is right next to Raleigh.","B|We've had a lot of murders drug related and stuff. In Durham, which is right next to Raleigh."
9,M,Uh-huh.,M|Uh-huh.
10,B,"Yeah, that, that Durham, Raleigh, and Chapel Hill is the triangle.","B|Yeah, that, that Durham, Raleigh, and Chapel Hill is the triangle."
11,M,"Oh, okay.","M|Oh, okay."
12,B,Right.,B|Right.
13,M,"And, uh, I think, uh","M|And, uh, I think, uh"
14,B,"Yeah, it's, it's really, it's, and I've seen in more in Durham than I have in Raleigh or, or or Chapel Hill.","B|Yeah, it's, it's really, it's, and I've seen in more in Durham than I have in Raleigh or, or or Chapel Hill."
15,M,Uh-huh.,M|Uh-huh.
16,B,"Chapel Hill is kind of a, a ritzy city or whatever. I mean, it's kind of, I'm, I'm sure there is problems with it, but it has a pretty low crime rate. Compare, compared to, to, Durham has probably got the worst. They've had like forty-eight murders since the beginning of the year.","B|Chapel Hill is kind of a, a ritzy city or whatever. I mean, it's kind of, I'm, I'm sure there is problems with it, but it has a pretty low crime rate. Compare, compared to, to, Durham has probably got the worst. They've had like forty-eight murders since the beginning of the year."
17,M,Uh-huh.,M|Uh-huh.
18,B,And over half of it has been drug related.,B|And over half of it has been drug related.
19,M,"Oh, really?","M|Oh, really?"
20,B,Yeah.,B|Yeah.
21,M,"I mean, I mean I, uh.","M|I mean, I mean I, uh."
22,B,Yeah.,B|Yeah.
23,M,"You know, people, people get older and they, they get out of it.","M|You know, people, people get older and they, they get out of it."
24,B,"Well, that, and the, and the economy is so bad and, And so many people have been laid off and stuff.","B|Well, that, and the, and the economy is so bad and, And so many people have been laid off and stuff."
25,M,"Oh, yeah.","M|Oh, yeah."
26,B,"They've done special stories on the news, local news here.","B|They've done special stories on the news, local news here."
27,M,"!!!% Well, I've heard stories.","M|!!!% Well, I've heard stories."
28,B,"We had a lot of bank robberies and different, lot of break ins and stuff. I know, like a week or so ago, I live in a, in a town house, which is, you know, it's a pretty nice neighborhood and this lady was going to work, she came home and everything in her house was total gone, light fixtures, everything. And nobody thought any different, they just thought she was moving. It was a moving man pulled right up to her house, broke in and stole everything she owned","B|We had a lot of bank robberies and different, lot of break ins and stuff. I know, like a week or so ago, I live in a, in a town house, which is, you know, it's a pretty nice neighborhood and this lady was going to work, she came home and everything in her house was total gone, light fixtures, everything. And nobody thought any different, they just thought she was moving. It was a moving man pulled right up to her house, broke in and stole everything she owned"
29,M,"Uh,","M|Uh,"
30,B,"Well, yeah, it's, it's, it's pretty bad","B|Well, yeah, it's, it's, it's pretty bad"
31,M,Well what else do we like to have?,M|Well what else do we like to have?
32,B,"Uh, I would say so for the majority in, in our, in my little section of the neighborhood because there is always somebody at home","B|Uh, I would say so for the majority in, in our, in my little section of the neighborhood because there is always somebody at home"
33,M,Uh-huh.,M|Uh-huh.
34,B,"and we all know one another and, and, on our one little section of the street we all know one another and know that we're not moving and different things like that.","B|and we all know one another and, and, on our one little section of the street we all know one another and know that we're not moving and different things like that."
35,M,Uh.,M|Uh.
36,B,"It's, I, I'm, I'm probably the, one of the youngest people that live over here.","B|It's, I, I'm, I'm probably the, one of the youngest people that live over here."
37,M,"Oh, are you really?","M|Oh, are you really?"
38,B,"Most people are, are, retired or, or, or, you know, they're, they're in their forties or, or whatever. So and I'm in my twenties, so I, I'm, I'm out more than they are, but they're at home at night,","B|Most people are, are, retired or, or, or, you know, they're, they're in their forties or, or whatever. So and I'm in my twenties, so I, I'm, I'm out more than they are, but they're at home at night,"
39,M,Uh-huh.,M|Uh-huh.
40,B,so I really don't worry about anything.,B|so I really don't worry about anything.
41,M,Uh-huh.,M|Uh-huh.
42,B,Yeah.,B|Yeah.
43,M,"And I, and I don't think that, uh, there's much that can be done about it.","M|And I, and I don't think that, uh, there's much that can be done about it."
44,B,"Yeah, see, that's the same thing here.","B|Yeah, see, that's the same thing here."
45,M,"And I think that's going to be one of the major changes. I think, I, I don't know, I do feel like, uh.","M|And I think that's going to be one of the major changes. I think, I, I don't know, I do feel like, uh."
46,B,Yeah.,B|Yeah.
47,M,"And we have a lot of, uh a lot more single family homes and a lot fewer single family families.","M|And we have a lot of, uh a lot more single family homes and a lot fewer single family families."
48,B,Yeah.,B|Yeah.
49,M,"So, I don't know, I just, I guess I just feel like there's a need to be more of that sort of, uh","M|So, I don't know, I just, I guess I just feel like there's a need to be more of that sort of, uh"
