,Speaker,Utterance,Unified
5,B,It's eighty eighty-eight?,B|It's eighty eighty-eight?
6,M,Uh-huh.,M|Uh-huh.
7,B,"Okay. Uh what type of, uh, utilizations do you make of it? Word processing obviously.","B|Okay. Uh what type of, uh, utilizations do you make of it? Word processing obviously."
8,M,Uh-huh.,M|Uh-huh.
9,B,"Okay. Uh, I use them both here at work and at home.","B|Okay. Uh, I use them both here at work and at home."
10,M,Right.,M|Right.
11,B,And I have I B M clones in both cases.,B|And I have I B M clones in both cases.
12,M,"Oh, yeah.","M|Oh, yeah."
13,B,Here at work I have the T I one thousand which is a three eighty-six base machine.,B|Here at work I have the T I one thousand which is a three eighty-six base machine.
14,M,"Oh, really?","M|Oh, really?"
15,B,"Yes, it is. Uh, unfortunately I need all of it.","B|Yes, it is. Uh, unfortunately I need all of it."
16,M,Uh-huh.,M|Uh-huh.
17,B,"Uh, for example, I was messing around with a spreadsheet this weekend that's a third of a meg in beta size.","B|Uh, for example, I was messing around with a spreadsheet this weekend that's a third of a meg in beta size."
18,M,Yeah.,M|Yeah.
19,B,"And that, I know that, uh, brings an eighty eighty-eight machine to its knees because I had taken it over from a friend who was working on it and he had a two eighty-six machine,","B|And that, I know that, uh, brings an eighty eighty-eight machine to its knees because I had taken it over from a friend who was working on it and he had a two eighty-six machine,"
20,M,Uh-huh.,M|Uh-huh.
21,B,and it brought it to its knees. Just in the ability to handle.,B|and it brought it to its knees. Just in the ability to handle.
22,M,"Oh, yeah.","M|Oh, yeah."
23,B,"And then I have, uh, a three eighty-six F X a sixteen bit machine, at home.","B|And then I have, uh, a three eighty-six F X a sixteen bit machine, at home."
24,M,Uh-huh.,M|Uh-huh.
25,B,And I'm really pleased with it.,B|And I'm really pleased with it.
26,M,I bet.,M|I bet.
27,B,"It manages to take care of all my home needs in terms of word processing and spreadsheets and, uh, databases, database searches.","B|It manages to take care of all my home needs in terms of word processing and spreadsheets and, uh, databases, database searches."
28,M,"Oh, yeah. Uh-hue.","M|Oh, yeah. Uh-hue."
29,B,"Uh, what I've gotten into more recently are the tools to use them. Have you,","B|Uh, what I've gotten into more recently are the tools to use them. Have you,"
30,M,Uh.,M|Uh.
31,B,To try to make them more effective and useful.,B|To try to make them more effective and useful.
32,M,"Yeah, and I know a lot of people who are very, very against it.","M|Yeah, and I know a lot of people who are very, very against it."
33,B,"Have you been, uh, struggling along those lines?","B|Have you been, uh, struggling along those lines?"
34,M,"No, I haven't.","M|No, I haven't."
35,B,"Well, I think you will be real pleased to get away from the banana as I used to call it. It's, uh, I used it on, uh, some other machines in days gone by and was real pleased to leave it. It was a real memory hog when you started making large blot changes to it.","B|Well, I think you will be real pleased to get away from the banana as I used to call it. It's, uh, I used it on, uh, some other machines in days gone by and was real pleased to leave it. It was a real memory hog when you started making large blot changes to it."
36,M,Uh-huh.,M|Uh-huh.
37,B,"The, at least the version I had tended to keep copies of that. Of what you were changing and deleting off in memory until all of, all of a sudden you got a disc full error. Not a fun thing to try to recover from.","B|The, at least the version I had tended to keep copies of that. Of what you were changing and deleting off in memory until all of, all of a sudden you got a disc full error. Not a fun thing to try to recover from."
38,M,Yeah.,M|Yeah.
39,B,"Very frustrating. Uh, but again I've been dealing with large files both data and, and otherwise. Uh, that was a engineering spec on B two. You come here with the B level of specs?","B|Very frustrating. Uh, but again I've been dealing with large files both data and, and otherwise. Uh, that was a engineering spec on B two. You come here with the B level of specs?"
40,M,"Uh, yeah.","M|Uh, yeah."
41,B,"Well, it's just a huge file that tries to describe the requirements of what you're trying to build. Uh, to one level down from assistant description.","B|Well, it's just a huge file that tries to describe the requirements of what you're trying to build. Uh, to one level down from assistant description."
42,M,Uh-huh.,M|Uh-huh.
43,B,"Well, I sure need them. Uh, there's no way that I could begin to process and keep up with the kinds of information or the magnitude of information that I need to, to try to do my job without them.","B|Well, I sure need them. Uh, there's no way that I could begin to process and keep up with the kinds of information or the magnitude of information that I need to, to try to do my job without them."
44,M,Yeah.,M|Yeah.
45,B,"Yes, uh, maybe you'll play around some and figure out how they can help you do different things. I think that's when you, you start deciding that you really need greater assets than you already have. When you start seeing what all they can do for you.","B|Yes, uh, maybe you'll play around some and figure out how they can help you do different things. I think that's when you, you start deciding that you really need greater assets than you already have. When you start seeing what all they can do for you."
46,M,Uh-huh.,M|Uh-huh.
47,B,"Well, I understand that you know. if, needs and wants were the same I'd have a four eighty-six machine at home","B|Well, I understand that you know. if, needs and wants were the same I'd have a four eighty-six machine at home"
48,M,Uh-huh.,M|Uh-huh.
49,B,Right.,B|Right.
50,M,"And, uh-huh.","M|And, uh-huh."
51,B,"Uh, that's, came out around the first of the year.","B|Uh, that's, came out around the first of the year."
52,M,"Yeah, I was going to say, it came out with a lot of stuff.","M|Yeah, I was going to say, it came out with a lot of stuff."
