,Speaker,Utterance,Unified
5,B,Have I?,B|Have I?
6,M,Yeah.,M|Yeah.
7,B,"Uh, no, not actually","B|Uh, no, not actually"
8,M,"Oh, okay.","M|Oh, okay."
9,B,Okay.,B|Okay.
10,M,Yes.,M|Yes.
11,B,Right.,B|Right.
12,M,!!!% You're married.,M|!!!% You're married.
13,B,Okay.,B|Okay.
14,M,!!!%!! Remind me.,M|!!!%!! Remind me.
15,B,"Right. I, I think that job wise benefits are just as important as salary is.","B|Right. I, I think that job wise benefits are just as important as salary is."
16,M,Uh-huh.,M|Uh-huh.
17,B,"Exactly,","B|Exactly,"
18,M,Uh-huh.,M|Uh-huh.
19,B,exactly.,B|exactly.
20,M,"and, and I would be very unhappy with what we are paying, you know, if it were to have any benefits at all.","M|and, and I would be very unhappy with what we are paying, you know, if it were to have any benefits at all."
21,B,"Especially when you have a family, with children, and you are always going to the doctor for,","B|Especially when you have a family, with children, and you are always going to the doctor for,"
22,M,Yeah.,M|Yeah.
23,B,"Exactly,","B|Exactly,"
24,M,Yeah.,M|Yeah.
25,B,they always do.,B|they always do.
26,M,"That's right, I know.","M|That's right, I know."
27,B,"Yeah, I think any, any, even if your insurance policy is not the greatest.","B|Yeah, I think any, any, even if your insurance policy is not the greatest."
28,M,Uh-huh.,M|Uh-huh.
29,B,Exactly. You you would not be pulling it out of your account all of the time just by yourself.,B|Exactly. You you would not be pulling it out of your account all of the time just by yourself.
30,M,Right.,M|Right.
31,B,"Also, for working women uh, I think a lot of the companies should start providing for day-care in the, in the, in the building.","B|Also, for working women uh, I think a lot of the companies should start providing for day-care in the, in the, in the building."
32,M,Uh-huh.,M|Uh-huh.
33,B,Right.,B|Right.
34,M,"And, uh.","M|And, uh."
35,B,"Yeah. Like in may case, I have three children *spelling: 'may' should be 'my' from ages nine to two. And, it's just unfeasible for me to try to get a job because all the money that I would, be making would be going to day care.","B|Yeah. Like in may case, I have three children *spelling: 'may' should be 'my' from ages nine to two. And, it's just unfeasible for me to try to get a job because all the money that I would, be making would be going to day care."
36,M,Uh-hue.,M|Uh-hue.
37,B,"And it would be just,","B|And it would be just,"
38,M,"Uh, I don't know, I think it's really important that we decide what we want out of life.","M|Uh, I don't know, I think it's really important that we decide what we want out of life."
39,B,"basically be me working to pay for them to be at a day care,  center.","B|basically be me working to pay for them to be at a day care,  center."
40,M,Yeah. Exactly. And I would be willing to work for somebody that would be able to provide me with some quality day care for them.,M|Yeah. Exactly. And I would be willing to work for somebody that would be able to provide me with some quality day care for them.
41,B,Exactly.,B|Exactly.
42,M,"But,","M|But,"
43,B,"Besides which, it would be easier, uh, there's a lot of single mothers out there now, from divorces and a lot of, women are starting to have babies without a partner.","B|Besides which, it would be easier, uh, there's a lot of single mothers out there now, from divorces and a lot of, women are starting to have babies without a partner."
44,M,Uh-huh.,M|Uh-huh.
