,Speaker,Utterance,Unified
5,B,Yeah,B|Yeah
6,M,Yeah.,M|Yeah.
7,B,No.,B|No.
8,M,"No, huh-uh.","M|No, huh-uh."
9,B,"Huh-uh. *According to the following utterance, this is an AFFIRMATIVE answer, so should be ""Uh-huh"" Just my husband and I and the two dogs.","B|Huh-uh. *According to the following utterance, this is an AFFIRMATIVE answer, so should be ""Uh-huh"" Just my husband and I and the two dogs."
10,M,"Oh, yeah.","M|Oh, yeah."
11,B,So what about yours?,B|So what about yours?
12,M,"Well, I have a son that's just a, uh, an infant, and he's in day-care for the first two months of this summer.","M|Well, I have a son that's just a, uh, an infant, and he's in day-care for the first two months of this summer."
13,B,Uh-huh.,B|Uh-huh.
14,M,"And, uh, but we do cook, uh we do enjoy entertaining.","M|And, uh, but we do cook, uh we do enjoy entertaining."
15,B,"So I guess it's supposed to be dinner party, is that what they said?","B|So I guess it's supposed to be dinner party, is that what they said?"
16,M,"Yeah, that's what we're supposed to do, yeah.","M|Yeah, that's what we're supposed to do, yeah."
17,B,"Uh-huh. Huh, we don't,","B|Uh-huh. Huh, we don't,"
18,M,"And then, uh.","M|And then, uh."
19,B,"Think you,","B|Think you,"
20,M,Uh.,M|Uh.
21,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
22,M,"And, uh, but I, I think it would be a good idea to have a dinner party. I would love to have some crawfish.","M|And, uh, but I, I think it would be a good idea to have a dinner party. I would love to have some crawfish."
23,B,"Uh-huh. Sometimes we'll have, uh, we'll have a bunch of people over and cook deer.","B|Uh-huh. Sometimes we'll have, uh, we'll have a bunch of people over and cook deer."
24,M,"Oh, yeah.","M|Oh, yeah."
25,B,Huh?,B|Huh?
26,M,"Like, uh","M|Like, uh"
27,B,How do we usually?,B|How do we usually?
28,M,"We usually, uh we just, uh uh, you know, freeze them and then you let them cook.","M|We usually, uh we just, uh uh, you know, freeze them and then you let them cook."
29,B,"On the grill, we'll take the back strap and soak it in Italian dressing for a couple of hours and throw it on the grill","B|On the grill, we'll take the back strap and soak it in Italian dressing for a couple of hours and throw it on the grill"
30,M,"Oh, that sounds good.","M|Oh, that sounds good."
31,B,and it is good.,B|and it is good.
32,M,"Oh, that sounds good. That sounds real good. Where do you usually cook your meatballs?","M|Oh, that sounds good. That sounds real good. Where do you usually cook your meatballs?"
33,B,Real good.,B|Real good.
34,M,Uh-huh.,M|Uh-huh.
35,B,"Either that or hamburgers, we really don't have dinner parties.","B|Either that or hamburgers, we really don't have dinner parties."
36,M,"Right, right.","M|Right, right."
37,B,Uh-huh. Ooh. Uh-huh. Uh-huh.,B|Uh-huh. Ooh. Uh-huh. Uh-huh.
38,M,"And it was, it had the meatballs in it and the potatoes and onions and, uh","M|And it was, it had the meatballs in it and the potatoes and onions and, uh"
39,B,Did you kill the deer?,B|Did you kill the deer?
40,M,"No, I didn't kill the guy. I, I, we, we were out hunting and he got in and just, he, he bit and killed a couple of them.","M|No, I didn't kill the guy. I, I, we, we were out hunting and he got in and just, he, he bit and killed a couple of them."
41,B,No.,B|No.
42,M,"Oh, no.","M|Oh, no."
43,B,Uh-huh,B|Uh-huh
44,M,"But, uh, I've never had a real problem with deer, I mean, they just, they seem to go right through you.","M|But, uh, I've never had a real problem with deer, I mean, they just, they seem to go right through you."
45,B,Uh-huh.,B|Uh-huh.
46,M,"But, uh, we've had, uh uh, the same thing. I, uh I, we had deer in our area once, uh","M|But, uh, we've had, uh uh, the same thing. I, uh I, we had deer in our area once, uh"
47,B,Uh-huh.,B|Uh-huh.
48,M,"and, uh he shot himself in the foot about three or four times trying to save a tree from a tree","M|and, uh he shot himself in the foot about three or four times trying to save a tree from a tree"
49,B,Uh-huh.,B|Uh-huh.
50,M,"you know, and then they have the, uh a special dinner and then everybody brings a dish and, you're supposed to bring whatever you want and bring whatever friends you want.","M|you know, and then they have the, uh a special dinner and then everybody brings a dish and, you're supposed to bring whatever you want and bring whatever friends you want."
51,B,"Oh, well, that's nice.","B|Oh, well, that's nice."
52,M,"Yeah, it is.","M|Yeah, it is."
53,B,Uh-huh.,B|Uh-huh.
54,M,"so, they, uh, they just, they did it as a family activity.","M|so, they, uh, they just, they did it as a family activity."
