,Speaker,Utterance,Unified
5,M,Right.,M|Right.
6,B,"Uh, it's because I, I can't find the item that I want at a competitive price anywhere in my local area. So I go outside the area for that. And I think that it's not my responsibility to police myself and pay Pennsylvania what they believe they are owed even though, you know, the revenue stream went to another state. I don't, I don't think that that's my responsibility as a, as a conscientious consumer.","B|Uh, it's because I, I can't find the item that I want at a competitive price anywhere in my local area. So I go outside the area for that. And I think that it's not my responsibility to police myself and pay Pennsylvania what they believe they are owed even though, you know, the revenue stream went to another state. I don't, I don't think that that's my responsibility as a, as a conscientious consumer."
7,M,"Well I think, I think they should have the ability to, to check things like that and I think it's just the fact that they, they, I believe they, uh they check for that, but they don't actually check for, for, you, I know, uh.","M|Well I think, I think they should have the ability to, to check things like that and I think it's just the fact that they, they, I believe they, uh they check for that, but they don't actually check for, for, you, I know, uh."
8,B,"Well, I think that if, if policy is established and if a mechanism is put into place to promote the collection of taxes in this fashion, then I don't argue with it. Because it's not a burden on the consumer to remember that oh, I bought this out of state. I need to Xerox the receipt and make out a check for six percent and send it to Pennsylvania.","B|Well, I think that if, if policy is established and if a mechanism is put into place to promote the collection of taxes in this fashion, then I don't argue with it. Because it's not a burden on the consumer to remember that oh, I bought this out of state. I need to Xerox the receipt and make out a check for six percent and send it to Pennsylvania."
9,M,Right.,M|Right.
10,B,Right. But the point is is that businesses do that. The business that you purchase the thing from is responsible for collecting the appropriate sales tax and forwarding it to the state in question. That's a cost of doing business. The burden  shouldn't be placed on the consumer.,B|Right. But the point is is that businesses do that. The business that you purchase the thing from is responsible for collecting the appropriate sales tax and forwarding it to the state in question. That's a cost of doing business. The burden  shouldn't be placed on the consumer.
11,M,Yes.,M|Yes.
12,B,Uh.,B|Uh.
13,M,"If you're going to buy something, you're not going to pay tax on, on it","M|If you're going to buy something, you're not going to pay tax on, on it"
14,B,"Uh, do you mean businesses from the point of view as, of, of selling things to a consumer and  then being responsible for the sales tax? Or purchasing.","B|Uh, do you mean businesses from the point of view as, of, of selling things to a consumer and  then being responsible for the sales tax? Or purchasing."
15,M,"I think it's, it's a total waste of somebody's money.","M|I think it's, it's a total waste of somebody's money."
16,B,"Yeah. See I'm unfamiliar with that because I don't, I never see that end of the business.","B|Yeah. See I'm unfamiliar with that because I don't, I never see that end of the business."
17,M,"Well, you don't see it in, you see it on the sales, in the, uh in the mail?","M|Well, you don't see it in, you see it on the sales, in the, uh in the mail?"
18,B,"So, my only experience has been from the point of view of a consumer. Uh, but, if that's the case, if the business is responsible for policing themselves, then I think some well defined mechanisms need to be in place so that, uh, the opportunity to forget that you owe sales tax for something, uh, can be avoided.","B|So, my only experience has been from the point of view of a consumer. Uh, but, if that's the case, if the business is responsible for policing themselves, then I think some well defined mechanisms need to be in place so that, uh, the opportunity to forget that you owe sales tax for something, uh, can be avoided."
19,M,Uh-huh.,M|Uh-huh.
