,Speaker,Utterance,Unified
5,M,"Oh, yeah.","M|Oh, yeah."
6,B,Yeah.,B|Yeah.
7,M,"I mean, they just, I mean, I don't know, it's, it seems like it's like they just sort of give it a title and then when it comes to actually receiving it, it just sort, it doesn't quite work.","M|I mean, they just, I mean, I don't know, it's, it seems like it's like they just sort of give it a title and then when it comes to actually receiving it, it just sort, it doesn't quite work."
8,B,"I had a cat, I've had several cats. My pet, uh, was hit by a car New Year's Eve, but, uh,","B|I had a cat, I've had several cats. My pet, uh, was hit by a car New Year's Eve, but, uh,"
9,M,"Oh, my goodness.","M|Oh, my goodness."
10,B,"I'm going to get another one as soon as I get back in town. I'm going out of town this weekend, when I get back I'm going to find a cat. So,","B|I'm going to get another one as soon as I get back in town. I'm going out of town this weekend, when I get back I'm going to find a cat. So,"
11,M,"Well, you know, we have had, uh.","M|Well, you know, we have had, uh."
12,B,Yeah.,B|Yeah.
13,M,"Well, I think we're going the opposite direction. I think, uh  we're getting a dog and we're, we're starting to get a cat also.","M|Well, I think we're going the opposite direction. I think, uh  we're getting a dog and we're, we're starting to get a cat also."
14,B,"I work and go to school and it's kind of nice you come home your, your pet's there for you and wants a little food a little attention.","B|I work and go to school and it's kind of nice you come home your, your pet's there for you and wants a little food a little attention."
15,M,Uh-huh.,M|Uh-huh.
16,B,"And that's, it's kind of fun.","B|And that's, it's kind of fun."
