,Speaker,Utterance,Unified
5,B,"It's, you know, it's a game to her, but I, I do not like to do that I consider it kind of a, a waste of my time. And so I'm usually, uh, pretty careful when I shop","B|It's, you know, it's a game to her, but I, I do not like to do that I consider it kind of a, a waste of my time. And so I'm usually, uh, pretty careful when I shop"
6,M,"Yeah, yeah.","M|Yeah, yeah."
7,B,"and I also, you know, usually have, have checked over things, you know, if it's like an appliance or something to make sure, uh, it has the features in it that I want.","B|and I also, you know, usually have, have checked over things, you know, if it's like an appliance or something to make sure, uh, it has the features in it that I want."
8,M,"Uh, I see.","M|Uh, I see."
9,B,"Now we've had one lately, um, oh, a, uh, a Dustbuster Plus that we bought,","B|Now we've had one lately, um, oh, a, uh, a Dustbuster Plus that we bought,"
10,M,Uh.,M|Uh.
11,B,"and we've had it for a while, but all of a sudden it just wasn't working, and it looks like there's a part missing from it. My husband opened it up and whatever, and of course we don't have the receipt any more, so we can't take it back","B|and we've had it for a while, but all of a sudden it just wasn't working, and it looks like there's a part missing from it. My husband opened it up and whatever, and of course we don't have the receipt any more, so we can't take it back"
12,M,Oh.,M|Oh.
13,B,"Uh, but, I think a lot of goods are made not to last real long","B|Uh, but, I think a lot of goods are made not to last real long"
14,M,Yeah.,M|Yeah.
15,B,"uh,","B|uh,"
16,M,"I think, uh, the quality of the, uh the crafts, you know, as far as, uh crafts and so forth, uh...","M|I think, uh, the quality of the, uh the crafts, you know, as far as, uh crafts and so forth, uh..."
17,B,Yeah.,B|Yeah.
18,M,"and it's, it's really a pain.","M|and it's, it's really a pain."
19,B,"Well, that's true, and lot of times though, it is, it costs so much to get something fixed that you almost are just as well off buying another one you know, if it's,","B|Well, that's true, and lot of times though, it is, it costs so much to get something fixed that you almost are just as well off buying another one you know, if it's,"
20,M,Well you can't always get it fixed.,M|Well you can't always get it fixed.
21,B,Uh-huh.,B|Uh-huh.
22,M,!!!%!! Remind me.,M|!!!%!! Remind me.
23,B,"Well, yeah, I think a lot of times, if you get a brand name uh, you know, if it's a, a good brand,","B|Well, yeah, I think a lot of times, if you get a brand name uh, you know, if it's a, a good brand,"
